timeStep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
1,0.009882288053631783,-0.18781600892543793,-0.11412083357572556,0.10356244444847107,-0.12961100041866302,-0.1714019626379013,0.13220854103565216,-0.076191246509552,-0.14230340719223022,0.18413682281970978,-0.02145833522081375,-0.06058869510889053,-0.08958137780427933,0.1611875593662262,-0.06916201114654541,0.04655039682984352,0.031335655599832535,0.1265135407447815,0.013678896240890026,-0.17042586207389832,0.12849844992160797,0.07605911791324615,-0.02191697061061859,0.08344778418540955,0.13858865201473236,0.06900463998317719,0.0806582123041153,-0.10883010178804398,-0.12084939330816269,0.04895127937197685,0.1354944109916687,0.09652067720890045,-0.1557869166135788,-0.01052569504827261,0.13896150887012482,0.08662700653076172,-0.015332707203924656,0.04018697515130043,0.039541006088256836,0.10332290828227997,-0.052093394100666046,0.009991898201406002,-0.1548219621181488,-0.06294935941696167,0.060982443392276764,-0.12529844045639038,-0.10096941888332367,-0.023163150995969772,-0.04167209565639496,0.024992922320961952,-0.11446131765842438,0.02865544520318508,-0.10000436007976532,-0.06131726875901222,0.005965773947536945,-0.137116476893425,0.06584043055772781,-0.13173900544643402,0.07731672376394272,-0.14634720981121063,-0.14362606406211853,-0.026201553642749786,0.1508599817752838,0.1409830003976822,0.11252322047948837,-0.08840721845626831,-0.08342733979225159,-0.07262642681598663,0.04572340101003647,-0.06998778134584427,-0.0076231686398386955,0.005618456285446882,0.031781427562236786,0.030819691717624664,-0.1461777240037918,0.14021892845630646,-0.17297203838825226,0.07837585359811783,-0.018581943586468697,0.17379464209079742,0.012671523727476597,0.02121027372777462,-0.09049259126186371,0.002116324845701456,0.14868398010730743,-0.0883772075176239,0.1923123598098755,0.013981199823319912,-0.04586372897028923,-0.1843542903661728,-0.12400999665260315,0.152448371052742,-0.13523492217063904,-0.10778172314167023,0.034976232796907425,0.09727659821510315,0.1303180754184723,0.09153789281845093,-0.1462976634502411,0.1513914167881012,0.07076207548379898,0.06726431101560593,-0.17046286165714264,-0.013542082160711288,-0.02568122185766697,-0.17517581582069397,0.0008958589751273394,-0.007981774397194386,-0.06998638808727264,0.176972895860672,0.09304869920015335,0.09408113360404968,0.05160888284444809,-0.057769037783145905,0.09254684299230576,0.0726604089140892,0.17936843633651733,0.09286660701036453,-0.12101642042398453,0.2253471463918686,0.15088839828968048,-0.05407015234231949,0.0864708200097084,-0.05242118984460831,0.13866683840751648,0.15887589752674103,-0.11653834581375122,0.12495511770248413
2,0.02536606229841709,-0.21900169551372528,-0.11582062393426895,0.11124579608440399,-0.142372265458107,-0.19464626908302307,0.15783096849918365,-0.08782297372817993,-0.15205931663513184,0.20620952546596527,-0.03642572835087776,-0.08279650658369064,-0.09814279526472092,0.17867934703826904,-0.07784077525138855,0.058306898921728134,0.023714015260338783,0.14351052045822144,0.027232836931943893,-0.1862080842256546,0.15341584384441376,0.08440396189689636,-0.022445306181907654,0.10398205369710922,0.15850284695625305,0.07992507517337799,0.10090655088424683,-0.10279204696416855,-0.1520499438047409,0.08389986306428909,0.14144228398799896,0.09898512810468674,-0.15455538034439087,0.0014955857768654823,0.1719266027212143,0.0906582921743393,-0.007215152960270643,0.044409848749637604,0.04628802090883255,0.11446011066436768,-0.06258764117956161,0.022964177653193474,-0.17727889120578766,-0.0659998431801796,0.07237739861011505,-0.13667403161525726,-0.10840096324682236,-0.022498680278658867,-0.05228475481271744,0.031146733090281487,-0.13800495862960815,0.027589643374085426,-0.0978778600692749,-0.05338430032134056,0.010267081670463085,-0.1690962016582489,0.07164277136325836,-0.15606661140918732,0.09224473685026169,-0.1776418387889862,-0.16087330877780914,-0.04403269663453102,0.16780729591846466,0.181175097823143,0.1313774436712265,-0.09093928337097168,-0.10837819427251816,-0.08845709264278412,0.057085875421762466,-0.08010127395391464,-0.006736887153238058,0.01288048829883337,0.04046432301402092,0.03576500713825226,-0.15074032545089722,0.15044189989566803,-0.18163235485553741,0.09174469858407974,-0.010328970849514008,0.1961764097213745,0.011602897197008133,0.022841282188892365,-0.10485666245222092,0.006991306785494089,0.15924565494060516,-0.11237823218107224,0.22385643422603607,0.023751892149448395,-0.059488777071237564,-0.21516437828540802,-0.13425537943840027,0.16647090017795563,-0.1544828712940216,-0.11991221457719803,0.04929381608963013,0.10703453421592712,0.15131297707557678,0.11390827596187592,-0.1720270961523056,0.18278802931308746,0.09103141725063324,0.09072031825780869,-0.20928293466567993,-0.017805639654397964,-0.01835976354777813,-0.21956323087215424,0.0005881822435185313,-0.0033097558189183474,-0.09720150381326675,0.19322070479393005,0.10840222984552383,0.11254560947418213,0.07763350754976273,-0.057978805154561996,0.10687606036663055,0.10177812725305557,0.2138776034116745,0.10846566408872604,-0.14479753375053406,0.2583680748939514,0.15195831656455994,-0.07233330607414246,0.10185375064611435,-0.07921990007162094,0.1677343100309372,0.17697124183177948,-0.1290353387594223,0.1447489857673645
3,0.026405246928334236,-0.30574676394462585,-0.1850414127111435,0.16448993980884552,-0.2138427346944809,-0.27899637818336487,0.24591851234436035,-0.12473355978727341,-0.23245298862457275,0.31419244408607483,-0.02661799266934395,-0.09664395451545715,-0.147967129945755,0.27118486166000366,-0.13031037151813507,0.10874151438474655,0.04225078970193863,0.20674487948417664,0.04350332170724869,-0.29172176122665405,0.22249920666217804,0.1257081925868988,-0.045189063996076584,0.1300155371427536,0.23356959223747253,0.1344933956861496,0.14944304525852203,-0.17807523906230927,-0.21988113224506378,0.12194468080997467,0.21779081225395203,0.15061885118484497,-0.263567715883255,-0.015499398112297058,0.2277596890926361,0.13704247772693634,-0.03645898029208183,0.07521519064903259,0.08220315724611282,0.19341114163398743,-0.08470147848129272,0.034256722778081894,-0.25342586636543274,-0.10200183838605881,0.0949641764163971,-0.20515592396259308,-0.16972191631793976,-0.03189339488744736,-0.07538653165102005,0.049783699214458466,-0.19733262062072754,0.060562778264284134,-0.1640675663948059,-0.09927450865507126,0.022321831434965134,-0.25202760100364685,0.12195336073637009,-0.22585833072662354,0.15041889250278473,-0.2762742042541504,-0.23454837501049042,-0.05666922405362129,0.255449116230011,0.25996363162994385,0.18182167410850525,-0.13408146798610687,-0.14277197420597076,-0.12263517081737518,0.07246211916208267,-0.09882600605487823,-0.013898506760597229,0.010249140672385693,0.07366988807916641,0.055447205901145935,-0.24313969910144806,0.23293077945709229,-0.2891401946544647,0.1414690613746643,-0.03380000591278076,0.2984066307544708,0.0055239032953977585,0.01854669488966465,-0.14198268949985504,-0.004274975974112749,0.23610606789588928,-0.13796491920948029,0.3196721374988556,0.034485895186662674,-0.08999024331569672,-0.3199194669723511,-0.21304172277450562,0.25239720940589905,-0.2146385908126831,-0.16485604643821716,0.05991610512137413,0.16562455892562866,0.22026559710502625,0.16270148754119873,-0.2573651671409607,0.2574058771133423,0.1160053014755249,0.1293710470199585,-0.2975056767463684,-0.024727890267968178,-0.023004308342933655,-0.2864381670951843,0.010887487791478634,-0.012525953352451324,-0.12483015656471252,0.29840975999832153,0.15339137613773346,0.16287735104560852,0.09389880299568176,-0.08199319988489151,0.13519056141376495,0.1269008219242096,0.3062390685081482,0.15142180025577545,-0.20452919602394104,0.36656704545021057,0.24743692576885223,-0.11131718009710312,0.16680572926998138,-0.08221782743930817,0.24149538576602936,0.26620009541511536,-0.20095504820346832,0.21486032009124756
4,0.008764578960835934,-0.3040357232093811,-0.20480646193027496,0.17429965734481812,-0.24220649898052216,-0.3086085319519043,0.2414660006761551,-0.13824135065078735,-0.2562994658946991,0.3144158124923706,-0.04392902925610542,-0.09806405007839203,-0.16723471879959106,0.2990458309650421,-0.11894919723272324,0.10874666273593903,0.044879600405693054,0.184848353266716,0.03009464405477047,-0.29865315556526184,0.22534440457820892,0.12272752076387405,-0.04596725478768349,0.1551215946674347,0.250203013420105,0.1419183909893036,0.14258411526679993,-0.19054670631885529,-0.2144911140203476,0.11981845647096634,0.2306860238313675,0.16317909955978394,-0.28235185146331787,-0.01980854943394661,0.23875996470451355,0.1688433438539505,-0.033420294523239136,0.08156215399503708,0.07513346523046494,0.18221759796142578,-0.09557449072599411,0.037857912480831146,-0.28425654768943787,-0.09475192427635193,0.10647089779376984,-0.2120664119720459,-0.1709798276424408,-0.03749140352010727,-0.06515076756477356,0.06828825920820236,-0.19470888376235962,0.05925794318318367,-0.18820422887802124,-0.11918536573648453,0.023164264857769012,-0.24667461216449738,0.10169517248868942,-0.2290869951248169,0.14022676646709442,-0.2937210202217102,-0.2504407465457916,-0.04685840383172035,0.2700996696949005,0.25042590498924255,0.1892557591199875,-0.15483030676841736,-0.14228950440883636,-0.15157869458198547,0.07357801496982574,-0.10338011384010315,-0.0038153626956045628,0.013173840008676052,0.0803065299987793,0.058044467121362686,-0.2500138580799103,0.25054675340652466,-0.28868767619132996,0.1319107711315155,-0.04210400953888893,0.3209955394268036,0.017378641292452812,0.02788562700152397,-0.13404299318790436,0.01793881133198738,0.25366708636283875,-0.15285173058509827,0.3505566120147705,0.02776113897562027,-0.09041007608175278,-0.3251950442790985,-0.22528311610221863,0.2762407660484314,-0.217088982462883,-0.20431272685527802,0.07376811653375626,0.15924561023712158,0.20924143493175507,0.15728819370269775,-0.2747996151447296,0.2474675327539444,0.13184595108032227,0.10544279217720032,-0.2892737090587616,-0.04186931625008583,-0.03771369531750679,-0.285806268453598,0.01789466105401516,-0.029145434498786926,-0.12047020345926285,0.28646159172058105,0.16413402557373047,0.167148619890213,0.08544977754354477,-0.0810120701789856,0.13837359845638275,0.1301286220550537,0.31321293115615845,0.14679192006587982,-0.2282312661409378,0.39458444714546204,0.26191189885139465,-0.10576435923576355,0.16546185314655304,-0.10182332247495651,0.23931074142456055,0.27806490659713745,-0.20545664429664612,0.2332979291677475
5,-0.04311564192175865,-0.34546786546707153,-0.23323120176792145,0.18391285836696625,-0.2876340448856354,-0.26467975974082947,0.2829800248146057,-0.18493476510047913,-0.2797658443450928,0.34461310505867004,2.3663058527745306e-05,-0.09821370244026184,-0.21832436323165894,0.34803977608680725,-0.1533752977848053,0.11419717222452164,0.05661540850996971,0.18605616688728333,0.06644296646118164,-0.3089245557785034,0.27666032314300537,0.13370510935783386,-0.04431430622935295,0.1549532562494278,0.3348328173160553,0.14938244223594666,0.08867409080266953,-0.244058758020401,-0.22643153369426727,0.10863019526004791,0.2643877863883972,0.15446427464485168,-0.31817781925201416,-0.10055608302354813,0.24619147181510925,0.19942495226860046,-0.030377211049199104,0.07158315181732178,0.045739177614450455,0.24651430547237396,-0.11703692376613617,0.03652180731296539,-0.32623106241226196,-0.13467809557914734,0.1318226456642151,-0.254961222410202,-0.20399558544158936,-0.12183048576116562,0.011404896154999733,0.03412977606058121,-0.21846339106559753,0.05173507705330849,-0.24991069734096527,-0.1530637890100479,0.021413682028651237,-0.25423967838287354,0.1345372498035431,-0.23540392518043518,0.1884506493806839,-0.3354020416736603,-0.21361948549747467,-0.05398019403219223,0.27931955456733704,0.2868063151836395,0.19433927536010742,-0.1988617181777954,-0.15828265249729156,-0.12501174211502075,0.06885659694671631,-0.11249066889286041,0.05110407993197441,0.04677939787507057,0.04248690605163574,0.0998891294002533,-0.283532053232193,0.27331802248954773,-0.32277125120162964,0.14144901931285858,-0.07076872885227203,0.33402377367019653,0.041482195258140564,0.003151536686345935,-0.16462181508541107,0.002064737491309643,0.26488080620765686,-0.12426057457923889,0.36050981283187866,0.06253722310066223,-0.13191258907318115,-0.3432147800922394,-0.30483025312423706,0.283002644777298,-0.26395606994628906,-0.18669761717319489,0.1038399487733841,0.19468335807323456,0.17475157976150513,0.14246441423892975,-0.28524911403656006,0.2845178246498108,0.09644543379545212,0.11014726758003235,-0.30271273851394653,-0.018261993303894997,0.025621386244893074,-0.3202638328075409,0.03532016649842262,-0.051482681185007095,-0.1143103539943695,0.30318963527679443,0.20758895576000214,0.1728609800338745,0.14011986553668976,-0.11615777760744095,0.1515301614999771,0.13438542187213898,0.276301771402359,0.12770555913448334,-0.2573581635951996,0.3867849111557007,0.27249419689178467,-0.14986784756183624,0.18590863049030304,-0.14267820119857788,0.2536503076553345,0.3302757740020752,-0.2190273404121399,0.2420397400856018
6,-0.13499191403388977,-0.37900447845458984,-0.3783629834651947,0.25185251235961914,-0.41506433486938477,-0.303556889295578,0.3113059103488922,-0.3563809096813202,-0.35989606380462646,0.47682985663414,0.042953282594680786,-0.07027853280305862,-0.284869909286499,0.4836589992046356,-0.10890001058578491,0.216944620013237,0.09788729250431061,0.15725545585155487,-0.007806675974279642,-0.2975885272026062,0.35865312814712524,0.16300533711910248,-0.1102963536977768,0.19833402335643768,0.47912633419036865,0.19973579049110413,0.0723230168223381,-0.31843990087509155,-0.26906371116638184,0.18791529536247253,0.37497755885124207,0.1422460824251175,-0.44653743505477905,-0.20368145406246185,0.23452182114124298,0.4026292562484741,-0.014369443990290165,0.08216056227684021,0.009691250510513783,0.3836185038089752,-0.19667337834835052,0.090141661465168,-0.390714555978775,-0.10932765901088715,0.18826112151145935,-0.3542120158672333,-0.3105366826057434,-0.18836264312267303,0.03370958939194679,0.023964250460267067,-0.21183784306049347,0.061667896807193756,-0.473689466714859,-0.3030666708946228,0.04299641400575638,-0.3219395875930786,0.23162634670734406,-0.34964632987976074,0.2936520278453827,-0.44104766845703125,-0.06844408810138702,0.005240896716713905,0.27489933371543884,0.3482004702091217,0.1922440081834793,-0.22383421659469604,-0.10601770132780075,-0.19953083992004395,0.01701677031815052,-0.1863122284412384,0.15521548688411713,0.05665113404393196,-0.017136262729763985,0.04752332344651222,-0.3468554615974426,0.3816310465335846,-0.3779814839363098,0.1281270533800125,-0.17105725407600403,0.41412344574928284,0.02519633062183857,-0.033284857869148254,-0.16181129217147827,0.021994037553668022,0.37386149168014526,-0.042280249297618866,0.45209619402885437,0.14766651391983032,-0.0816204696893692,-0.4197922348976135,-0.4354323148727417,0.446482390165329,-0.3459940552711487,-0.20742395520210266,0.2499050348997116,0.3395519256591797,0.1268283575773239,0.03171706944704056,-0.35419824719429016,0.3279339373111725,0.06526867300271988,0.03840607404708862,-0.31825393438339233,-0.08457735925912857,0.09537896513938904,-0.35598206520080566,0.05387808382511139,-0.0516180656850338,-0.16856980323791504,0.41166794300079346,0.3301035463809967,0.16129466891288757,0.16316521167755127,-0.07748264074325562,0.09350799769163132,0.07797326147556305,0.2596031129360199,0.063532255589962,-0.34729474782943726,0.43297502398490906,0.39752256870269775,-0.32111766934394836,0.270193874835968,-0.12701325118541718,0.24287712574005127,0.3723483979701996,-0.2507082521915436,0.32849574089050293
7,-0.11122600734233856,-0.22205498814582825,-0.6061747074127197,0.43915390968322754,-0.5295745134353638,-0.478737473487854,0.25017067790031433,-0.18161776661872864,-0.263357013463974,0.642207682132721,0.09137078374624252,-0.22750239074230194,-0.3399161994457245,0.7473375201225281,0.12078363448381424,0.18326564133167267,0.17490170896053314,0.335756778717041,0.10757767409086227,-0.1664082407951355,0.5503399968147278,0.06072373688220978,-0.4078916609287262,0.3798602819442749,0.5106734037399292,0.10284815728664398,0.18337415158748627,-0.4550739526748657,-0.13498815894126892,0.06229143589735031,0.47964873909950256,0.2839396893978119,-0.622431218624115,-0.418003648519516,0.3168659210205078,0.27197808027267456,-0.2404690831899643,0.20472727715969086,-0.2578878402709961,0.45633959770202637,-0.40332379937171936,0.21118155121803284,-0.16663825511932373,-0.07359989732503891,0.3543667793273926,-0.5768921971321106,-0.5027258992195129,-0.11756723374128342,0.042479611933231354,-0.10420575737953186,-0.03692284971475601,0.08781861513853073,-0.36891743540763855,-0.31145012378692627,-0.27220457792282104,-0.111238993704319,0.2979838252067566,-0.24323023855686188,0.1738944947719574,-0.40798482298851013,-0.34174254536628723,-0.25562289357185364,0.34763458371162415,0.46287980675697327,-0.10037430375814438,-0.18809521198272705,-0.1560126543045044,-0.09167290478944778,0.03893706575036049,-0.24384737014770508,0.1551082283258438,0.0028496291488409042,-0.03879790008068085,0.08832450211048126,-0.6452394723892212,0.4644254446029663,-0.3819083273410797,0.36635375022888184,-0.08217082172632217,0.4875500500202179,-0.12172804772853851,0.2762797176837921,-0.32901236414909363,-0.21420404314994812,0.3096696138381958,-0.10663589835166931,0.5401764512062073,0.32699066400527954,-0.224310502409935,-0.5045248866081238,-0.3748216927051544,0.4145493507385254,-0.1600732058286667,-0.32214921712875366,-0.09499668329954147,0.4982033371925354,0.08638215065002441,0.05727000907063484,-0.5075190663337708,0.19187583029270172,-0.030993135645985603,-0.15040650963783264,-0.4358478784561157,-0.27428963780403137,-0.08450880646705627,-0.2269696444272995,0.27563104033470154,0.09258731454610825,-0.1939052790403366,0.6583954691886902,0.26175734400749207,0.1407083123922348,-0.02730022929608822,-0.010404977947473526,0.31363195180892944,0.3245391547679901,0.44957414269447327,0.20681534707546234,-0.34279003739356995,0.23973742127418518,0.5186729431152344,-0.21078860759735107,0.07941083610057831,0.059168022125959396,0.23076297342777252,0.6146342158317566,-0.02240106649696827,0.22979068756103516
8,-0.2557803690433502,-0.22452548146247864,-0.32926779985427856,0.05964607745409012,-0.3103127181529999,-0.3376621603965759,0.20257192850112915,-0.5005229711532593,-0.556288480758667,0.6269949674606323,0.24484500288963318,-0.1761312633752823,-0.4475696384906769,0.423008531332016,-0.2369782030582428,0.4723917245864868,-0.10468591004610062,0.3957330584526062,0.22773170471191406,-0.5421057939529419,0.5026508569717407,-0.15849481523036957,-0.13239267468452454,-0.04498826339840889,0.8729273676872253,0.2099912464618683,0.18374662101268768,-0.3498116433620453,-0.14636151492595673,0.11144918203353882,0.2714826166629791,0.13966690003871918,-0.6390783786773682,-0.3567284345626831,0.16391468048095703,0.4643307328224182,0.09979501366615295,0.1744442880153656,-0.16888797283172607,0.6710113286972046,-0.06332056224346161,-0.03843681886792183,-0.43997427821159363,-0.3247802257537842,0.45058929920196533,-0.4508257508277893,-0.4448957145214081,-0.15262559056282043,-0.050548702478408813,0.11420467495918274,-0.2807222306728363,0.07713627815246582,-0.35614141821861267,-0.14299342036247253,-0.023949410766363144,-0.22523891925811768,-0.003376046195626259,-0.29390472173690796,0.3280853033065796,-0.7430277466773987,-0.16854947805404663,-0.007626094855368137,0.2275187075138092,0.258569598197937,0.10221119225025177,-0.37416598200798035,-0.2556062638759613,-0.38540709018707275,-0.027394762262701988,-0.0846831426024437,0.08131465315818787,0.258708119392395,-0.040980495512485504,0.27159878611564636,-0.20355455577373505,0.43026959896087646,-0.615015983581543,0.09689449518918991,-0.21037063002586365,0.6423843502998352,0.2153662145137787,-0.006798918358981609,-0.10646607726812363,-0.08300554752349854,0.3548659384250641,0.11576173454523087,0.54903644323349,0.12209778279066086,-0.17310522496700287,-0.1704956740140915,-0.3326595425605774,0.42572879791259766,-0.37436428666114807,-0.2761573791503906,0.2758595943450928,0.3535948395729065,0.31790563464164734,0.26520344614982605,-0.2501489520072937,0.3898608088493347,-0.17727698385715485,0.061243489384651184,-0.4601348638534546,-0.1219194307923317,0.1377873420715332,-0.6033865213394165,0.2874637544155121,-0.14895670115947723,-0.2903701663017273,0.5778977274894714,0.45435595512390137,0.29481223225593567,0.37201327085494995,-0.13429391384124756,0.009683600626885891,0.04950057715177536,0.297315388917923,0.1054428294301033,-0.6445472240447998,0.28940555453300476,0.3356824815273285,-0.09316450357437134,0.2473629266023636,-0.0574629046022892,0.3811783492565155,0.3923410475254059,-0.4749416708946228,0.06709390133619308
9,-0.31681713461875916,-0.7134872674942017,-0.6676837801933289,0.29684653878211975,-0.5569687485694885,-0.47750717401504517,0.21991005539894104,-0.14989317953586578,-0.7616559863090515,0.37508928775787354,-0.23286466300487518,0.23132628202438354,-0.25092196464538574,0.224363312125206,-0.26945096254348755,0.40154406428337097,0.37156403064727783,0.07349195331335068,-0.1910788118839264,-0.3703271150588989,0.7457268238067627,-0.022194480523467064,0.0027545662596821785,0.062020473182201385,0.7320753335952759,0.07482929527759552,0.27747780084609985,-0.7707979679107666,0.10648622363805771,0.17434003949165344,0.7159476280212402,0.5670167803764343,-0.4307350218296051,-0.4457445442676544,0.21935021877288818,0.021416841074824333,-0.1776859313249588,0.45105981826782227,-0.0069612134248018265,0.29950910806655884,-0.03392483666539192,0.2050216794013977,-0.695514440536499,-0.23012280464172363,0.15311944484710693,-0.24012556672096252,-0.4546348750591278,-0.05681397765874863,0.16872012615203857,0.41838037967681885,-0.34883013367652893,0.09425177425146103,-0.8486881852149963,-0.09171905368566513,-0.20835815370082855,-0.10311108827590942,0.031032554805278778,-0.059070102870464325,0.15855862200260162,-0.9343876242637634,-0.4211353063583374,0.10559532791376114,0.29258856177330017,0.23267152905464172,0.4763629138469696,-0.006174989510327578,0.2959413528442383,0.05569811910390854,0.42442193627357483,-0.2036246359348297,0.17898447811603546,-0.32415521144866943,0.0351945236325264,-0.23576922714710236,-0.7704431414604187,0.4649249315261841,-0.7171654105186462,-0.21326901018619537,0.14540836215019226,0.5175665616989136,0.04979385808110237,-0.08758453279733658,-0.5311371684074402,0.0662311539053917,-0.005912530701607466,-0.11801290512084961,0.5789329409599304,0.1442333608865738,-0.1910790652036667,-0.7438780665397644,-0.2739013135433197,0.2284080535173416,-0.10408865660429001,-0.6866825819015503,-0.10482263565063477,0.6373962163925171,0.10053879022598267,-0.0446138009428978,-0.6813218593597412,0.29941099882125854,-0.0447114072740078,-0.14248791337013245,-0.283987820148468,0.01808110810816288,0.0022361506707966328,0.024836799129843712,0.31206536293029785,0.24196287989616394,-0.48721596598625183,0.49991416931152344,0.3683445453643799,-0.1516580879688263,-0.1627766638994217,-0.2558489739894867,-0.15305857360363007,-0.14878667891025543,0.32111451029777527,0.39003658294677734,-0.044907454401254654,0.7260788679122925,0.5141136050224304,-0.08860442787408829,0.10223684459924698,0.09030226618051529,0.42052507400512695,0.41847530007362366,-0.16016033291816711,0.2716860771179199
10,-0.3399104177951813,-0.4149112403392792,-0.3033861219882965,0.03646782785654068,-0.22589251399040222,-0.5616745948791504,0.559246838092804,-0.2682269215583801,-0.10997197031974792,0.3808273673057556,-0.010035941377282143,0.10917865484952927,-0.6533412337303162,-0.12273100018501282,0.011646833270788193,0.26015549898147583,-0.04123024269938469,0.013742097653448582,0.08483108878135681,-0.539432168006897,0.48732396960258484,0.5132943987846375,-0.22265055775642395,0.04253470525145531,0.5678678154945374,-0.06902274489402771,0.14714442193508148,-0.47574716806411743,-0.43492960929870605,0.283913791179657,0.24830670654773712,0.04919131100177765,-0.13116870820522308,-0.020777182653546333,0.43074706196784973,0.09686747938394547,-0.07266698032617569,-0.23952548205852509,0.20218101143836975,0.4469769299030304,-0.226426362991333,0.35516658425331116,-0.21048863232135773,0.14994385838508606,-0.0030000077094882727,-0.6246499419212341,-0.2838734984397888,0.02094164304435253,0.058217208832502365,0.17443634569644928,-0.5991106033325195,0.14121568202972412,-0.40273794531822205,-0.17899414896965027,0.1886081099510193,-0.26220273971557617,0.073008231818676,-0.33513128757476807,0.44088536500930786,-0.14869195222854614,-0.031308770179748535,-0.15157848596572876,0.36916956305503845,0.29196855425834656,-0.017825067043304443,0.1748092621564865,-0.0746905580163002,-0.3484955132007599,-0.10757899284362793,-0.025276994332671165,-0.1733117699623108,-0.12719957530498505,0.08578746765851974,0.03233671188354492,-0.44768452644348145,0.5193938612937927,-0.6186679601669312,0.33839693665504456,-0.1138005256652832,0.8259850740432739,-0.05355844274163246,0.05335977301001549,-0.055414989590644836,0.2030974179506302,0.5026249289512634,-0.3117011487483978,0.09493358433246613,-0.012459720484912395,-0.3209661543369293,-0.21126101911067963,-0.37075141072273254,0.31640908122062683,0.01552895549684763,-0.07529274374246597,-0.20577338337898254,-0.001893645036034286,0.30342668294906616,0.044623203575611115,-0.37133359909057617,0.5308969020843506,0.08125732094049454,0.026933178305625916,-0.32112061977386475,-0.10681634396314621,-0.03914215788245201,-0.22759003937244415,0.27176448702812195,0.4412670135498047,-0.29609987139701843,0.4399961233139038,-0.07776530086994171,0.2662290334701538,0.1930655837059021,0.018527021631598473,0.1981326788663864,0.27467474341392517,0.5102548599243164,-0.08351799100637436,-0.14394411444664001,0.1380094289779663,0.20251111686229706,0.10208744555711746,0.3120483160018921,-0.09383336454629898,0.2245323359966278,0.42329463362693787,-0.15225538611412048,0.20640480518341064
