euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
2.315,0.04,20.568,,0.134,29.892,0.601,20.568,0.041
2.835,0.06,25.123,,0.162,33.864,0.769,25.123,0.062
1.133,0.008,10.15,,0.067,18.582,0.263,10.15,0.008
1.337,0.012,11.949,,0.078,20.758,0.325,11.949,0.012
1.394,0.013,12.452,,0.081,21.313,0.342,12.452,0.013
1.486,0.015,13.259,,0.087,22.164,0.367,13.259,0.015
1.352,0.012,12.074,,0.079,20.941,0.333,12.074,0.013
1.875,0.025,16.675,,0.109,25.867,0.481,16.675,0.026
3.161,0.075,28.025,,0.18,36.225,0.867,28.025,0.077
1.261,0.01,11.28,,0.074,19.986,0.299,11.28,0.01
1.411,0.014,12.582,,0.082,21.5,0.352,12.582,0.014
1.346,0.012,12.007,,0.078,20.891,0.334,12.007,0.013
1.567,0.017,13.984,,0.091,22.924,0.402,13.984,0.018
1.35,0.012,12.027,,0.078,20.953,0.334,12.027,0.013
1.767,0.022,15.713,,0.102,24.833,0.454,15.713,0.023
2.653,0.053,23.538,,0.152,32.536,0.71,23.538,0.054
1.389,0.013,12.394,,0.081,21.267,0.345,12.394,0.013
1.433,0.014,12.786,,0.083,21.7,0.358,12.786,0.014
1.348,0.012,12.008,,0.078,20.932,0.34,12.008,0.013
1.386,0.013,12.354,,0.08,21.276,0.348,12.354,0.013
1.443,0.014,12.856,,0.084,21.819,0.365,12.856,0.015
2.026,0.03,18.005,,0.117,27.347,0.525,18.005,0.031
2.813,0.06,24.953,,0.162,33.747,0.753,24.953,0.061
1.502,0.016,13.398,,0.087,22.33,0.374,13.398,0.016
1.454,0.014,12.965,,0.085,21.877,0.362,12.965,0.015
1.384,0.013,12.346,,0.08,21.241,0.344,12.346,0.013
1.456,0.014,12.997,,0.085,21.892,0.362,12.997,0.015
1.386,0.013,12.355,,0.081,21.277,0.346,12.355,0.013
2.066,0.031,18.358,,0.12,27.717,0.533,18.358,0.032
3.047,0.07,27.005,,0.174,35.52,0.826,27.005,0.072
