timeStep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,-0.5568960309028625,-0.6914801001548767,-1.2408205270767212,1.2280086278915405,0.31057682633399963,0.04978441447019577,-1.1509591341018677,-0.5607591271400452,-1.1878482103347778,0.35290825366973877,0.0008029394084587693,0.5999546051025391,-0.22640357911586761,0.0533781461417675,-0.32366788387298584,-1.066038966178894,-0.054127421230077744,0.8401146531105042,-0.8970895409584045,-0.22794941067695618,-0.7445992827415466,-0.009337336756289005,-0.781509518623352,0.7038966417312622,0.624929666519165,-0.8030937910079956,-0.9142646789550781,-0.8848373889923096,0.5978944897651672,-0.37722229957580566,0.4805953800678253,0.7057797908782959,-0.9144951701164246,-0.185556560754776,-0.08380463719367981,0.1788383275270462,-0.3501646816730499,-1.0719280242919922,-0.28113046288490295,-0.05787411704659462,-0.5807253122329712,-0.8193039298057556,0.7307482361793518,-1.1355865001678467,0.2615343928337097,-0.12120191752910614,0.4968746304512024,0.20131145417690277,0.7101651430130005,-0.8655975461006165,-0.24538248777389526,0.2729543447494507,-0.6549160480499268,-0.8597452044487,-0.31020575761795044,0.85683673620224,-0.5025044679641724,0.8995898962020874,-0.9056847095489502,0.7083360552787781,0.36051416397094727,1.268444538116455,0.638455867767334,-0.4029347002506256,0.3158113658428192,-0.24044853448867798,0.6319000720977783,0.19962424039840698,-0.07297796756029129,-0.4968298673629761,-0.9961680769920349,-0.15940551459789276,-0.9642744064331055,-1.5309640169143677,-0.7694994211196899,0.25763753056526184,-0.35533976554870605,-1.0431219339370728,0.394665390253067,0.2737794518470764,0.9872897863388062,0.6787731647491455,-1.1448931694030762,0.24126304686069489,0.8778207302093506,0.2218547761440277,0.5419348478317261,-0.36729249358177185,0.6031250357627869,-0.04436473920941353,-1.0290216207504272,1.1222244501113892,-1.4461381435394287,-1.2584319114685059,-0.5745260119438171,1.180293321609497,0.18024681508541107,-0.01932970993220806,0.9135863780975342,0.053931210190057755,-0.8404394388198853,-0.4482137858867645,-0.9747578501701355,0.08055393397808075,-0.7746298313140869,-0.04045270383358002,-0.18554112315177917,0.7585867643356323,0.7949965000152588,0.18240028619766235,-0.06537677347660065,-0.7774040699005127,-0.358187198638916,-0.10708460956811905,1.0493088960647583,-1.0708072185516357,-1.4579914808273315,-0.34526312351226807,0.47508883476257324,1.287829041481018,1.2199236154556274,0.551484227180481,-0.9578533172607422,0.9867986440658569,-1.6284807920455933,0.01809816062450409,-1.1341307163238525,0.38269147276878357
1,-0.5982098579406738,-0.6926419734954834,-1.142357587814331,1.0048574209213257,0.40238484740257263,0.03950871154665947,-1.1354889869689941,-0.5916696786880493,-1.1159181594848633,0.2414749562740326,0.29425281286239624,0.5356712937355042,-0.46675074100494385,-0.32531845569610596,-0.34802696108818054,-1.009001612663269,0.2207341194152832,1.036496877670288,-1.0678118467330933,-0.37135031819343567,-0.45554250478744507,0.2707800269126892,-0.6637639999389648,0.3388042151927948,0.6657001376152039,-0.9221886396408081,-0.9546002745628357,-1.1126872301101685,0.5675907731056213,-0.9786903858184814,0.6495318412780762,0.7660091519355774,-0.7541578412055969,-0.49209919571876526,-0.13553273677825928,0.18570449948310852,-0.18227027356624603,-0.9950207471847534,-0.4078882932662964,0.17565499246120453,-0.27185413241386414,-0.8272281885147095,0.5058995485305786,-0.9991777539253235,0.30953115224838257,-0.49145159125328064,0.11371459066867828,-0.20184041559696198,0.636351466178894,-0.9191082715988159,-0.2476794570684433,0.010369805619120598,-0.7516801357269287,-0.7545009851455688,-0.23427028954029083,0.9957207441329956,-0.17662957310676575,0.45314520597457886,-0.6800549030303955,0.9879486560821533,0.3473246395587921,1.0811430215835571,0.5047773718833923,-0.4686276316642761,0.2626815140247345,-0.47589462995529175,0.6564817428588867,0.21649900078773499,-0.24357780814170837,-0.6628029346466064,-0.9228706359863281,-0.09921268373727798,-1.0287718772888184,-1.1037201881408691,-0.8923912644386292,0.24684946238994598,-0.7054052948951721,-0.9080764055252075,0.2628762423992157,0.23471350967884064,0.9634076952934265,0.5472709536552429,-1.0938892364501953,-0.013995137065649033,0.89346843957901,0.3003959357738495,0.32564273476600647,-0.5369863510131836,0.7275556325912476,0.16585850715637207,-0.8873293399810791,0.8147129416465759,-1.1553308963775635,-0.9621997475624084,-0.5566079616546631,1.149333119392395,0.3351421654224396,-0.21260765194892883,1.0126248598098755,0.25495535135269165,-0.6612811088562012,-0.370736300945282,-0.7122937440872192,0.3964097201824188,-0.7727326154708862,-0.22138488292694092,-0.13559991121292114,0.836109459400177,0.7619911432266235,0.3723553419113159,-0.015249491669237614,-0.5623087286949158,-0.22819124162197113,-0.5713794827461243,1.0269843339920044,-0.9897815585136414,-1.1776536703109741,-0.11158876866102219,0.4253472685813904,0.9578347206115723,1.0300579071044922,0.6935054659843445,-0.740691065788269,0.9880651235580444,-1.1353671550750732,0.07453443109989166,-0.7936699390411377,-0.0486777238547802
2,-0.6238869428634644,-0.712669312953949,-1.1534351110458374,0.9828881025314331,0.43474963307380676,0.0380326583981514,-1.1654777526855469,-0.615848183631897,-1.132662296295166,0.22382515668869019,0.37005993723869324,0.5371738076210022,-0.5355302095413208,-0.4221619963645935,-0.36443614959716797,-1.0251333713531494,0.2903495132923126,1.1135330200195312,-1.1390501260757446,-0.4160248637199402,-0.4027620255947113,0.34338459372520447,-0.6562124490737915,0.2645612359046936,0.6944494247436523,-0.9765973687171936,-0.9905154705047607,-1.1983249187469482,0.5771686434745789,-1.1463764905929565,0.7084221839904785,0.8028991222381592,-0.740391194820404,-0.5767266154289246,-0.1515035778284073,0.1925460249185562,-0.1494373083114624,-1.005792260169983,-0.448510080575943,0.2349751889705658,-0.20860187709331512,-0.8539076447486877,0.4689519703388214,-0.9975747466087341,0.3291769027709961,-0.5906639099121094,0.028272395953536034,-0.2997514605522156,0.6372064352035522,-0.9582884907722473,-0.25555911660194397,-0.04887532815337181,-0.7956246137619019,-0.7523410320281982,-0.22399206459522247,1.0561457872390747,-0.10589033365249634,0.36412522196769714,-0.6484077572822571,1.0810884237289429,0.3532009720802307,1.0699251890182495,0.48939642310142517,-0.4970707893371582,0.25840577483177185,-0.5439010262489319,0.6814266443252563,0.22670277953147888,-0.28919363021850586,-0.7207993865013123,-0.9324182271957397,-0.08847878873348236,-1.0745083093643188,-1.0384308099746704,-0.9480586647987366,0.2522496283054352,-0.8074352741241455,-0.9030889272689819,0.24037250876426697,0.23278197646141052,0.9856786727905273,0.5331177711486816,-1.1145819425582886,-0.07428010553121567,0.9231719374656677,0.3272891640663147,0.2856566607952118,-0.5911425948143005,0.7772068977355957,0.21799787878990173,-0.8804187774658203,0.7685215473175049,-1.122799038887024,-0.9222447276115417,-0.5696552395820618,1.1765819787979126,0.3812659680843353,-0.2628137469291687,1.0648579597473145,0.30783379077911377,-0.6404966711997986,-0.3638377785682678,-0.6741772890090942,0.4810202419757843,-0.795414924621582,-0.26870742440223694,-0.12810121476650238,0.8787781596183777,0.777301549911499,0.4279908537864685,-0.003692322177812457,-0.5301035642623901,-0.20596198737621307,-0.6951474547386169,1.0522633790969849,-1.001079797744751,-1.1478296518325806,-0.06107746437191963,0.4276081919670105,0.9105108380317688,1.0183682441711426,0.7471078634262085,-0.7121222615242004,1.0188169479370117,-1.0556159019470215,0.0901745855808258,-0.7391954064369202,-0.14925892651081085
3,-0.5614088177680969,-0.6748712658882141,-1.163293480873108,1.0964381694793701,0.343995064496994,0.04577206075191498,-1.1135650873184204,-0.5600387454032898,-1.1230777502059937,0.29401665925979614,0.13213619589805603,0.5553465485572815,-0.3269343376159668,-0.11753106117248535,-0.32485273480415344,-1.0127043724060059,0.07066620886325836,0.9052790999412537,-0.9501501321792603,-0.28446164727211,-0.5955502986907959,0.11583930999040604,-0.7092220187187195,0.5216853022575378,0.6279220581054688,-0.836862325668335,-0.9094323515892029,-0.9632413387298584,0.5678350925445557,-0.6342399716377258,0.5417171120643616,0.7126480937004089,-0.8175508975982666,-0.3184812366962433,-0.10495572537183762,0.17722328007221222,-0.2652130126953125,-1.0113072395324707,-0.33128055930137634,0.047144655138254166,-0.42834025621414185,-0.8003353476524353,0.610992968082428,-1.0429879426956177,0.27620965242385864,-0.28389087319374084,0.31367120146751404,0.014971957542002201,0.6599010825157166,-0.8664999604225159,-0.24035067856311798,0.14687155187129974,-0.6809052228927612,-0.788192093372345,-0.26870447397232056,0.89607173204422,-0.3439580500125885,0.6762644648551941,-0.7789152264595032,0.8150953054428101,0.34705960750579834,1.1506221294403076,0.5606586933135986,-0.4208184480667114,0.28391262888908386,-0.3377176821231842,0.6252968907356262,0.20195084810256958,-0.1476116180419922,-0.5572464466094971,-0.9365479946136475,-0.1283760666847229,-0.96741783618927,-1.299767255783081,-0.8017665147781372,0.24516943097114563,-0.5004842281341553,-0.9557873010635376,0.32630130648612976,0.24819809198379517,0.9508681893348694,0.6019319295883179,-1.0921789407730103,0.12201613932847977,0.8604457378387451,0.2521180808544159,0.43045225739479065,-0.43347275257110596,0.6425577998161316,0.051123350858688354,-0.9380940198898315,0.9544791579246521,-1.277349591255188,-1.0928459167480469,-0.5500056743621826,1.13526451587677,0.24312034249305725,-0.10577885061502457,0.9328237771987915,0.14374257624149323,-0.738726019859314,-0.40096479654312134,-0.8301119804382324,0.21885882318019867,-0.7513691782951355,-0.1216295138001442,-0.15863804519176483,0.7742081880569458,0.757563054561615,0.2619687020778656,-0.041867852210998535,-0.6604850888252258,-0.2887539267539978,-0.3110426068305969,1.0114623308181763,-1.0059895515441895,-1.2943718433380127,-0.23159946501255035,0.4403638541698456,1.1056749820709229,1.1000473499298096,0.5984483361244202,-0.8363927006721497,0.9600182175636292,-1.365546703338623,0.04213370382785797,-0.9526252746582031,0.17992663383483887
4,-0.5691103935241699,-0.6801431179046631,-1.1637617349624634,1.0832217931747437,0.3553338050842285,0.04456894472241402,-1.1212574243545532,-0.5677899122238159,-1.1257948875427246,0.28513604402542114,0.16201071441173553,0.5539959669113159,-0.3543485999107361,-0.15688617527484894,-0.33108392357826233,-1.0152931213378906,0.09875550121068954,0.9342586994171143,-0.9761086106300354,-0.3025641441345215,-0.5721503496170044,0.14577236771583557,-0.7034394145011902,0.4900917410850525,0.6372143030166626,-0.8563375473022461,-0.921180009841919,-0.9957287907600403,0.5703893303871155,-0.7021414041519165,0.5652240514755249,0.726196825504303,-0.8098828792572021,-0.3519887924194336,-0.11059080064296722,0.17921563982963562,-0.25155338644981384,-1.0122694969177246,-0.3467901647090912,0.07216592133045197,-0.4010414183139801,-0.8098330497741699,0.5938462018966675,-1.0402041673660278,0.28323596715927124,-0.323629766702652,0.2775630056858063,-0.02546214871108532,0.6583365797996521,-0.8810172080993652,-0.24282652139663696,0.1228410080075264,-0.6969419717788696,-0.7860409617424011,-0.2634459435939789,0.9187822341918945,-0.31348946690559387,0.637574315071106,-0.7646989226341248,0.8509849309921265,0.3475949168205261,1.142975926399231,0.5534359216690063,-0.4316082298755646,0.28117164969444275,-0.36599841713905334,0.6338294744491577,0.20582665503025055,-0.16559475660324097,-0.5798171162605286,-0.9378993511199951,-0.12345323711633682,-0.9843196272850037,-1.268955111503601,-0.8239426016807556,0.24692611396312714,-0.5416878461837769,-0.9507437348365784,0.3156137466430664,0.2471994161605835,0.9573487043380737,0.5946277379989624,-1.0978517532348633,0.09628359973430634,0.8706965446472168,0.26172488927841187,0.41336914896965027,-0.4545622766017914,0.6609066724777222,0.07227509468793869,-0.9332281947135925,0.9329633712768555,-1.2610119581222534,-1.0732219219207764,-0.5547223091125488,1.1432913541793823,0.26190653443336487,-0.12608252465724945,0.9519621729850769,0.16447162628173828,-0.7271555066108704,-0.3969281315803528,-0.8131636381149292,0.2535856068134308,-0.7585442662239075,-0.14014504849910736,-0.15476085245609283,0.7890435457229614,0.7629460692405701,0.28357577323913574,-0.036258991807699203,-0.6451393961906433,-0.27935168147087097,-0.36159422993659973,1.019152283668518,-1.0068979263305664,-1.2779189348220825,-0.2102922946214676,0.44020727276802063,1.0826077461242676,1.0929272174835205,0.6196981072425842,-0.8213878870010376,0.9697176218032837,-1.3284943103790283,0.04935125261545181,-0.9266185164451599,0.13811136782169342
5,-0.5724247694015503,-0.6819890141487122,-1.1641474962234497,1.079383373260498,0.3591465353965759,0.04355200380086899,-1.1240568161010742,-0.5700753927230835,-1.1266001462936401,0.283052533864975,0.17079374194145203,0.5528011918067932,-0.3616029918193817,-0.1671079844236374,-0.3323156535625458,-1.0165687799453735,0.10585372149944305,0.9403073787689209,-0.9816047549247742,-0.30632466077804565,-0.5648316740989685,0.1534319967031479,-0.700671911239624,0.48157018423080444,0.6386007070541382,-0.8593738079071045,-0.9232486486434937,-1.0018786191940308,0.570600688457489,-0.7187610268592834,0.5707223415374756,0.7286359071731567,-0.8060876131057739,-0.36036863923072815,-0.11212388426065445,0.17993061244487762,-0.24659626185894012,-1.0107859373092651,-0.35044607520103455,0.07823149114847183,-0.39262816309928894,-0.8107982873916626,0.5893321633338928,-1.0386431217193604,0.28521671891212463,-0.3336588144302368,0.2669009268283844,-0.035796601325273514,0.6565905809402466,-0.8831518292427063,-0.24336838722229004,0.11618579179048538,-0.7005721926689148,-0.784798264503479,-0.26130279898643494,0.9231720566749573,-0.3053516745567322,0.6268979907035828,-0.7603293657302856,0.8594955205917358,0.3483250141143799,1.139648199081421,0.5500243902206421,-0.43376222252845764,0.280233234167099,-0.37204065918922424,0.6359047293663025,0.207040935754776,-0.1708371490240097,-0.5860081315040588,-0.9372422695159912,-0.12156771123409271,-0.9872040152549744,-1.2595691680908203,-0.8276876211166382,0.24689649045467377,-0.5519488453865051,-0.9483879208564758,0.3123883903026581,0.24618056416511536,0.958014965057373,0.59120774269104,-1.0975961685180664,0.08939070254564285,0.8722561001777649,0.26406359672546387,0.40752461552619934,-0.45893919467926025,0.6658123731613159,0.07780233025550842,-0.9305955767631531,0.9259358644485474,-1.2553297281265259,-1.0661121606826782,-0.5540533661842346,1.1441423892974854,0.26670941710472107,-0.13123077154159546,0.9568912982940674,0.17019669711589813,-0.7239618301391602,-0.3962550163269043,-0.8073261380195618,0.2622207999229431,-0.7606292963027954,-0.14554311335086823,-0.1541600078344345,0.792169451713562,0.7622874975204468,0.28981608152389526,-0.035111408680677414,-0.6413039565086365,-0.27618342638015747,-0.37425732612609863,1.0201178789138794,-1.0072448253631592,-1.2734581232070923,-0.2044783979654312,0.43892061710357666,1.0764294862747192,1.0899426937103271,0.6239615082740784,-0.8170725107192993,0.9718455076217651,-1.3174026012420654,0.04994702339172363,-0.9189785122871399,0.1268029659986496
6,-0.574737548828125,-0.6826611161231995,-1.1624224185943604,1.0723854303359985,0.3635661005973816,0.042870599776506424,-1.1254154443740845,-0.5720893740653992,-1.1260685920715332,0.278812974691391,0.18337269127368927,0.5511845350265503,-0.37235161662101746,-0.18269483745098114,-0.3339567482471466,-1.0159229040145874,0.1171218752861023,0.9494439363479614,-0.9887842535972595,-0.31287041306495667,-0.5536117553710938,0.16434291005134583,-0.6969906091690063,0.46710553765296936,0.6409657597541809,-0.8649192452430725,-0.9252496957778931,-1.0124313831329346,0.5699908137321472,-0.7442924976348877,0.5780261754989624,0.7323756217956543,-0.800803542137146,-0.3729957640171051,-0.11452306061983109,0.18012993037700653,-0.24065127968788147,-1.008306860923767,-0.35590267181396484,0.08771616220474243,-0.38050150871276855,-0.8116393089294434,0.5810152292251587,-1.0339018106460571,0.28780674934387207,-0.3493160903453827,0.2513398826122284,-0.05181070789694786,0.6538089513778687,-0.8862059712409973,-0.2429685890674591,0.10594072192907333,-0.7045838236808777,-0.7814416289329529,-0.25884801149368286,0.9298977255821228,-0.29246410727500916,0.6094423532485962,-0.7520513534545898,0.8716517686843872,0.3475147485733032,1.1326261758804321,0.5453490614891052,-0.43698450922966003,0.27806276082992554,-0.382224977016449,0.6376299858093262,0.20773713290691376,-0.17773157358169556,-0.5929209589958191,-0.9356396794319153,-0.11918419599533081,-0.9900172352790833,-1.2430566549301147,-0.8340723514556885,0.246911883354187,-0.566830575466156,-0.943044126033783,0.30755212903022766,0.24506425857543945,0.9569986462593079,0.5871545672416687,-1.096350908279419,0.07908089458942413,0.8738466501235962,0.2671695053577423,0.39907264709472656,-0.4660578966140747,0.6710841655731201,0.08660823106765747,-0.9254891276359558,0.9142276644706726,-1.243944764137268,-1.0556129217147827,-0.554776132106781,1.1439964771270752,0.27333125472068787,-0.138845756649971,0.9614639282226562,0.1778137981891632,-0.7174979448318481,-0.3934713304042816,-0.7974226474761963,0.2751852869987488,-0.761544942855835,-0.1520405411720276,-0.1519010365009308,0.7955829501152039,0.7622190117835999,0.29769840836524963,-0.03362047299742699,-0.6325986981391907,-0.27170658111572266,-0.3931748867034912,1.0200269222259521,-1.0042140483856201,-1.2622599601745605,-0.19511519372463226,0.4370824992656708,1.06339430809021,1.083643913269043,0.6307902336120605,-0.8090553879737854,0.9727810025215149,-1.2982081174850464,0.05263721942901611,-0.9056813716888428,0.10902822017669678
7,-0.5724195837974548,-0.6825087666511536,-1.1674820184707642,1.0847809314727783,0.35811373591423035,0.04406341537833214,-1.1261407136917114,-0.5704683065414429,-1.1298140287399292,0.2854154407978058,0.1661941260099411,0.55521160364151,-0.35845717787742615,-0.16134662926197052,-0.33254387974739075,-1.01863431930542,0.10138709098100662,0.9391263723373413,-0.9809489250183105,-0.3050241768360138,-0.571052610874176,0.14892978966236115,-0.7043139934539795,0.4880407154560089,0.6396688222885132,-0.8597203493118286,-0.9243431091308594,-1.0007743835449219,0.5723724961280823,-0.7103256583213806,0.5687935948371887,0.7290682792663574,-0.8110945224761963,-0.35640019178390503,-0.11180747300386429,0.1801861673593521,-0.2501690983772278,-1.014224886894226,-0.3491702973842621,0.07469593733549118,-0.39871904253959656,-0.8124643564224243,0.5939025282859802,-1.042680025100708,0.28492093086242676,-0.32828810811042786,0.2742519974708557,-0.029290692880749702,0.6594018936157227,-0.8839066624641418,-0.24382545053958893,0.12069397419691086,-0.7003730535507202,-0.7875491380691528,-0.2632233500480652,0.9231456518173218,-0.3115193843841553,0.6354519724845886,-0.7653559446334839,0.8563806414604187,0.3485867977142334,1.1450984477996826,0.5538070201873779,-0.4340408742427826,0.2812778055667877,-0.36928465962409973,0.6363496780395508,0.20658446848392487,-0.16834652423858643,-0.5835619568824768,-0.94029700756073,-0.12314464151859283,-0.9881128668785095,-1.2687455415725708,-0.8273352384567261,0.24773581326007843,-0.5473471283912659,-0.9527987837791443,0.31489771604537964,0.24783656001091003,0.9606717228889465,0.5948430895805359,-1.1005843877792358,0.09381909668445587,0.8737434148788452,0.2637515664100647,0.4122161269187927,-0.4577977657318115,0.6647531986236572,0.07484493404626846,-0.9345315098762512,0.9329120516777039,-1.2622954845428467,-1.0734076499938965,-0.5559104681015015,1.1465063095092773,0.26458558440208435,-0.12828727066516876,0.9567555785179138,0.1670287400484085,-0.7282896637916565,-0.3980957567691803,-0.8131676912307739,0.2572157382965088,-0.7617994546890259,-0.14271527528762817,-0.15464246273040771,0.7923588156700134,0.764683187007904,0.28703659772872925,-0.03580375760793686,-0.6455966830253601,-0.27886807918548584,-0.36745685338974,1.0221539735794067,-1.0101673603057861,-1.2800838947296143,-0.20872607827186584,0.44069406390190125,1.0831776857376099,1.0947681665420532,0.6233716607093811,-0.8220651745796204,0.973722517490387,-1.3282358646392822,0.049574170261621475,-0.9267556071281433,0.13401766121387482
8,-0.5875326991081238,-0.6893635392189026,-1.1558334827423096,1.0428409576416016,0.38313019275665283,0.041751593351364136,-1.1335409879684448,-0.5830403566360474,-1.1245886087417603,0.2615622282028198,0.23667868971824646,0.5453715324401855,-0.41827768087387085,-0.25183990597724915,-0.341581791639328,-1.0147361755371094,0.166975736618042,0.9939764738082886,-1.02972412109375,-0.3415989577770233,-0.5081387758255005,0.21546563506126404,-0.6830041408538818,0.4066857099533081,0.6551702618598938,-0.895271897315979,-0.9416389465332031,-1.0636192560195923,0.5704936385154724,-0.8580061793327332,0.6139567494392395,0.7505431771278381,-0.7807586193084717,-0.4315217435359955,-0.12507668137550354,0.1825631707906723,-0.21332481503486633,-1.0048155784606934,-0.38187268376350403,0.12983295321464539,-0.32983362674713135,-0.8214018940925598,0.5465724468231201,-1.0203906297683716,0.29899856448173523,-0.41778579354286194,0.18629801273345947,-0.12342512607574463,0.647697389125824,-0.9043743014335632,-0.24620094895362854,0.06027291715145111,-0.7294307947158813,-0.7703165411949158,-0.2483377605676651,0.964074969291687,-0.23793762922286987,0.5371450185775757,-0.7197457551956177,0.929231584072113,0.34855887293815613,1.1114100217819214,0.5273893475532532,-0.4530864953994751,0.271735817193985,-0.4277229309082031,0.6485850811004639,0.2129473090171814,-0.20917238295078278,-0.6281241178512573,-0.9316043257713318,-0.11025252938270569,-1.0116792917251587,-1.1807583570480347,-0.8644502758979797,0.24762795865535736,-0.6346070170402527,-0.9294643998146057,0.28770682215690613,0.240727499127388,0.9631827473640442,0.5696596503257751,-1.0990885496139526,0.03481678292155266,0.8852596282958984,0.28416547179222107,0.36502566933631897,-0.5010645985603333,0.6996986269950867,0.12430711835622787,-0.909658670425415,0.8691297173500061,-1.2052137851715088,-1.0143375396728516,-0.5576317310333252,1.150587558746338,0.3031459450721741,-0.17464138567447662,0.988288938999176,0.21528440713882446,-0.6934565901756287,-0.383757084608078,-0.7591750025749207,0.333954393863678,-0.7687087655067444,-0.18564988672733307,-0.14448818564414978,0.8181153535842896,0.7636572122573853,0.3343885838985443,-0.024532342329621315,-0.6015731692314148,-0.25178685784339905,-0.47980648279190063,1.0258972644805908,-1.000704288482666,-1.2258132696151733,-0.1554863154888153,0.43340396881103516,1.0163094997406006,1.060917615890503,0.66267329454422,-0.779045581817627,0.9830949306488037,-1.2245556116104126,0.06303802132606506,-0.8550884127616882,0.03397539258003235
9,-0.6384189128875732,-0.7214972972869873,-1.1550017595291138,0.9645338654518127,0.4532923400402069,0.03589273989200592,-1.1783342361450195,-0.6283478140830994,-1.137792706489563,0.2116028070449829,0.4160536825656891,0.5354852080345154,-0.5765460133552551,-0.47936946153640747,-0.37314221262931824,-1.0309548377990723,0.33201342821121216,1.1540789604187012,-1.176777720451355,-0.44176027178764343,-0.36743608117103577,0.38688379526138306,-0.6479318737983704,0.21789304912090302,0.7080857753753662,-1.0043073892593384,-1.0089352130889893,-1.2447361946105957,0.5808225274085999,-1.2446887493133545,0.741624116897583,0.8218759894371033,-0.7279554605484009,-0.6265612244606018,-0.16035108268260956,0.19647352397441864,-0.12770619988441467,-1.0072522163391113,-0.4715754985809326,0.2705158293247223,-0.1676526665687561,-0.8659222722053528,0.44372013211250305,-0.9918857216835022,0.3402588367462158,-0.6498461961746216,-0.025121202692389488,-0.35977688431739807,0.6349030137062073,-0.9776628017425537,-0.259212851524353,-0.08553700894117355,-0.8194417357444763,-0.7483422756195068,-0.2155541032552719,1.0891375541687012,-0.062432948499917984,0.3068222403526306,-0.6261550784111023,1.1335984468460083,0.355832576751709,1.057962417602539,0.47787025570869446,-0.5126610994338989,0.2542147934436798,-0.584269642829895,0.6935529708862305,0.23167861998081207,-0.3171355128288269,-0.7534451484680176,-0.9345831274986267,-0.080860435962677,-1.0967987775802612,-0.9919381141662598,-0.9774888157844543,0.2541780173778534,-0.8666048645973206,-0.8958037495613098,0.2244376540184021,0.23124824464321136,0.9952351450920105,0.5213508605957031,-1.121296763420105,-0.11048167198896408,0.9379414319992065,0.3417801558971405,0.2593730092048645,-0.6226134896278381,0.8047211170196533,0.2502361536026001,-0.873066782951355,0.7363404631614685,-1.0972391366958618,-0.8925103545188904,-0.574137270450592,1.1870390176773071,0.40804630517959595,-0.29288479685783386,1.092763066291809,0.33967360854148865,-0.6235882639884949,-0.35867056250572205,-0.6469573378562927,0.5312109589576721,-0.8065429329872131,-0.2970656752586365,-0.1228739395737648,0.9000623822212219,0.7831357717514038,0.4600811302661896,0.002990338020026684,-0.5070648193359375,-0.19065628945827484,-0.7685343027114868,1.0628458261489868,-1.0029271841049194,-1.123955249786377,-0.029362229630351067,0.4256126880645752,0.876741349697113,1.005918264389038,0.7770469188690186,-0.6911808848381042,1.0321582555770874,-1.00094473361969,0.09925414621829987,-0.701606810092926,-0.21084605157375336
