euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
4.941,0.368,45.607,10.972,0.51,65.837,1.308,45.607,0.367
4.593,0.336,41.034,2.703,0.488,65.991,1.045,41.034,0.337
5.046,0.412,46.222,,0.552,73.189,1.191,46.222,0.411
4.735,0.388,44.812,1.288,0.543,74.379,1.013,44.812,0.386
4.774,0.375,43.922,8.167,0.52,68.595,1.274,43.922,0.374
5.216,0.406,48.266,11.295,0.565,75.794,1.315,48.266,0.406
4.727,0.382,43.391,,0.519,66.842,0.976,43.391,0.38
4.902,0.363,43.606,,0.514,69.57,1.126,43.606,0.363
5.062,0.365,48.142,,0.535,70.611,1.246,48.142,0.364
5.146,0.415,47.364,9.654,0.55,71.261,1.151,47.364,0.416
4.524,0.374,41.99,,0.511,67.542,1.088,41.99,0.375
4.857,0.389,43.399,,0.516,67.417,1.174,43.399,0.387
4.903,0.396,44.821,,0.537,69.858,1.248,44.821,0.393
4.494,0.381,41.335,,0.515,69.214,0.983,41.335,0.379
3.979,0.311,37.789,4.046,0.458,66.799,0.798,37.789,0.311
4.543,0.346,41.3,4.248,0.487,66.872,1.209,41.3,0.344
4.651,0.386,41.974,,0.524,69.895,1.083,41.974,0.386
5.176,0.424,46.634,7.664,0.561,70.448,1.242,46.634,0.42
5.113,0.43,45.947,21.18,0.54,70.227,1.209,45.947,0.428
4.826,0.389,44.007,,0.522,69.852,1.141,44.007,0.39
5.088,0.382,45.441,9.064,0.532,67.784,1.188,45.441,0.383
4.649,0.363,42.842,17.353,0.503,67.78,1.425,42.842,0.363
5.028,0.357,46.209,7.836,0.519,68.192,1.354,46.209,0.357
4.793,0.387,43.637,,0.54,72.002,1.15,43.637,0.387
4.534,0.381,41.239,15.028,0.524,70.537,0.97,41.239,0.375
5.183,0.431,48.064,15.446,0.584,74.824,0.959,48.064,0.427
4.641,0.367,41.054,,0.485,62.562,1.071,41.054,0.365
4.041,0.351,35.6,,0.468,63.433,1.072,35.6,0.349
4.845,0.357,42.864,9.599,0.485,64.491,1.177,42.864,0.357
4.898,0.352,43.517,4.229,0.485,65.034,1.239,43.517,0.343
