euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.736,0.097,6.582,,0.775,96.689,0.161,6.582,0.097
0.159,0.003,1.442,,0.088,18.326,0.039,1.442,0.003
0.095,0.004,0.876,,0.06,17.21,0.023,0.876,0.004
0.12,0.004,1.123,,0.071,18.466,0.027,1.123,0.004
0.1,0.004,0.902,,0.062,17.507,0.021,0.902,0.004
0.152,0.003,1.361,,0.084,18.618,0.038,1.361,0.003
0.252,0.003,2.275,,0.132,24.18,0.066,2.275,0.003
0.234,0.003,2.156,,0.126,23.052,0.062,2.156,0.003
0.139,0.003,1.314,,0.081,20.149,0.035,1.314,0.003
0.215,0.003,1.991,,0.118,24.215,0.048,1.991,0.003
0.153,0.004,1.356,,0.084,19.103,0.044,1.356,0.004
0.17,0.003,1.526,,0.093,20.064,0.048,1.526,0.003
0.309,0.003,2.774,,0.156,26.06,0.078,2.774,0.003
0.149,0.003,1.359,,0.084,19.337,0.034,1.359,0.003
0.099,0.004,0.902,,0.058,16.648,0.024,0.902,0.004
0.082,0.004,0.762,,0.05,17.821,0.018,0.762,0.004
0.149,0.004,1.338,,0.083,19.825,0.042,1.338,0.003
0.201,0.003,1.818,,0.109,21.578,0.055,1.818,0.003
0.081,0.005,0.746,,0.05,17.185,0.017,0.746,0.005
0.205,0.003,1.842,,0.11,21.838,0.051,1.842,0.003
0.125,0.003,1.13,,0.071,17.033,0.032,1.13,0.003
0.214,0.003,1.972,,0.117,25.126,0.05,1.972,0.003
0.44,0.003,3.901,,0.207,31.311,0.105,3.901,0.003
0.2,0.004,1.821,,0.109,22.044,0.058,1.821,0.003
0.093,0.004,0.84,,0.054,17.354,0.024,0.84,0.004
0.084,0.004,0.77,,0.05,16.892,0.019,0.77,0.003
0.146,0.004,1.319,,0.081,19.584,0.034,1.319,0.004
0.216,0.003,1.994,,0.118,22.144,0.049,1.994,0.003
0.162,0.003,1.448,,0.088,18.299,0.044,1.448,0.003
0.241,0.003,2.212,,0.129,25.042,0.055,2.212,0.003
0.224,0.004,2.004,,0.119,22.236,0.053,2.004,0.004
0.332,0.003,2.955,,0.165,26.643,0.083,2.955,0.003
0.375,0.003,3.403,,0.185,30.913,0.098,3.403,0.003
0.299,0.003,2.693,,0.153,26.558,0.077,2.693,0.003
0.218,0.003,1.991,,0.117,21.863,0.051,1.991,0.003
0.203,0.003,1.818,,0.109,20.958,0.052,1.818,0.003
0.224,0.003,2.02,,0.12,23.102,0.052,2.02,0.003
0.169,0.004,1.54,,0.113,23.752,0.035,1.54,0.004
0.148,0.004,1.37,,0.084,19.197,0.035,1.37,0.004
0.083,0.005,0.78,,0.052,20.176,0.016,0.78,0.005
0.16,0.005,1.46,,0.106,24.372,0.034,1.46,0.004
0.106,0.004,1.007,,0.07,21.233,0.024,1.007,0.004
0.156,0.004,1.435,,0.088,20.58,0.035,1.435,0.004
0.075,0.004,0.691,,0.047,16.772,0.017,0.691,0.004
0.281,0.003,2.539,,0.145,23.572,0.069,2.539,0.003
0.178,0.003,1.635,,0.099,20.386,0.047,1.635,0.003
0.074,0.004,0.703,,0.047,16.438,0.014,0.703,0.004
0.077,0.004,0.684,,0.046,15.239,0.022,0.684,0.004
0.163,0.003,1.473,,0.09,18.598,0.036,1.473,0.003
0.079,0.004,0.734,,0.049,18.358,0.015,0.734,0.004
0.289,0.003,2.658,,0.151,25.666,0.066,2.658,0.003
0.156,0.003,1.428,,0.087,20.214,0.036,1.428,0.003
0.191,0.003,1.731,,0.104,19.894,0.051,1.731,0.003
0.252,0.004,2.257,,0.131,24.367,0.068,2.257,0.004
0.271,0.003,2.502,,0.143,25.268,0.06,2.502,0.003
0.241,0.004,2.195,,0.128,24.55,0.057,2.195,0.004
0.281,0.003,2.498,,0.143,23.579,0.076,2.498,0.003
0.484,0.003,4.307,,0.224,34.241,0.119,4.307,0.003
0.273,0.003,2.465,,0.142,24.361,0.063,2.465,0.003
0.237,0.003,2.122,,0.125,23.551,0.063,2.122,0.003
0.166,0.003,1.484,,0.091,20.251,0.041,1.484,0.003
0.358,0.003,3.214,,0.177,29.501,0.084,3.214,0.003
0.258,0.004,2.359,,0.137,25.409,0.066,2.359,0.003
0.119,0.003,1.105,,0.069,18.109,0.029,1.105,0.003
0.142,0.003,1.264,,0.078,18.434,0.034,1.264,0.003
0.08,0.004,0.735,,0.048,15.961,0.021,0.735,0.003
0.262,0.003,2.402,,0.138,24.699,0.066,2.402,0.003
0.075,0.004,0.7,,0.047,18.497,0.016,0.7,0.004
0.22,0.004,2.038,,0.121,23.922,0.06,2.038,0.004
0.072,0.003,0.655,,0.043,13.137,0.019,0.655,0.003
0.228,0.003,2.099,,0.124,22.263,0.05,2.099,0.003
0.085,0.004,0.79,,0.051,18.11,0.02,0.79,0.004
0.312,0.008,2.792,,0.226,38.772,0.067,2.792,0.007
0.15,0.005,1.342,,0.097,21.772,0.034,1.342,0.005
0.102,0.004,0.931,,0.064,17.721,0.024,0.931,0.004
0.295,0.005,2.679,,0.215,34.859,0.064,2.679,0.005
0.132,0.005,1.193,,0.085,20.949,0.032,1.193,0.005
0.205,0.005,1.847,,0.138,24.147,0.051,1.847,0.005
0.36,0.008,3.203,,0.269,38.684,0.085,3.203,0.008
0.594,0.022,5.309,,0.542,71.811,0.124,5.309,0.022
0.665,0.037,5.949,,0.652,85.908,0.141,5.949,0.036
0.749,0.125,6.637,,0.786,95.435,0.168,6.637,0.125
0.829,0.712,7.415,,0.968,111.267,0.183,7.415,0.715
0.82,0.575,7.33,,0.945,111.962,0.181,7.33,0.577
0.841,0.936,7.527,,0.995,116.338,0.178,7.527,0.931
0.604,0.024,5.395,,0.556,73.524,0.125,5.395,0.024
0.68,0.046,6.146,,0.687,90.925,0.146,6.146,0.046
0.812,0.469,7.21,,0.916,108.009,0.175,7.21,0.465
0.747,0.12,6.7,,0.798,98.983,0.16,6.7,0.118
0.813,0.488,7.326,,0.944,113.787,0.174,7.326,0.489
