euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.711,0.063,6.303,10.134,0.719,90.399,0.164,6.303,0.064
0.167,0.001,1.526,6.394,0.093,20.113,0.035,1.526,0.001
0.056,0.002,0.533,9.467,0.036,15.627,0.011,0.533,0.002
0.125,0.001,1.134,9.522,0.07,16.698,0.029,1.134,0.001
0.087,0.002,0.782,9.283,0.054,18.089,0.021,0.782,0.002
0.157,0.001,1.388,9.133,0.085,16.993,0.033,1.388,0.001
0.217,0.001,1.93,10.577,0.114,20.781,0.052,1.93,0.001
0.222,0.001,2.005,10.737,0.118,21.463,0.053,2.005,0.001
0.17,0.001,1.528,11.575,0.093,17.694,0.036,1.528,0.001
0.257,0.001,2.303,9.229,0.133,22.396,0.057,2.303,0.001
0.133,0.001,1.183,10.708,0.073,14.804,0.034,1.183,0.001
0.209,0.001,1.827,12.741,0.109,17.326,0.05,1.827,0.001
0.288,0.001,2.577,11.112,0.147,23.09,0.067,2.577,0.001
0.126,0.001,1.106,9.781,0.069,16.091,0.03,1.106,0.002
0.072,0.002,0.647,9.345,0.042,12.411,0.017,0.647,0.002
0.079,0.001,0.71,9.097,0.046,12.326,0.019,0.71,0.001
0.1,0.002,0.902,9.007,0.057,14.985,0.024,0.902,0.002
0.198,0.001,1.76,10.387,0.105,18.393,0.047,1.76,0.001
0.055,0.002,0.531,9.305,0.035,14.511,0.012,0.531,0.002
0.211,0.001,1.928,10.2,0.114,22.334,0.045,1.928,0.001
0.104,0.002,0.963,10.695,0.061,14.748,0.024,0.963,0.002
0.2,0.001,1.8,10.89,0.107,18.105,0.048,1.8,0.001
0.369,0.001,3.228,18.776,0.178,28.603,0.081,3.228,0.001
0.257,0.001,2.274,12.136,0.132,21.079,0.064,2.274,0.001
0.062,0.002,0.57,8.726,0.039,14.965,0.014,0.57,0.002
0.111,0.002,1.009,9.233,0.064,17.313,0.026,1.009,0.002
0.11,0.002,1.016,9.295,0.064,14.817,0.026,1.016,0.002
0.212,0.001,1.923,8.192,0.114,20.909,0.048,1.923,0.001
