timeStep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,0.14922335743904114,0.0360553078353405,-0.11867896467447281,0.1138949915766716,0.04886607080698013,-0.10369154810905457,-0.1785472333431244,0.06346943974494934,-0.09326733648777008,-0.04477156698703766,-0.07542691379785538,0.04781637340784073,0.05875031650066376,0.0796947032213211,-0.06707439571619034,0.008860154077410698,-0.010168745182454586,0.028562232851982117,-0.0707295835018158,-0.11609120666980743,-0.0008266547811217606,0.04194246605038643,0.030889984220266342,0.021018588915467262,-0.15450382232666016,0.01978405751287937,0.08661508560180664,-0.040434520691633224,0.01397920586168766,-0.0010458016768097878,0.15343061089515686,0.10110468417406082,-0.025254735723137856,0.00472095375880599,0.020289892330765724,-0.0399441123008728,-0.04264248535037041,0.18009769916534424,-0.010610325261950493,0.02873956970870495,-0.14384600520133972,-0.020164264366030693,-0.0033374601043760777,-0.07340395450592041,-0.07270906865596771,-0.018714403733611107,-0.024302588775753975,0.1447942703962326,0.035990990698337555,0.04605703055858612,-0.043963365256786346,0.12066537141799927,0.11949314922094345,-0.03783677890896797,-0.13803322613239288,-0.04860953614115715,-0.02364508993923664,0.006629708223044872,-0.05199064686894417,-0.041296232491731644,-0.13050447404384613,-0.002638604724779725,0.06889399141073227,0.04385155811905861,0.05830845236778259,0.09025963395833969,-0.011477733962237835,-0.011988558806478977,0.110044926404953,-0.11095235496759415,0.030307205393910408,0.043690554797649384,0.016535157337784767,-0.04432816430926323,-0.07863342761993408,0.05844080075621605,-0.150603249669075,0.05364961549639702,-0.06331778317689896,-0.08818665891885757,0.009716684930026531,0.04179088771343231,0.056630413979291916,-0.03813544288277626,-0.09890559315681458,-0.07659630477428436,0.09302420914173126,-0.019709136337041855,0.0005664197378791869,-0.08530939370393753,0.03151228651404381,-0.011767256073653698,-0.1653897762298584,-0.08650501072406769,-0.11124736815690994,-0.023128297179937363,0.11635667830705643,0.07969912886619568,-0.03927234932780266,-0.07916098088026047,0.04279910400509834,0.02132406271994114,-0.1619093120098114,-0.009589776396751404,-0.03571631759405136,-0.019815754145383835,0.005352215375751257,0.03957030549645424,-0.03205455467104912,0.007270112633705139,0.0712384283542633,-0.008210742846131325,-0.004071972798556089,-0.018750449642539024,0.14719969034194946,-0.0482209138572216,-0.005359340459108353,0.019162433221936226,-0.03001311421394348,0.10813213884830475,0.11769145727157593,0.024469006806612015,-0.07682840526103973,0.06950265169143677,-0.0034979151096194983,0.014048701152205467,-0.055017512291669846,0.04926946014165878
1,0.02191248908638954,-0.0005564998718909919,-0.011262603104114532,0.014998388476669788,0.005588914733380079,-0.008531107567250729,-0.02560252696275711,0.007196612656116486,-0.010266407392919064,-0.0037158040795475245,-0.016860293224453926,0.0019147418206557631,0.014214983209967613,0.011453451588749886,-0.005576492287218571,-0.005245070438832045,-0.003102533519268036,0.004385244566947222,-0.006038601044565439,-0.007843184284865856,0.0004488794656936079,0.0014073242200538516,0.0017762326169759035,0.009954560548067093,-0.014803538098931313,-0.0035391587298363447,0.00916606467217207,-7.105153053998947e-05,0.0020048401784151793,0.007618278730660677,0.014823734760284424,0.010036016814410686,0.003893403336405754,0.00533828092738986,0.009694290347397327,-0.007787082809954882,-0.0036595051642507315,0.018812432885169983,-0.005615882575511932,-0.0008399797370657325,-0.0250510573387146,-0.0036967534106224775,0.0017457527574151754,-0.009854314848780632,-0.007429542485624552,0.001989917131140828,0.0026136282831430435,0.0209411159157753,0.010407976806163788,0.0036362705286592245,-0.009061845019459724,0.014763964340090752,0.02067876234650612,-0.0003695852938108146,-0.024072127416729927,-0.009500546380877495,-0.009191872552037239,0.007414177060127258,-0.007651354651898146,-0.006427023094147444,-0.010496173053979874,-6.848228076705709e-05,0.0028886725194752216,0.01150316558778286,0.01087199803441763,0.018257731571793556,-0.00522350100800395,0.0017334771109744906,0.018387651070952415,-0.01703648269176483,0.006575318984687328,0.009891681373119354,-0.003002576297149062,-0.012164200656116009,-0.0029125730507075787,0.003950628452003002,-0.011073057539761066,0.005649853032082319,-0.0008472190238535404,-0.01623815856873989,0.0028567458502948284,0.00838212575763464,0.001616869936697185,-0.0006861786241643131,-0.01883108541369438,-0.013275213539600372,0.015400808304548264,0.005514912307262421,-0.003069700673222542,-0.013749533332884312,0.005078866146504879,-0.002714748727157712,-0.027883417904376984,-0.016580762341618538,-0.00930060911923647,0.0016830754466354847,0.011036228388547897,0.013118683360517025,-0.007137770764529705,-0.007775421719998121,0.0014390513533726335,0.005320521537214518,-0.02432294189929962,-0.00669151172041893,0.0028402977623045444,-0.008472682908177376,-0.0016704645240679383,0.007882918231189251,-0.011428969912230968,-0.003001722740009427,0.009882202371954918,-0.0052011944353580475,0.00667755538597703,0.005182198248803616,0.023952098563313484,-0.003077206201851368,-0.0036368723958730698,0.002212522318586707,-0.005792486481368542,0.018094761297106743,0.00900333747267723,-0.004359779879450798,-0.016845379024744034,0.0019300043350085616,-0.004462467040866613,-8.013381011551246e-05,-0.008400589227676392,0.011304180137813091
2,0.18169227242469788,0.052248165011405945,-0.12847650051116943,0.1271626353263855,0.057848040014505386,-0.11343993991613388,-0.19702845811843872,0.07968787103891373,-0.10123472660779953,-0.05065115913748741,-0.08391989767551422,0.06004519760608673,0.0774419754743576,0.09938828647136688,-0.08387431502342224,0.0204180721193552,-0.01525198295712471,0.026921359822154045,-0.06924253702163696,-0.13483501970767975,-0.00489051453769207,0.04444117099046707,0.035275932401418686,0.01887022890150547,-0.19005116820335388,0.03452736884355545,0.10744788497686386,-0.039578795433044434,0.008630393072962761,0.01610129326581955,0.1751711219549179,0.11115953326225281,-0.032061975449323654,0.010579928755760193,0.019712969660758972,-0.052035585045814514,-0.05559332296252251,0.21903163194656372,-0.002799025736749172,0.03741772845387459,-0.1689089834690094,-0.0181735847145319,-0.0014305798104032874,-0.08244176208972931,-0.09142409265041351,-0.011768784373998642,-0.02673204429447651,0.17734773457050323,0.037014737725257874,0.05657549202442169,-0.04883646219968796,0.14844703674316406,0.14814604818820953,-0.041806478053331375,-0.1602625548839569,-0.07315579801797867,-0.020482897758483887,0.010832512751221657,-0.052202146500349045,-0.059238456189632416,-0.14977218210697174,-0.0106195705011487,0.08024965971708298,0.06172548979520798,0.06248936429619789,0.11438799649477005,-0.01963118463754654,-0.008067470043897629,0.1314420849084854,-0.11859019100666046,0.04213174805045128,0.050015151500701904,0.030218953266739845,-0.05102541670203209,-0.08703278750181198,0.06703662872314453,-0.16866303980350494,0.07404904812574387,-0.07773003727197647,-0.10697447508573532,-0.002330149756744504,0.04003895819187164,0.07453615218400955,-0.04622260108590126,-0.12455449253320694,-0.08741090446710587,0.10221546143293381,-0.012690483592450619,-0.009602763690054417,-0.10753370076417923,0.03703853115439415,-0.01705947518348694,-0.18754835426807404,-0.08701499551534653,-0.12908829748630524,-0.031103992834687233,0.13310545682907104,0.09888322651386261,-0.05545096844434738,-0.09866254031658173,0.04728357493877411,0.032010648399591446,-0.18955253064632416,-0.015947027131915092,-0.03178468346595764,-0.013748813420534134,0.0031927162781357765,0.04024672135710716,-0.040281157940626144,0.00952919851988554,0.08091745525598526,-0.009215510450303555,-0.005481058266013861,-0.010756322182714939,0.15994879603385925,-0.05337836593389511,-0.0029838895425200462,0.0203299131244421,-0.03205583617091179,0.11834407597780228,0.13760623335838318,0.01495357695966959,-0.08178621530532837,0.08078917115926743,-0.00256332173012197,0.0141390236094594,-0.06598224490880966,0.06388994306325912
3,0.139031320810318,0.04301217570900917,-0.10618346929550171,0.10082411766052246,0.039379652589559555,-0.10145788639783859,-0.1600368618965149,0.06085599586367607,-0.08557403832674026,-0.04262752830982208,-0.07530516386032104,0.04629883915185928,0.05385126173496246,0.08319470286369324,-0.05893290787935257,0.012138553895056248,-0.016022810712456703,0.012641089968383312,-0.0614440031349659,-0.10627275705337524,-0.00604182668030262,0.0323314368724823,0.028942428529262543,0.024950748309493065,-0.1475084275007248,0.02781553938984871,0.0829882025718689,-0.03227066248655319,0.014499299228191376,0.011500134132802486,0.1379174292087555,0.09265382587909698,-0.025846265256404877,0.011705510318279266,0.018387045711278915,-0.0338476337492466,-0.04151806980371475,0.17289036512374878,-0.0027292738668620586,0.020421037450432777,-0.13345621526241302,-0.010296838358044624,-0.006730733904987574,-0.059632569551467896,-0.07099276781082153,-0.008084855042397976,-0.0155631173402071,0.14247165620326996,0.02723989449441433,0.0552971288561821,-0.03528592362999916,0.11615144461393356,0.11278276145458221,-0.03352601081132889,-0.12145773321390152,-0.05029993876814842,-0.028284365311264992,0.007876234129071236,-0.049161359667778015,-0.051455944776535034,-0.12913472950458527,-0.007177429739385843,0.06822469830513,0.03908652812242508,0.051939576864242554,0.08690156787633896,-0.013474115170538425,-0.020201530307531357,0.10482429713010788,-0.09251994639635086,0.03194843605160713,0.03694906458258629,0.029326247051358223,-0.0383455716073513,-0.06654518842697144,0.05546557158231735,-0.1277838945388794,0.05017925426363945,-0.06156616285443306,-0.0777188092470169,0.0034953432623296976,0.03759365156292915,0.06391438096761703,-0.028434744104743004,-0.09301777184009552,-0.07523723691701889,0.08932069689035416,-0.017719916999340057,-0.006197540555149317,-0.08166299760341644,0.03321092203259468,-0.0086479801684618,-0.14435602724552155,-0.08003534376621246,-0.09861882030963898,-0.0349547378718853,0.10227864235639572,0.0764402523636818,-0.04607279598712921,-0.08182420581579208,0.04637496545910835,0.015925297513604164,-0.14531809091567993,-0.0161909069865942,-0.03284022957086563,-0.009503385052084923,0.0068551828153431416,0.02659030817449093,-0.030836625024676323,-0.0009544912027195096,0.06522897630929947,-0.004373574163764715,-0.009669305756688118,-0.006332182325422764,0.12579330801963806,-0.03943552076816559,-0.0008155608084052801,0.012633838690817356,-0.03147061914205551,0.09994427114725113,0.10746492445468903,0.019901316612958908,-0.06643497198820114,0.05866149440407753,-0.0031782842706888914,0.011455870233476162,-0.05228886008262634,0.052778977900743484
4,0.17591425776481628,0.0413302443921566,-0.1250234693288803,0.12164058536291122,0.04817269369959831,-0.10787122696638107,-0.18712414801120758,0.07819981873035431,-0.09188348054885864,-0.058727335184812546,-0.09116250276565552,0.05117693543434143,0.06551570445299149,0.08629291504621506,-0.07918372750282288,0.012971818447113037,-0.019784511998295784,0.02124163508415222,-0.06420333683490753,-0.13209350407123566,0.004520186223089695,0.049038346856832504,0.04428020119667053,0.025910764932632446,-0.17460788786411285,0.02569628320634365,0.10022926330566406,-0.037957169115543365,0.009558238089084625,0.0013617158401757479,0.16707901656627655,0.10139269381761551,-0.02139534242451191,0.011322426609694958,0.028149457648396492,-0.05189963057637215,-0.0475015752017498,0.20724406838417053,-0.005009147338569164,0.03655567392706871,-0.15568360686302185,-0.0224678386002779,-0.008786877617239952,-0.0800861120223999,-0.08923817425966263,-0.009249960072338581,-0.0217408686876297,0.15938259661197662,0.04363411292433739,0.05607165768742561,-0.052670322358608246,0.13771598041057587,0.14096421003341675,-0.03522386774420738,-0.14645980298519135,-0.06303249299526215,-0.02281998097896576,0.007989960722625256,-0.056885816156864166,-0.05565938726067543,-0.1522294282913208,-0.016035325825214386,0.07961130142211914,0.05183122679591179,0.06400670111179352,0.09747239947319031,-0.019304892048239708,-0.009900947101414204,0.1290079653263092,-0.1169719249010086,0.04585907235741615,0.05495934188365936,0.0197546798735857,-0.03682536259293556,-0.08773941546678543,0.0575333833694458,-0.16238118708133698,0.06723663955926895,-0.07669605314731598,-0.09967838227748871,0.004483937751501799,0.03923169896006584,0.07028191536664963,-0.047070786356925964,-0.12161252647638321,-0.09165477007627487,0.09805501252412796,-0.013873678632080555,-0.013907110318541527,-0.10185591876506805,0.0380687415599823,-0.026621749624609947,-0.1802608072757721,-0.08294850587844849,-0.12256582081317902,-0.037984758615493774,0.12299852818250656,0.09502755105495453,-0.046040911227464676,-0.09428080916404724,0.05716030299663544,0.032351959496736526,-0.1826210618019104,-0.00701045012101531,-0.025718700140714645,-0.01919589377939701,0.008572119288146496,0.0350969024002552,-0.03488995134830475,-0.0028774156235158443,0.08732251822948456,-0.00741075212135911,0.0010485954117029905,-0.01927340030670166,0.16271714866161346,-0.04011556878685951,-0.004153605550527573,0.018350066617131233,-0.03432368487119675,0.11342646181583405,0.12145955115556717,0.024429650977253914,-0.07620419561862946,0.06572102010250092,0.0060307951644063,0.019838571548461914,-0.05070113763213158,0.0591999888420105
5,0.14535951614379883,0.038436178117990494,-0.10904499143362045,0.10014773160219193,0.03898545727133751,-0.0996105894446373,-0.1597636640071869,0.06064068153500557,-0.07258463650941849,-0.04239097982645035,-0.07611915469169617,0.03883680701255798,0.0613568015396595,0.07399306446313858,-0.05283748358488083,0.02017250843346119,-0.011294686235487461,0.016392089426517487,-0.06420605629682541,-0.10261283814907074,0.0017475644126534462,0.0439814068377018,0.029141977429389954,0.0210572462528944,-0.14801882207393646,0.029449183493852615,0.08942510187625885,-0.027097484096884727,0.008600019849836826,0.003466516500338912,0.141597718000412,0.08287058025598526,-0.01920210011303425,0.014239436946809292,0.022964388132095337,-0.030943211168050766,-0.03741377219557762,0.1715179979801178,-0.004657396115362644,0.032023053616285324,-0.13319891691207886,-0.013513004407286644,-0.0026834371965378523,-0.059446483850479126,-0.07526428997516632,-0.007768972776830196,-0.02455219253897667,0.13978050649166107,0.022927068173885345,0.05024918168783188,-0.041622456163167953,0.1173434928059578,0.11031123250722885,-0.03781590610742569,-0.11998674273490906,-0.058670151978731155,-0.01586945727467537,-0.0011575246462598443,-0.047575414180755615,-0.03665003553032875,-0.11602436751127243,-0.0058519006706774235,0.05718674510717392,0.04210418090224266,0.050816912204027176,0.09106134623289108,-0.007551403716206551,-0.01570761576294899,0.10184144228696823,-0.10471677035093307,0.040676139295101166,0.04217391461133957,0.016705788671970367,-0.041148725897073746,-0.0693831741809845,0.05532709136605263,-0.13793496787548065,0.05793389678001404,-0.06651107966899872,-0.08563686162233353,-0.0027539886068552732,0.032386355102062225,0.06435663253068924,-0.04100373759865761,-0.09571778774261475,-0.07229557633399963,0.0807400792837143,-0.007749276235699654,0.001217615557834506,-0.08759651333093643,0.04065658897161484,-0.0133415712043643,-0.1481003761291504,-0.06620476394891739,-0.0922359749674797,-0.025000575929880142,0.10462947934865952,0.07120249420404434,-0.03973524272441864,-0.08069232851266861,0.0484858863055706,0.018458612263202667,-0.14178019762039185,-0.015899939462542534,-0.02615087665617466,-0.01460314728319645,0.004173536319285631,0.036471955478191376,-0.039034154266119,0.00889792013913393,0.07159163802862167,-0.009004187770187855,-0.00663403607904911,-0.005160927306860685,0.12947390973567963,-0.04245317354798317,-0.003129824297502637,0.012404950335621834,-0.029656298458576202,0.09490374475717545,0.10808967798948288,0.009219019673764706,-0.05880918353796005,0.06418027728796005,0.0027318005450069904,0.009149858728051186,-0.04024604707956314,0.05154944583773613
6,0.1802540421485901,0.05324774235486984,-0.1359383463859558,0.12800072133541107,0.04956596717238426,-0.12448491901159286,-0.2014913260936737,0.08391847461462021,-0.09045027941465378,-0.04777512699365616,-0.09103763103485107,0.051850687712430954,0.07286599278450012,0.09825503826141357,-0.06821747124195099,0.01546271052211523,-0.012318865396082401,0.024394838139414787,-0.06991817057132721,-0.12571151554584503,0.007347276899963617,0.04347660765051842,0.02993757650256157,0.0290044154971838,-0.18738727271556854,0.026338163763284683,0.11037858575582504,-0.03880339860916138,0.019928228110074997,0.005293113179504871,0.17982730269432068,0.1146613359451294,-0.026240425184369087,0.004846273455768824,0.02811995893716812,-0.049350056797266006,-0.053696997463703156,0.21807464957237244,-0.014437361620366573,0.03480418771505356,-0.1664760857820511,-0.016868937760591507,-0.0011372959706932306,-0.07523257285356522,-0.08137937635183334,-0.020963020622730255,-0.03232036530971527,0.17006640136241913,0.037614934146404266,0.05639401823282242,-0.04369701072573662,0.14293590188026428,0.14939793944358826,-0.034716930240392685,-0.16311970353126526,-0.0598677359521389,-0.021290220320224762,0.006136915180832148,-0.060553666204214096,-0.04974177107214928,-0.1574823409318924,-0.020294588059186935,0.07794567197561264,0.059165045619010925,0.059530965983867645,0.11287254840135574,-0.02132458984851837,-0.013459112495183945,0.12896843254566193,-0.12725600600242615,0.04445493966341019,0.05160827934741974,0.02558067813515663,-0.045507557690143585,-0.09081621468067169,0.06788266450166702,-0.16366900503635406,0.0743817389011383,-0.07145242393016815,-0.10048820823431015,-0.002849424257874489,0.04959654435515404,0.07053796201944351,-0.05106925591826439,-0.1277383416891098,-0.09380713850259781,0.10630535334348679,-0.011806325986981392,-0.010195774957537651,-0.10431039333343506,0.0473097525537014,-0.019527345895767212,-0.17600026726722717,-0.09105038642883301,-0.12937334179878235,-0.02899332530796528,0.13183864951133728,0.09260077774524689,-0.05346904695034027,-0.10065345466136932,0.05150308832526207,0.019017770886421204,-0.18630816042423248,-0.01869642361998558,-0.03830856457352638,-0.015586484223604202,0.00948411040008068,0.045873403549194336,-0.0445837676525116,0.010007251985371113,0.08062982559204102,-0.008890309371054173,-0.0069893524050712585,-0.011019849218428135,0.1690104901790619,-0.041863683611154556,0.0057494076900184155,0.025266608223319054,-0.03447616472840309,0.10908205062150955,0.13295388221740723,0.024828694760799408,-0.08593474328517914,0.08017579466104507,0.0025458349846303463,0.01938612200319767,-0.051153045147657394,0.054584115743637085
7,0.19651971757411957,0.05969610810279846,-0.1417674422264099,0.13148276507854462,0.06278183311223984,-0.13500432670116425,-0.22866268455982208,0.08423639833927155,-0.11366534233093262,-0.052459701895713806,-0.0966125875711441,0.05788867920637131,0.07843505591154099,0.09866786748170853,-0.08639483898878098,0.02683093771338463,-0.022319817915558815,0.03145453333854675,-0.07595865428447723,-0.1544971615076065,0.004868902266025543,0.04255169257521629,0.04348175972700119,0.017952440306544304,-0.1983361542224884,0.03155400976538658,0.12301359325647354,-0.03932571783661842,0.022202758118510246,0.005400808062404394,0.19140684604644775,0.12245913594961166,-0.03067520074546337,0.008505566976964474,0.025996901094913483,-0.05208215117454529,-0.04973087087273598,0.24658064544200897,-0.013465768657624722,0.04673268273472786,-0.17738860845565796,-0.026478834450244904,-0.009817474521696568,-0.09069696813821793,-0.0909244567155838,-0.016404761001467705,-0.0329899787902832,0.19464857876300812,0.03555399179458618,0.0733954906463623,-0.05900561437010765,0.15973149240016937,0.16752927005290985,-0.034302134066820145,-0.17590412497520447,-0.07077963650226593,-0.03668319806456566,0.00738180847838521,-0.062439922243356705,-0.06835675984621048,-0.17415235936641693,-0.011699927039444447,0.08379868417978287,0.05654805898666382,0.07035748660564423,0.11970308423042297,-0.02677134983241558,-0.02227390557527542,0.14276482164859772,-0.13616535067558289,0.04853220283985138,0.06435351073741913,0.02760942466557026,-0.04359619691967964,-0.08811796456575394,0.07614976167678833,-0.19423584640026093,0.07411568611860275,-0.090172179043293,-0.1080392524600029,0.01025369856506586,0.046057578176259995,0.08678233623504639,-0.053721439093351364,-0.14000742137432098,-0.09695698320865631,0.11930851638317108,-0.017546242102980614,-0.00730360159650445,-0.10504492372274399,0.05493979528546333,-0.024317998439073563,-0.2065620869398117,-0.10043510049581528,-0.13468831777572632,-0.04117133840918541,0.153421089053154,0.11255855113267899,-0.05470052361488342,-0.1056445986032486,0.05251671373844147,0.028831245377659798,-0.2088036835193634,-0.01984107308089733,-0.03699096664786339,-0.02917528711259365,0.013339783065021038,0.04312237352132797,-0.056198373436927795,0.009719536639750004,0.09945777803659439,-0.007037898059934378,0.0026639236602932215,-0.015800587832927704,0.17680183053016663,-0.05558713898062706,0.0009650557767599821,0.025619154796004295,-0.04849615320563316,0.12557104229927063,0.1434316337108612,0.031081413850188255,-0.09359051287174225,0.08813521265983582,0.007054727058857679,0.014186731539666653,-0.07100150734186172,0.055936653167009354
8,0.1878170371055603,0.049174562096595764,-0.1461459845304489,0.1345711052417755,0.059331055730581284,-0.13525208830833435,-0.22130422294139862,0.08844920247793198,-0.11468657106161118,-0.0631931722164154,-0.1018429845571518,0.06660032272338867,0.07766762375831604,0.0941944494843483,-0.08407323062419891,0.02646707370877266,-0.010647367686033249,0.018622901290655136,-0.08216038346290588,-0.14632761478424072,0.009261872619390488,0.04383929818868637,0.04389435425400734,0.018880682066082954,-0.1974865198135376,0.030213480815291405,0.12235671281814575,-0.04921959340572357,0.023159092292189598,0.008993509225547314,0.19665583968162537,0.12909702956676483,-0.026503637433052063,0.003337122267112136,0.025682538747787476,-0.05898857116699219,-0.05546402186155319,0.242248073220253,-0.009647580794990063,0.033589061349630356,-0.17483487725257874,-0.018358150497078896,-0.014715447090566158,-0.0867902860045433,-0.09210888296365738,-0.01221101451665163,-0.032922085374593735,0.1885533630847931,0.043795716017484665,0.07325702905654907,-0.05592900142073631,0.15140007436275482,0.14929066598415375,-0.03673956170678139,-0.17375695705413818,-0.06783611327409744,-0.03105243667960167,0.013113347813487053,-0.06438648700714111,-0.06725835055112839,-0.17102576792240143,-0.012942064553499222,0.08195197582244873,0.055922724306583405,0.07651036232709885,0.12342934310436249,-0.014884546399116516,-0.010531754232943058,0.14788880944252014,-0.1353364884853363,0.05045631155371666,0.050264548510313034,0.03349372744560242,-0.05514666810631752,-0.09734629839658737,0.07547421753406525,-0.18622618913650513,0.06823468953371048,-0.07605822384357452,-0.10971672087907791,0.00525769405066967,0.04472000151872635,0.07437465339899063,-0.04595072939991951,-0.1431400328874588,-0.10060316324234009,0.1128387302160263,-0.017988108098506927,-0.009543616324663162,-0.11559703946113586,0.052371200174093246,-0.026483850553631783,-0.1918608397245407,-0.10803861916065216,-0.14136509597301483,-0.030369317159056664,0.13827574253082275,0.10067661106586456,-0.06116899102926254,-0.10621383041143417,0.054571621119976044,0.02155075967311859,-0.19467264413833618,-0.0139893414452672,-0.03922995179891586,-0.01591634191572666,0.01099397987127304,0.05318303778767586,-0.05649718642234802,0.00421869708225131,0.0935339629650116,-0.01666680909693241,-0.010801737196743488,-0.021700387820601463,0.17133916914463043,-0.058173105120658875,0.00039295677561312914,0.03114495240151882,-0.03446222469210625,0.1342460662126541,0.14221975207328796,0.02976975031197071,-0.0964340791106224,0.08670015633106232,0.005310932639986277,0.013224753551185131,-0.06394483149051666,0.05927561596035957
9,0.17235402762889862,0.041117873042821884,-0.1319776326417923,0.12513253092765808,0.04682920500636101,-0.12447141110897064,-0.1900278627872467,0.07213179022073746,-0.10273010283708572,-0.04493589326739311,-0.08804173022508621,0.05216594785451889,0.0647401437163353,0.09866204857826233,-0.07652074098587036,0.02232477068901062,-0.011401649564504623,0.025197872892022133,-0.06957681477069855,-0.13707983493804932,0.009011348709464073,0.04535725340247154,0.035383857786655426,0.02332906797528267,-0.1737217903137207,0.03229675814509392,0.1075347289443016,-0.044070202857255936,0.00849168561398983,0.011399779468774796,0.17605586349964142,0.11345046013593674,-0.030630165711045265,0.005992908962070942,0.03033420816063881,-0.04214213043451309,-0.04965179041028023,0.21462416648864746,-0.007907640188932419,0.039488520473241806,-0.16451896727085114,-0.01619076356291771,-0.016411971300840378,-0.07661184668540955,-0.0813707709312439,-0.02198495715856552,-0.03184711933135986,0.16494429111480713,0.03689267486333847,0.06124464049935341,-0.053109657019376755,0.13886132836341858,0.13558676838874817,-0.0388374887406826,-0.1534034162759781,-0.06907877326011658,-0.022169072180986404,0.0002236541622551158,-0.0487908199429512,-0.062406450510025024,-0.1550559103488922,-0.01494599785655737,0.08117003738880157,0.06079034134745598,0.0675073191523552,0.10412610322237015,-0.023140911012887955,-0.017898494377732277,0.12813007831573486,-0.1227831095457077,0.044194936752319336,0.051188308745622635,0.0291888564825058,-0.0427878312766552,-0.08911214768886566,0.07205384969711304,-0.17077326774597168,0.0699348896741867,-0.07532280683517456,-0.09243164956569672,0.0036283747758716345,0.04176156967878342,0.07009973376989365,-0.042496394366025925,-0.11650360375642776,-0.09262171387672424,0.11100569367408752,-0.014615373685956001,-0.010086587630212307,-0.10684598982334137,0.03709966316819191,-0.01444264780730009,-0.1815432608127594,-0.09490226209163666,-0.11832327395677567,-0.02976834401488304,0.13192243874073029,0.0959806814789772,-0.06020960956811905,-0.08671777695417404,0.055177245289087296,0.026800891384482384,-0.18513186275959015,-0.015423448756337166,-0.03247708082199097,-0.026778317987918854,0.008078779093921185,0.04056340456008911,-0.048860568553209305,0.01192544586956501,0.08688513934612274,-0.003971070516854525,-8.356243779417127e-05,-0.017867781221866608,0.16197043657302856,-0.04430943727493286,0.007981659844517708,0.025600792840123177,-0.04235914349555969,0.12409143149852753,0.13243497908115387,0.017708662897348404,-0.07832271605730057,0.07152124494314194,0.008799377828836441,0.0211655106395483,-0.06281016021966934,0.05951511859893799
