euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
2.602,0.01,23.153,,0.077,16.309,0.596,23.153,0.011
3.076,0.015,27.126,,0.091,18.214,0.786,27.126,0.015
1.532,0.004,13.516,,0.043,8.948,0.358,13.516,0.004
2.083,0.006,18.73,,0.061,13.141,0.454,18.73,0.007
1.363,0.003,12.136,,0.039,8.262,0.313,12.136,0.003
1.741,0.005,15.702,,0.051,10.353,0.399,15.702,0.005
1.883,0.005,16.71,,0.055,12.15,0.481,16.71,0.005
2.384,0.009,21.078,,0.069,14.479,0.581,21.078,0.009
3.016,0.014,26.997,,0.09,18.703,0.747,26.997,0.015
2.102,0.007,18.972,,0.062,12.628,0.473,18.972,0.008
1.845,0.006,16.334,,0.053,11.882,0.471,16.334,0.006
1.703,0.005,15.258,,0.049,10.244,0.382,15.258,0.005
1.991,0.006,18.075,,0.059,12.6,0.435,18.075,0.007
1.903,0.006,16.714,,0.054,11.913,0.601,16.714,0.007
2.257,0.008,20.222,,0.066,13.918,0.536,20.222,0.008
2.791,0.012,24.848,,0.083,16.459,0.642,24.848,0.012
1.677,0.005,14.939,,0.048,10.332,0.402,14.939,0.005
1.927,0.006,17.897,,0.058,10.733,0.428,17.897,0.006
1.551,0.004,13.868,,0.045,9.768,0.353,13.868,0.004
1.73,0.005,15.138,,0.049,10.29,0.474,15.138,0.005
1.97,0.007,17.601,,0.057,11.315,0.547,17.601,0.007
2.492,0.01,22.14,,0.073,15.785,0.621,22.14,0.01
2.974,0.014,26.45,,0.088,18.791,0.678,26.45,0.014
1.999,0.007,18.568,,0.06,11.337,0.448,18.568,0.007
2.175,0.008,19.393,,0.063,13.796,0.519,19.393,0.008
2.003,0.007,17.993,,0.059,13.168,0.483,17.993,0.007
2.06,0.008,18.228,,0.059,12.724,0.552,18.228,0.008
1.69,0.005,14.912,,0.048,9.293,0.419,14.912,0.005
2.006,0.005,17.781,,0.059,11.233,0.482,17.781,0.005
2.386,0.007,21.065,,0.07,13.755,0.6,21.065,0.007
