timeStep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,-1.1301065683364868,-1.355068325996399,-2.3711607456207275,2.0147600173950195,0.9491305351257324,0.15919221937656403,-2.6378631591796875,-1.2745375633239746,-2.1491785049438477,0.41475558280944824,0.7476013898849487,0.9272636771202087,-1.3065237998962402,-0.7744037508964539,-0.7091977596282959,-2.3758952617645264,0.3802447021007538,1.946651577949524,-1.9558732509613037,-0.803704023361206,-0.9531915783882141,0.7221667766571045,-1.2087194919586182,0.6162295937538147,1.2645857334136963,-1.7912585735321045,-1.9139928817749023,-2.2916784286499023,1.062360167503357,-2.489628791809082,1.2848249673843384,1.4829437732696533,-1.7614829540252686,-1.2530814409255981,-0.2626286745071411,0.4779701828956604,-0.3900749683380127,-2.2214102745056152,-1.026020884513855,0.5319756865501404,-0.49734026193618774,-1.6865675449371338,1.0748146772384644,-2.0337393283843994,0.5386685132980347,-1.1815805435180664,0.1442914754152298,-0.6630591750144958,1.3013215065002441,-2.031327724456787,-0.564522385597229,-0.15913532674312592,-1.7285480499267578,-1.6716071367263794,-0.36344462633132935,2.3603224754333496,-0.21490655839443207,0.6519469022750854,-1.389594554901123,2.197706699371338,0.6171056628227234,2.431992530822754,1.2603501081466675,-1.2701131105422974,0.4165894091129303,-1.4676203727722168,1.5126770734786987,0.2639603018760681,-0.6504601836204529,-1.3856780529022217,-1.9596142768859863,-0.1067214384675026,-1.9218989610671997,-1.885919213294983,-2.0214385986328125,0.5318343639373779,-1.792933464050293,-1.869397521018982,0.18646778166294098,0.5268871188163757,2.119821310043335,1.1039546728134155,-2.0733773708343506,-0.3786783516407013,2.0520715713500977,0.7433433532714844,0.5029796361923218,-1.3906031847000122,1.614142894744873,0.42486849427223206,-1.7990539073944092,1.4902949333190918,-2.145268440246582,-1.727595567703247,-1.277151107788086,2.0396902561187744,0.6640695333480835,-0.4837940037250519,2.0991547107696533,0.43746545910835266,-1.0532615184783936,-0.6926393508911133,-1.263309121131897,1.0480403900146484,-1.7888822555541992,-0.48752322793006897,-0.08908306062221527,1.645954966545105,1.8004875183105469,0.769485592842102,0.08328918367624283,-0.9066593050956726,-0.667565643787384,-1.4093490839004517,2.145021915435791,-1.9709084033966064,-2.2293529510498047,-0.1874540150165558,0.6860489249229431,1.7251026630401611,2.0326318740844727,1.6811245679855347,-1.2757705450057983,2.0252113342285156,-1.9874439239501953,0.3846864402294159,-1.3523508310317993,-0.2322544902563095
1,-1.2451505661010742,-1.362518548965454,-2.18266224861145,1.8614808320999146,0.7919707894325256,0.021218910813331604,-2.06801700592041,-1.137492060661316,-2.141927719116211,0.4569762051105499,0.7060977816581726,1.0253081321716309,-0.8787851929664612,-0.7542819380760193,-0.6732397675514221,-1.7794467210769653,0.6305921077728271,2.1519439220428467,-2.194830894470215,-0.7692252397537231,-0.7234756946563721,0.5752758979797363,-1.265048861503601,0.43811070919036865,1.2925655841827393,-1.8344972133636475,-1.848889708518982,-2.2433598041534424,1.0939216613769531,-2.031574010848999,1.3501489162445068,1.5668964385986328,-1.3053961992263794,-1.0573127269744873,-0.31175464391708374,0.32378140091896057,-0.2645055949687958,-1.8041024208068848,-0.8094471096992493,0.3990834653377533,-0.3755488097667694,-1.5680736303329468,0.8198752403259277,-1.8037432432174683,0.6820584535598755,-1.1222773790359497,-0.005683487746864557,-0.49775955080986023,1.1209994554519653,-1.7390483617782593,-0.4096131920814514,-0.08000218123197556,-1.4125854969024658,-1.3464515209197998,-0.4976963996887207,1.8689048290252686,-0.1999066025018692,0.687990665435791,-1.137835144996643,1.9900082349777222,0.7176522016525269,1.9264277219772339,0.8096622228622437,-0.8154381513595581,0.5244058966636658,-0.877695620059967,1.2365920543670654,0.49570584297180176,-0.5248858332633972,-1.3750226497650146,-1.759435772895813,-0.2105952799320221,-2.0137100219726562,-2.0116655826568604,-1.6846603155136108,0.4786868393421173,-1.4338935613632202,-1.6268943548202515,0.5732797980308533,0.39770567417144775,1.749191403388977,0.9887987971305847,-2.1022515296936035,-0.031503573060035706,1.6430867910385132,0.5815144181251526,0.5674924850463867,-1.0236893892288208,1.4262056350708008,0.41967344284057617,-1.6080948114395142,1.4563261270523071,-2.0974929332733154,-1.787895679473877,-1.0063635110855103,2.318721294403076,0.7663396596908569,-0.5001617670059204,1.9270223379135132,0.6460531949996948,-1.2958475351333618,-0.6841979622840881,-1.2618002891540527,0.8325172066688538,-1.4492297172546387,-0.5109400749206543,-0.32558706402778625,1.6695882081985474,1.3263088464736938,0.8729357123374939,-0.08034027367830276,-1.016495704650879,-0.31819987297058105,-1.2514824867248535,1.895680546760559,-1.8787250518798828,-2.0824086666107178,-0.0488293319940567,0.8256421089172363,1.719860553741455,1.9009746313095093,1.2855440378189087,-1.3821972608566284,1.8933961391448975,-1.9736460447311401,0.07249737530946732,-1.42557692527771,-0.3032175302505493
2,-1.1971700191497803,-1.4306315183639526,-2.057626485824585,1.7808831930160522,0.7832865715026855,0.06910102069377899,-1.9438589811325073,-1.0837318897247314,-1.9607528448104858,0.443447083234787,0.6471825242042542,0.908129096031189,-0.7638956904411316,-0.7289726138114929,-0.6561307907104492,-1.589768886566162,0.6301427483558655,2.1298635005950928,-2.093191146850586,-0.7266563773155212,-0.6090222001075745,0.5042739510536194,-1.1998744010925293,0.401436448097229,1.3703460693359375,-1.8177167177200317,-1.7991005182266235,-2.1724135875701904,1.0895588397979736,-1.9302347898483276,1.3035430908203125,1.5167888402938843,-1.173405408859253,-1.0167757272720337,-0.2667073905467987,0.23313415050506592,-0.23340535163879395,-1.7141300439834595,-0.7969313263893127,0.3745945990085602,-0.3455614745616913,-1.4134957790374756,0.7443114519119263,-1.7315616607666016,0.6532480120658875,-1.0002881288528442,-0.019771737977862358,-0.47246190905570984,1.069923758506775,-1.6434829235076904,-0.4592069387435913,-0.09969639778137207,-1.3445608615875244,-1.2556185722351074,-0.5302042961120605,1.7722691297531128,-0.1972026824951172,0.6940373778343201,-1.1040898561477661,1.8889744281768799,0.6963545083999634,1.871719479560852,0.7271372079849243,-0.7637298107147217,0.5849878787994385,-0.8110485672950745,1.1924949884414673,0.5780514478683472,-0.4608990550041199,-1.3902748823165894,-1.6616626977920532,-0.16181138157844543,-1.9883214235305786,-1.9244589805603027,-1.595010757446289,0.45847901701927185,-1.4552264213562012,-1.602423906326294,0.6290793418884277,0.39032548666000366,1.6855086088180542,0.9410363435745239,-2.1247050762176514,-0.046732883900403976,1.4967973232269287,0.5752190351486206,0.5402317047119141,-0.9265804290771484,1.3866143226623535,0.357320100069046,-1.5625412464141846,1.3397165536880493,-2.080336570739746,-1.7574036121368408,-0.9584046602249146,2.3129239082336426,0.7719765305519104,-0.4837127923965454,2.0155134201049805,0.7204121947288513,-1.40022873878479,-0.6670824885368347,-1.3437249660491943,0.9091597199440002,-1.4533710479736328,-0.5986936092376709,-0.30412185192108154,1.754812479019165,1.296080231666565,0.9108148813247681,-0.02396371029317379,-1.0316500663757324,-0.29043304920196533,-1.3338371515274048,2.0147359371185303,-1.9737907648086548,-2.1999356746673584,0.005914578679949045,0.8753799796104431,1.8345180749893188,1.9808580875396729,1.2962572574615479,-1.4586870670318604,1.9712681770324707,-2.0689542293548584,0.06539071351289749,-1.5691639184951782,-0.33900392055511475
3,-1.1448959112167358,-1.3754440546035767,-2.1874969005584717,1.904748558998108,0.8619102239608765,0.13652043044567108,-2.2800822257995605,-1.1787399053573608,-2.075422525405884,0.4481871426105499,0.7276033759117126,0.9288322925567627,-1.0101406574249268,-0.7807484269142151,-0.6436739563941956,-2.061177968978882,0.5773460865020752,2.1695001125335693,-2.1288259029388428,-0.7802353501319885,-0.8603657484054565,0.6877456307411194,-1.3265002965927124,0.49481791257858276,1.3163162469863892,-1.8902548551559448,-1.913230061531067,-2.3036818504333496,1.040461540222168,-2.293304204940796,1.276401400566101,1.5209009647369385,-1.530500054359436,-1.122925877571106,-0.28481554985046387,0.4324760138988495,-0.3295804560184479,-2.0900747776031494,-0.9518327116966248,0.4982636868953705,-0.4767363965511322,-1.7696242332458496,1.0185035467147827,-1.9864280223846436,0.655724823474884,-1.264012336730957,0.06951580941677094,-0.6177910566329956,1.2586454153060913,-1.996665358543396,-0.49746179580688477,-0.1392926722764969,-1.5713578462600708,-1.521854043006897,-0.478464275598526,2.1348350048065186,-0.20893044769763947,0.6587702631950378,-1.2188467979431152,2.2122435569763184,0.7600948214530945,2.153731346130371,0.9377933740615845,-0.9838261604309082,0.46753644943237305,-1.1263681650161743,1.3416508436203003,0.3684498369693756,-0.607658863067627,-1.3831510543823242,-1.8869704008102417,-0.13433410227298737,-2.067525625228882,-2.064316749572754,-1.874792218208313,0.4948750138282776,-1.6396489143371582,-1.7776018381118774,0.43112292885780334,0.403717964887619,1.981503963470459,1.0974897146224976,-2.183640480041504,-0.20325109362602234,1.929459810256958,0.6901640295982361,0.566077709197998,-1.21156644821167,1.6231248378753662,0.488778293132782,-1.7565693855285645,1.546506404876709,-2.203418493270874,-1.8173058032989502,-1.1295922994613647,2.320124626159668,0.7468100190162659,-0.48703116178512573,1.972015380859375,0.5925083756446838,-1.1929019689559937,-0.6228592991828918,-1.2214865684509277,0.907352089881897,-1.5254815816879272,-0.5537664890289307,-0.27021265029907227,1.6829622983932495,1.5044641494750977,0.8393487334251404,-0.0473039336502552,-0.9547684192657471,-0.4109055697917938,-1.2838860750198364,2.027811288833618,-1.9047123193740845,-2.1164162158966064,-0.11157017201185226,0.7304559350013733,1.7124269008636475,1.902835726737976,1.4036134481430054,-1.3639169931411743,1.9276490211486816,-1.9087293148040771,0.19852861762046814,-1.3376532793045044,-0.27201876044273376
4,-1.1914771795272827,-1.3331059217453003,-2.1659836769104004,1.8319331407546997,0.8323500156402588,0.05065518990159035,-2.183863639831543,-1.1361080408096313,-2.1399593353271484,0.4416753351688385,0.7312647104263306,0.9977923035621643,-1.0001884698867798,-0.8050633668899536,-0.7150293588638306,-1.9244579076766968,0.5926903486251831,2.1614208221435547,-2.183319568634033,-0.8054977059364319,-0.7488225102424622,0.6151511669158936,-1.2408063411712646,0.4548165500164032,1.3179517984390259,-1.8764406442642212,-1.8849318027496338,-2.30387020111084,1.1262874603271484,-2.199585437774658,1.369551420211792,1.5890463590621948,-1.3674012422561646,-1.126427173614502,-0.2862638533115387,0.3268336355686188,-0.2630225419998169,-1.844106912612915,-0.8679987192153931,0.4171085059642792,-0.3540905714035034,-1.586268424987793,0.844632089138031,-1.849687933921814,0.6639001369476318,-1.1340700387954712,0.01175333559513092,-0.5650810599327087,1.1873632669448853,-1.8158842325210571,-0.4636133909225464,-0.1213168278336525,-1.467952847480774,-1.3811639547348022,-0.47493699193000793,1.995483636856079,-0.20504456758499146,0.6864191293716431,-1.2076977491378784,2.026355266571045,0.6820833683013916,2.053098201751709,0.9043247103691101,-0.9197003841400146,0.5181764960289001,-1.034164309501648,1.297493577003479,0.46555444598197937,-0.5618694424629211,-1.4082236289978027,-1.8121110200881958,-0.16891036927700043,-1.986582636833191,-1.937743902206421,-1.7348651885986328,0.4674525558948517,-1.4961392879486084,-1.6649582386016846,0.4970491826534271,0.4211469292640686,1.8228306770324707,0.9815700054168701,-2.0739481449127197,-0.13076259195804596,1.6572202444076538,0.6128474473953247,0.5502164959907532,-1.0990307331085205,1.4258599281311035,0.42538928985595703,-1.5888471603393555,1.37900710105896,-2.045145034790039,-1.7342463731765747,-1.0331895351409912,2.2173612117767334,0.7588784098625183,-0.4977090656757355,1.9865056276321411,0.6124396324157715,-1.2412846088409424,-0.6816182136535645,-1.2656259536743164,0.907340943813324,-1.5299586057662964,-0.5333423018455505,-0.2579796612262726,1.670707106590271,1.4318822622299194,0.8489012122154236,-0.030101248994469643,-0.9926450252532959,-0.38417473435401917,-1.3427784442901611,1.9669183492660522,-1.9157805442810059,-2.116429567337036,-0.04212135821580887,0.7920426726341248,1.7210321426391602,1.9070895910263062,1.4092822074890137,-1.3583900928497314,1.9400293827056885,-1.9570297002792358,0.14312970638275146,-1.41656494140625,-0.32748866081237793
5,-1.1756428480148315,-1.3694287538528442,-2.2899675369262695,1.969657063484192,0.8618142008781433,0.0965220108628273,-2.3339662551879883,-1.2010056972503662,-2.135056257247925,0.44772326946258545,0.7436341643333435,0.9729867577552795,-1.0664100646972656,-0.7643114924430847,-0.6893012523651123,-2.0630369186401367,0.5433446764945984,2.106006383895874,-2.108680248260498,-0.8262575268745422,-0.855542004108429,0.6913447976112366,-1.2825748920440674,0.4901440441608429,1.2650279998779297,-1.8029918670654297,-1.8783513307571411,-2.3002548217773438,1.0553600788116455,-2.308201551437378,1.3090381622314453,1.5227166414260864,-1.596944808959961,-1.1279792785644531,-0.31528565287590027,0.45072129368782043,-0.352079838514328,-2.0484821796417236,-0.9049963355064392,0.5241000056266785,-0.44635388255119324,-1.726745367050171,0.9863167405128479,-1.9566624164581299,0.6136849522590637,-1.2139897346496582,0.07087680697441101,-0.5940321087837219,1.1838666200637817,-1.8895889520645142,-0.46778884530067444,-0.08894579857587814,-1.5769656896591187,-1.5285093784332275,-0.40548455715179443,2.1086010932922363,-0.19788841903209686,0.6360612511634827,-1.2500687837600708,2.1473710536956787,0.6816553473472595,2.1664867401123047,1.0290504693984985,-1.039886713027954,0.44482362270355225,-1.1788753271102905,1.3763744831085205,0.331229031085968,-0.6162831783294678,-1.3422093391418457,-1.8923861980438232,-0.17046724259853363,-2.0002517700195312,-2.005732297897339,-1.9161303043365479,0.5114684104919434,-1.6649134159088135,-1.7716610431671143,0.35814782977104187,0.45863544940948486,1.9051378965377808,1.041502594947815,-2.051875591278076,-0.22168128192424774,1.900807499885559,0.6724762320518494,0.5417516231536865,-1.22122061252594,1.5457518100738525,0.44571423530578613,-1.6786079406738281,1.5020971298217773,-2.087458610534668,-1.7041935920715332,-1.121536374092102,2.1635026931762695,0.7372424602508545,-0.4655134379863739,1.9253923892974854,0.5230199694633484,-1.103814721107483,-0.6477788090705872,-1.1979444026947021,0.891764223575592,-1.5374473333358765,-0.47045499086380005,-0.21994373202323914,1.5898023843765259,1.523775339126587,0.8224120736122131,-0.03733188286423683,-0.9156544804573059,-0.4681781828403473,-1.2599996328353882,1.952083706855774,-1.8646005392074585,-2.0628418922424316,-0.13473962247371674,0.7127075791358948,1.649675726890564,1.9084908962249756,1.4181147813796997,-1.2680392265319824,1.9079781770706177,-1.8838125467300415,0.22470958530902863,-1.3143004179000854,-0.24232332408428192
6,-1.1608983278274536,-1.2890902757644653,-2.1701295375823975,1.833706259727478,0.8323680758476257,0.052527423948049545,-2.249788999557495,-1.1531453132629395,-2.2173893451690674,0.4302356541156769,0.7021486163139343,1.0516657829284668,-1.0890326499938965,-0.8068761825561523,-0.7318207621574402,-2.0592057704925537,0.49965256452560425,2.058933734893799,-2.127117872238159,-0.7885778546333313,-0.8225085139274597,0.6095752716064453,-1.2182496786117554,0.5256664156913757,1.2868022918701172,-1.8403345346450806,-1.862762212753296,-2.2528018951416016,1.1148278713226318,-2.1848297119140625,1.3415218591690063,1.5573374032974243,-1.4117717742919922,-1.0923502445220947,-0.2735019326210022,0.34744876623153687,-0.2916608452796936,-1.8802096843719482,-0.853055477142334,0.39642685651779175,-0.38104888796806335,-1.5678819417953491,0.8704436421394348,-1.8693695068359375,0.6139349341392517,-1.0840492248535156,0.07739776372909546,-0.53802490234375,1.2295339107513428,-1.8489848375320435,-0.4897945821285248,-0.10778772085905075,-1.501160979270935,-1.4362894296646118,-0.43402373790740967,2.032012701034546,-0.22907349467277527,0.7049090266227722,-1.2270722389221191,1.9416319131851196,0.6199824810028076,2.0663886070251465,0.9585540890693665,-0.9699203968048096,0.48912152647972107,-1.068122148513794,1.2885160446166992,0.40411925315856934,-0.5365993976593018,-1.3444682359695435,-1.7790216207504272,-0.1672176718711853,-1.9943181276321411,-1.969090223312378,-1.7893670797348022,0.4866173267364502,-1.4946209192276,-1.7101680040359497,0.44039860367774963,0.451730877161026,1.9384677410125732,1.0430145263671875,-2.124878406524658,-0.14197084307670593,1.7727932929992676,0.6323351860046387,0.5776922702789307,-1.1772938966751099,1.4738065004348755,0.4215717613697052,-1.6910151243209839,1.461708664894104,-2.124454975128174,-1.8013581037521362,-1.1082509756088257,2.192235231399536,0.729144811630249,-0.5006338357925415,2.0554161071777344,0.5539198517799377,-1.2271696329116821,-0.707239031791687,-1.311469316482544,0.9382217526435852,-1.6171303987503052,-0.5035902261734009,-0.2309105098247528,1.6769486665725708,1.5623106956481934,0.7952817678451538,0.01188579574227333,-1.0185387134552002,-0.47336381673812866,-1.360399603843689,2.019383668899536,-1.9596554040908813,-2.219020366668701,-0.11039599776268005,0.8186659216880798,1.796715497970581,1.9973822832107544,1.5112473964691162,-1.3833304643630981,2.0004961490631104,-2.0382752418518066,0.18501923978328705,-1.4518615007400513,-0.2890995740890503
7,-1.2408795356750488,-1.398295521736145,-2.242905378341675,1.900814175605774,0.8661227822303772,0.07354282587766647,-2.1983232498168945,-1.1789405345916748,-2.081282615661621,0.43359917402267456,0.7673327922821045,0.958304762840271,-1.0032219886779785,-0.7934461832046509,-0.6580991744995117,-1.8949633836746216,0.5909912586212158,2.0469422340393066,-2.0498361587524414,-0.753090500831604,-0.7380428314208984,0.6285708546638489,-1.2127416133880615,0.40065914392471313,1.2462824583053589,-1.7645012140274048,-1.7931674718856812,-2.198249101638794,1.0243000984191895,-2.165268898010254,1.2920540571212769,1.506632924079895,-1.43109130859375,-1.161877155303955,-0.3171323537826538,0.37321802973747253,-0.28901025652885437,-1.9327486753463745,-0.8971198797225952,0.47152838110923767,-0.3902798593044281,-1.605351448059082,0.888968288898468,-1.8674812316894531,0.656487762928009,-1.2263201475143433,-0.031161053106188774,-0.5952099561691284,1.1499992609024048,-1.8566474914550781,-0.4531533718109131,-0.15916642546653748,-1.5239275693893433,-1.438951015472412,-0.4693484604358673,2.0224249362945557,-0.14798972010612488,0.6039099097251892,-1.137654423713684,2.1006088256835938,0.7039141058921814,2.0183205604553223,0.8812488317489624,-0.9286483526229858,0.4739931523799896,-1.0505160093307495,1.2952715158462524,0.4255760908126831,-0.581221342086792,-1.3865220546722412,-1.7936338186264038,-0.17127172648906708,-1.9789962768554688,-1.9271262884140015,-1.7873913049697876,0.5101242065429688,-1.6125518083572388,-1.674730658531189,0.4503942131996155,0.41481658816337585,1.8857344388961792,1.0361871719360352,-2.142911911010742,-0.16651998460292816,1.8186990022659302,0.6648877263069153,0.5180395245552063,-1.167195200920105,1.5546776056289673,0.4714565575122833,-1.7005019187927246,1.4683681726455688,-2.1143224239349365,-1.7737927436828613,-1.1080728769302368,2.290536642074585,0.7624511122703552,-0.5293978452682495,1.9891301393508911,0.6330854296684265,-1.2412675619125366,-0.6641150712966919,-1.2220994234085083,0.9513789415359497,-1.5650092363357544,-0.5420413017272949,-0.2674362361431122,1.7034934759140015,1.4595260620117188,0.894737184047699,-0.036505360156297684,-0.951238214969635,-0.41385290026664734,-1.3704224824905396,1.9809991121292114,-1.9318535327911377,-2.1038455963134766,-0.05088242143392563,0.7921978831291199,1.7095201015472412,1.9550153017044067,1.4201252460479736,-1.3594646453857422,1.9710581302642822,-1.9192392826080322,0.16276982426643372,-1.3878909349441528,-0.35704490542411804
8,-1.2197524309158325,-1.4068409204483032,-2.1952710151672363,1.898145079612732,0.8264041543006897,0.060344841331243515,-2.1222424507141113,-1.147572636604309,-2.079481601715088,0.45085984468460083,0.7201444506645203,0.9861668944358826,-0.8804075717926025,-0.7877539992332458,-0.6682278513908386,-1.795026421546936,0.6575926542282104,2.2207980155944824,-2.2149550914764404,-0.7969785332679749,-0.7427400946617126,0.6271487474441528,-1.3051729202270508,0.4083852171897888,1.3059114217758179,-1.8521729707717896,-1.841323971748352,-2.273563861846924,1.0469083786010742,-2.064756393432617,1.2911081314086914,1.5245765447616577,-1.365135669708252,-1.0571380853652954,-0.3181743323802948,0.36080342531204224,-0.28250670433044434,-1.8746492862701416,-0.8355825543403625,0.44505995512008667,-0.3905004560947418,-1.7023881673812866,0.9005348086357117,-1.9109545946121216,0.6922699809074402,-1.218185305595398,0.011383423581719398,-0.5579169988632202,1.1719540357589722,-1.8455244302749634,-0.4406580626964569,-0.0933576375246048,-1.4632737636566162,-1.3996073007583618,-0.4865231215953827,1.95814847946167,-0.19657306373119354,0.6812238693237305,-1.1767911911010742,2.1223256587982178,0.7338311672210693,1.9717216491699219,0.8113781809806824,-0.8474014401435852,0.5013249516487122,-0.9117041230201721,1.2259564399719238,0.4437439441680908,-0.5515831708908081,-1.3473701477050781,-1.7652485370635986,-0.18185175955295563,-2.038079261779785,-2.02744197845459,-1.7338145971298218,0.4684307873249054,-1.5072135925292969,-1.6760371923446655,0.5475423336029053,0.3836652636528015,1.806575059890747,1.0177857875823975,-2.1393752098083496,-0.08976218104362488,1.7258045673370361,0.6251717209815979,0.5788294672966003,-1.0792526006698608,1.513275384902954,0.4703327715396881,-1.6382418870925903,1.4751906394958496,-2.112391471862793,-1.7830835580825806,-1.0168124437332153,2.3400542736053467,0.7811772227287292,-0.4907812178134918,1.9120392799377441,0.6411681175231934,-1.2517426013946533,-0.6355531811714172,-1.2242151498794556,0.8519754409790039,-1.4099892377853394,-0.5278501510620117,-0.3205844461917877,1.653669834136963,1.3387551307678223,0.852520227432251,-0.08694504201412201,-0.9801738262176514,-0.3092277944087982,-1.2483632564544678,1.8994120359420776,-1.8614476919174194,-2.0520071983337402,-0.057184696197509766,0.7933793067932129,1.6909300088882446,1.8596618175506592,1.2856651544570923,-1.3550937175750732,1.8880475759506226,-1.8837982416152954,0.08740521222352982,-1.3696577548980713,-0.31123748421669006
9,-1.259501338005066,-1.3516359329223633,-2.2086410522460938,1.9072299003601074,0.7295623421669006,-0.029697248712182045,-1.9613126516342163,-1.1113646030426025,-2.183976650238037,0.4786951243877411,0.6764376163482666,1.0768882036209106,-0.7664315700531006,-0.6619729399681091,-0.657526433467865,-1.6293413639068604,0.6635781526565552,2.223083734512329,-2.2967092990875244,-0.8196694850921631,-0.7557766437530518,0.5715611577033997,-1.3451783657073975,0.46279871463775635,1.317643642425537,-1.8448972702026367,-1.9015769958496094,-2.330794095993042,1.138373851776123,-1.997222900390625,1.4145387411117554,1.6323202848434448,-1.3571652173995972,-0.9719696044921875,-0.3601951599121094,0.35401421785354614,-0.30635061860084534,-1.766905665397644,-0.7147786021232605,0.400145560503006,-0.40046408772468567,-1.5916433334350586,0.8283158540725708,-1.800589919090271,0.6706638932228088,-1.0730373859405518,0.016826432198286057,-0.4031582176685333,1.0513839721679688,-1.6339749097824097,-0.3501242399215698,0.028810812160372734,-1.3990575075149536,-1.37041175365448,-0.47514787316322327,1.7858284711837769,-0.2264333963394165,0.7292882800102234,-1.1524475812911987,1.9571079015731812,0.7087467908859253,1.8815659284591675,0.8198845386505127,-0.7757573127746582,0.5335460305213928,-0.7843688726425171,1.248460054397583,0.4942031502723694,-0.5013104677200317,-1.3212487697601318,-1.7758089303970337,-0.2767210602760315,-1.9861631393432617,-2.0850234031677246,-1.6815471649169922,0.49017617106437683,-1.3773366212844849,-1.6056993007659912,0.6024284362792969,0.41397830843925476,1.5831981897354126,0.9429646730422974,-1.9926228523254395,0.053456906229257584,1.5899062156677246,0.5209982991218567,0.5791425108909607,-0.9284811019897461,1.3658772706985474,0.36914336681365967,-1.5556974411010742,1.5149154663085938,-2.067993402481079,-1.7622469663619995,-0.9703350067138672,2.3033881187438965,0.7710533142089844,-0.4585574269294739,1.8278993368148804,0.6071431636810303,-1.2821309566497803,-0.7010803818702698,-1.2482856512069702,0.7194252014160156,-1.3610057830810547,-0.4107925295829773,-0.3605805039405823,1.5866063833236694,1.2437658309936523,0.8698483109474182,-0.1450197398662567,-1.0242619514465332,-0.30128365755081177,-1.1175074577331543,1.808544635772705,-1.8446836471557617,-2.047330141067505,-0.0938233807682991,0.8425067663192749,1.7152817249298096,1.91922128200531,1.1787549257278442,-1.363827109336853,1.8539992570877075,-2.0134150981903076,0.027445685118436813,-1.4418917894363403,-0.21999865770339966
