euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
4.183,0.055,40.144,,0.17,32.878,0.776,40.144,0.057
4.378,0.056,42.758,,0.188,35.081,0.785,42.758,0.058
4.199,0.052,40.999,,0.178,33.863,0.796,40.999,0.054
3.952,0.045,38.694,,0.168,32.239,0.714,38.694,0.046
4.284,0.053,41.756,,0.183,34.391,0.798,41.756,0.055
4.071,0.048,39.479,,0.172,32.418,0.798,39.479,0.05
3.783,0.041,36.769,,0.159,30.979,0.678,36.769,0.042
2.708,0.018,26.29,,0.112,23.261,0.501,26.29,0.018
3.502,0.032,34.19,,0.149,28.954,0.637,34.19,0.033
3.426,0.03,33.23,,0.144,28.003,0.645,33.23,0.031
3.273,0.029,32.196,,0.138,27.55,0.6,32.196,0.03
3.559,0.033,34.454,,0.15,28.722,0.694,34.454,0.034
3.418,0.03,32.831,,0.142,27.584,0.631,32.831,0.031
3.257,0.026,31.775,,0.138,27.012,0.603,31.775,0.027
2.993,0.023,29.092,,0.124,25.173,0.577,29.092,0.024
3.299,0.027,32.21,,0.14,27.492,0.623,32.21,0.028
3.495,0.031,33.841,,0.148,28.226,0.658,33.841,0.032
4.458,0.058,43.669,,0.192,35.757,0.822,43.669,0.06
3.725,0.038,36.127,,0.157,30.308,0.674,36.127,0.039
3.561,0.034,34.623,,0.15,28.708,0.719,34.623,0.035
3.529,0.034,34.022,,0.147,28.548,0.645,34.022,0.035
3.571,0.034,34.661,,0.151,29.228,0.653,34.661,0.035
3.699,0.037,35.861,,0.156,29.752,0.709,35.861,0.038
3.513,0.032,34.308,,0.149,29.339,0.668,34.308,0.033
3.73,0.037,36.208,,0.158,30.205,0.696,36.208,0.039
3.744,0.038,36.454,,0.159,30.19,0.706,36.454,0.039
3.586,0.034,34.863,,0.152,28.983,0.689,34.863,0.035
3.194,0.026,30.946,,0.134,26.29,0.615,30.946,0.027
3.329,0.027,32.414,,0.141,27.475,0.634,32.414,0.028
3.088,0.021,29.87,,0.13,25.464,0.571,29.87,0.022
