euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
1.038,0.003,8.843,4.066,0.04,7.733,0.274,8.843,0.003
0.807,0.003,7.9,8.01,0.037,9.641,0.145,7.9,0.003
0.733,0.002,7.039,8.933,0.033,8.268,0.152,7.039,0.002
0.48,0.001,4.619,5.515,0.022,5.958,0.094,4.619,0.001
0.742,0.002,7.213,10.27,0.034,8.982,0.152,7.213,0.002
0.571,0.001,5.139,0.457,0.024,6.431,0.126,5.139,0.001
0.363,0.001,3.289,7.288,0.015,5.137,0.081,3.289,0.001
0.918,0.003,8.902,7.961,0.041,9.966,0.173,8.902,0.003
0.236,0.0,2.166,2.479,0.01,2.201,0.057,2.166,0.0
0.273,0.0,2.606,,0.012,3.8,0.068,2.606,0.0
0.542,0.001,4.873,7.11,0.022,5.372,0.139,4.873,0.001
0.236,0.0,2.089,5.521,0.01,3.243,0.057,2.089,0.0
0.408,0.001,3.785,5.925,0.018,5.543,0.097,3.785,0.001
0.441,0.001,3.884,5.993,0.018,4.383,0.101,3.884,0.001
0.654,0.001,6.193,2.562,0.028,6.615,0.156,6.193,0.001
0.392,0.001,3.532,4.262,0.017,4.343,0.085,3.532,0.001
0.276,0.0,2.555,5.875,0.012,3.494,0.059,2.555,0.0
0.938,0.004,9.175,9.578,0.043,10.734,0.224,9.175,0.004
0.229,0.0,2.056,4.089,0.01,2.929,0.058,2.056,0.0
0.3,0.0,2.753,,0.013,4.014,0.069,2.753,0.0
0.317,0.0,2.892,4.851,0.013,4.597,0.07,2.892,0.0
0.08,0.0,0.723,5.31,0.003,1.157,0.021,0.723,0.0
0.194,0.0,1.661,3.718,0.008,2.894,0.069,1.661,0.0
0.32,0.0,2.748,,0.013,4.04,0.076,2.748,0.0
0.169,0.0,1.487,3.857,0.007,1.599,0.046,1.487,0.0
0.256,0.0,2.073,,0.01,1.857,0.09,2.073,0.0
0.207,0.0,1.781,4.679,0.008,2.876,0.059,1.781,0.0
0.473,0.001,4.516,4.527,0.021,5.252,0.114,4.516,0.001
0.382,0.001,3.431,5.114,0.016,4.452,0.083,3.431,0.001
0.692,0.002,6.438,9.48,0.03,7.305,0.157,6.438,0.002
