,Mahalanobis
0,5.421043498658176
1,6.0764892087280895
2,5.785913618629406
3,4.5800052672322265
4,5.384243574794621
5,5.6363983227539425
6,5.453304571465566
7,5.5565886981326
8,5.485094828505207
9,8.429577630024331
10,5.688711084471076
11,5.30895225200119
12,5.680433876663867
13,5.384351474564436
14,5.4791731668930765
15,5.456669609745123
16,6.323530695264166
17,5.7487701089878955
18,5.5282342078923765
19,5.537710208472836
20,5.4079825692588415
21,5.377231864243641
22,5.524747208799564
23,7.865871090237446
24,5.3467132557674715
25,5.457402722992878
26,5.543638540259281
27,5.431233805891339
28,5.360956239943454
29,5.529455319106366
30,7.1964573358577075
