euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
4.227,0.233,45.955,,0.287,195.315,0.64,45.955,0.276
4.318,0.247,46.289,,0.289,191.18,0.658,46.289,0.292
3.726,0.166,40.362,,0.244,172.456,0.568,40.362,0.198
4.383,0.256,46.421,,0.292,193.2,0.67,46.421,0.302
4.383,0.256,46.332,,0.292,193.27,0.67,46.332,0.302
4.386,0.257,46.281,,0.291,190.203,0.671,46.281,0.303
4.22,0.232,44.819,,0.279,181.207,0.641,44.819,0.275
4.416,0.262,47.178,,0.297,196.118,0.675,47.178,0.308
4.407,0.261,47.516,,0.298,202.655,0.672,47.516,0.307
4.279,0.24,45.208,,0.283,190.601,0.652,45.208,0.285
4.254,0.237,44.929,,0.28,187.447,0.648,44.929,0.281
4.358,0.253,46.017,,0.289,183.72,0.664,46.017,0.299
4.315,0.246,45.444,,0.284,185.032,0.659,45.444,0.291
4.302,0.244,44.966,,0.281,180.582,0.658,44.966,0.289
4.215,0.232,44.453,,0.275,178.683,0.643,44.453,0.275
4.162,0.226,43.937,,0.27,175.551,0.63,43.937,0.268
4.323,0.248,45.311,,0.283,185.625,0.661,45.311,0.293
4.335,0.249,46.033,,0.289,194.991,0.661,46.033,0.294
4.39,0.258,46.129,,0.29,191.973,0.672,46.129,0.304
4.328,0.249,45.402,,0.283,191.488,0.661,45.402,0.294
4.314,0.246,45.719,,0.286,192.032,0.658,45.719,0.291
3.995,0.201,43.618,,0.268,180.776,0.596,43.618,0.24
4.446,0.267,47.993,,0.303,202.305,0.678,47.993,0.313
4.346,0.251,46.146,,0.29,194.547,0.663,46.146,0.296
4.417,0.261,46.998,,0.297,193.148,0.674,46.998,0.308
4.42,0.262,47.063,,0.297,197.793,0.675,47.063,0.308
4.427,0.263,47.086,,0.297,198.256,0.677,47.086,0.31
4.389,0.257,46.554,,0.293,192.09,0.671,46.554,0.303
4.392,0.258,46.802,,0.294,194.198,0.67,46.802,0.304
4.429,0.264,48.115,,0.303,207.754,0.675,48.115,0.31
