euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.135,0.0,1.805,,0.015,24.72,0.018,1.805,0.001
0.077,0.0,0.818,11.932,0.007,7.801,0.019,0.818,0.0
0.617,0.01,5.972,,0.048,47.241,0.089,5.972,0.011
0.089,0.0,1.021,6.524,0.009,14.248,0.013,1.021,0.0
0.096,0.0,1.156,8.683,0.01,16.002,0.013,1.156,0.0
0.098,0.0,1.119,,0.009,17.068,0.014,1.119,0.0
0.121,0.0,1.463,,0.012,21.455,0.017,1.463,0.0
0.126,0.0,1.606,13.634,0.014,20.544,0.018,1.606,0.0
0.133,0.0,1.876,18.982,0.016,30.448,0.02,1.876,0.001
0.063,0.0,0.898,11.973,0.008,14.886,0.011,0.898,0.0
0.077,0.0,1.126,,0.009,14.248,0.009,1.126,0.0
0.066,0.0,0.836,8.008,0.007,22.421,0.01,0.836,0.0
0.035,0.0,0.573,7.837,0.005,11.321,0.006,0.573,0.0
0.062,0.0,1.001,7.601,0.008,19.631,0.01,1.001,0.0
0.112,0.0,1.675,14.068,0.014,23.596,0.015,1.675,0.0
0.227,0.001,3.567,34.543,0.029,32.523,0.027,3.567,0.001
0.056,0.0,0.865,8.822,0.007,11.898,0.01,0.865,0.0
0.04,0.0,0.593,10.887,0.005,14.268,0.006,0.593,0.0
0.109,0.0,1.351,,0.011,17.111,0.015,1.351,0.0
0.052,0.0,0.895,10.138,0.008,12.734,0.006,0.895,0.0
0.024,0.0,0.32,5.542,0.003,9.348,0.005,0.32,0.0
0.426,0.005,4.109,,0.033,34.294,0.061,4.109,0.005
0.171,0.001,2.443,,0.021,33.003,0.021,2.443,0.001
0.048,0.0,0.674,7.694,0.006,10.988,0.006,0.674,0.0
0.13,0.0,1.758,10.393,0.015,27.267,0.02,1.758,0.0
0.131,0.0,1.715,10.014,0.015,24.261,0.019,1.715,0.0
0.141,0.0,1.808,,0.015,25.203,0.02,1.808,0.001
0.099,0.0,1.206,11.053,0.01,16.752,0.014,1.206,0.0
0.098,0.0,1.223,6.26,0.01,15.91,0.013,1.223,0.0
0.16,0.001,2.441,,0.021,41.474,0.022,2.441,0.001
