euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
9.49,0.469,88.05,,0.431,201.503,1.422,88.05,0.541
9.784,0.528,89.854,,0.444,194.831,1.477,89.854,0.606
8.075,0.249,74.7,,0.344,165.092,1.204,74.7,0.288
9.868,0.544,90.598,,0.451,196.515,1.492,90.598,0.625
9.878,0.546,90.568,,0.451,199.405,1.495,90.568,0.627
9.872,0.545,90.483,,0.451,193.63,1.494,90.483,0.625
9.572,0.485,87.512,,0.429,173.056,1.433,87.512,0.56
9.912,0.553,91.627,,0.458,206.473,1.501,91.627,0.634
9.931,0.558,91.854,,0.458,209.089,1.504,91.854,0.639
9.604,0.491,88.075,,0.434,194.921,1.442,88.075,0.566
9.812,0.533,89.82,,0.446,197.322,1.483,89.82,0.612
9.843,0.539,90.032,,0.447,176.599,1.488,90.032,0.619
9.881,0.547,90.573,,0.451,190.83,1.495,90.573,0.627
9.819,0.534,89.353,,0.443,180.626,1.483,89.353,0.614
9.851,0.542,89.982,,0.446,192.254,1.491,89.982,0.621
9.867,0.546,89.815,,0.443,191.966,1.494,89.815,0.626
9.905,0.552,90.516,,0.451,197.981,1.5,90.516,0.633
9.838,0.538,90.445,,0.45,202.314,1.487,90.445,0.617
9.913,0.554,90.84,,0.453,200.501,1.502,90.84,0.635
9.797,0.53,89.558,,0.444,199.315,1.479,89.558,0.609
9.67,0.504,88.514,,0.436,191.662,1.455,88.514,0.581
8.844,0.362,82.119,,0.39,176.988,1.281,82.119,0.42
9.947,0.561,92.224,,0.461,207.908,1.507,92.224,0.642
9.784,0.527,89.792,,0.445,201.165,1.477,89.792,0.606
9.896,0.55,90.797,,0.453,184.572,1.497,90.797,0.631
9.899,0.551,91.037,,0.455,197.505,1.498,91.037,0.631
9.907,0.552,91.166,,0.456,200.93,1.5,91.166,0.633
9.854,0.541,90.472,,0.45,202.579,1.491,90.472,0.621
9.884,0.548,91.292,,0.454,205.758,1.495,91.292,0.628
9.845,0.54,91.378,,0.454,210.223,1.486,91.378,0.619
