euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.278,0.001,4.843,,0.026,25.817,0.035,4.843,0.001
0.313,0.001,5.377,4.827,0.029,36.239,0.04,5.377,0.002
0.194,0.0,3.395,,0.018,22.919,0.024,3.395,0.001
0.063,0.0,1.122,7.112,0.006,18.3,0.008,1.122,0.0
0.187,0.0,3.245,,0.017,19.336,0.022,3.245,0.0
0.146,0.0,2.46,6.135,0.013,13.488,0.015,2.46,0.0
0.177,0.0,3.026,2.361,0.016,23.856,0.025,3.026,0.0
0.183,0.0,3.205,,0.017,19.819,0.02,3.205,0.0
0.429,0.002,7.466,,0.041,41.506,0.057,7.466,0.003
0.211,0.0,3.689,,0.019,23.649,0.026,3.689,0.001
0.181,0.0,3.149,5.333,0.017,18.901,0.025,3.149,0.0
0.169,0.0,2.885,1.832,0.015,18.427,0.02,2.885,0.0
0.127,0.0,2.154,4.387,0.011,15.83,0.016,2.154,0.0
0.264,0.001,4.628,,0.024,31.719,0.034,4.628,0.001
0.114,0.0,1.833,0.84,0.01,26.869,0.016,1.833,0.0
0.201,0.001,3.426,8.096,0.018,26.823,0.029,3.426,0.001
0.243,0.001,4.189,5.701,0.022,25.546,0.031,4.189,0.001
0.087,0.0,1.442,7.727,0.008,9.488,0.014,1.442,0.0
0.171,0.0,2.948,4.503,0.016,18.058,0.022,2.948,0.0
0.165,0.0,2.874,5.616,0.015,21.019,0.021,2.874,0.0
0.086,0.0,1.501,5.272,0.008,10.982,0.011,1.501,0.0
0.224,0.001,3.949,,0.021,26.682,0.025,3.949,0.001
0.463,0.002,8.149,,0.044,52.607,0.055,8.149,0.003
0.109,0.0,1.894,6.623,0.01,19.879,0.015,1.894,0.0
0.127,0.0,2.229,2.827,0.012,14.356,0.016,2.229,0.0
0.092,0.0,1.58,6.629,0.008,11.427,0.013,1.58,0.0
0.144,0.0,2.521,10.254,0.013,15.831,0.017,2.521,0.0
0.085,0.0,1.468,3.966,0.008,17.217,0.012,1.468,0.0
0.284,0.001,4.973,,0.027,28.461,0.034,4.973,0.001
0.482,0.003,8.438,,0.046,41.731,0.057,8.438,0.003
