euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.797,0.076,7.267,95187315.625,0.759,94.607,0.187,7.267,0.076
0.079,0.003,0.728,95187315.625,0.043,12.402,0.018,0.728,0.003
0.209,0.004,1.935,95187315.625,0.129,22.104,0.046,1.935,0.004
0.187,0.003,1.71,95187315.625,0.093,18.864,0.049,1.71,0.003
0.156,0.003,1.374,95187315.625,0.076,14.373,0.041,1.374,0.003
0.079,0.003,0.733,95187315.625,0.043,12.646,0.018,0.733,0.003
0.12,0.003,1.077,95187315.625,0.061,14.391,0.033,1.077,0.003
0.08,0.003,0.764,95187315.625,0.045,16.315,0.017,0.764,0.003
0.071,0.003,0.663,95187315.625,0.039,13.515,0.015,0.663,0.003
0.207,0.002,1.903,95187315.625,0.102,18.342,0.059,1.903,0.002
0.084,0.003,0.792,95187315.625,0.046,14.328,0.018,0.792,0.003
0.13,0.003,1.153,95187315.625,0.065,13.679,0.034,1.153,0.003
0.2,0.003,1.807,95187315.625,0.098,18.655,0.059,1.807,0.003
0.078,0.004,0.715,95187315.625,0.042,14.654,0.014,0.715,0.004
0.087,0.004,0.815,95187315.625,0.05,14.059,0.019,0.815,0.004
0.077,0.002,0.713,95187315.625,0.041,13.228,0.019,0.713,0.002
0.127,0.003,1.145,95187315.625,0.064,14.232,0.036,1.145,0.003
0.128,0.003,1.18,95187315.625,0.066,17.317,0.035,1.18,0.003
0.092,0.003,0.815,95187315.625,0.047,14.276,0.02,0.815,0.003
0.083,0.003,0.748,95187315.625,0.043,11.911,0.022,0.748,0.003
0.167,0.003,1.493,95187315.625,0.082,16.08,0.05,1.493,0.003
0.125,0.003,1.126,95187315.625,0.064,14.981,0.037,1.126,0.003
0.15,0.003,1.354,95187315.625,0.075,15.359,0.039,1.354,0.003
0.141,0.003,1.287,95187315.625,0.072,16.201,0.038,1.287,0.003
0.078,0.004,0.735,95187315.625,0.044,15.766,0.014,0.735,0.004
0.1,0.004,0.876,95187315.625,0.054,12.651,0.022,0.876,0.004
0.122,0.003,1.1,95187315.625,0.062,15.191,0.036,1.1,0.003
0.177,0.003,1.642,95187315.625,0.089,17.535,0.044,1.642,0.003
0.108,0.003,0.985,95187315.625,0.056,13.085,0.032,0.985,0.003
0.102,0.003,0.893,95187315.625,0.051,14.499,0.028,0.893,0.003
0.165,0.003,1.503,95187315.625,0.082,17.571,0.041,1.503,0.003
0.134,0.003,1.168,95187315.625,0.065,14.117,0.041,1.168,0.003
0.269,0.002,2.447,95187315.625,0.128,21.038,0.079,2.447,0.002
0.167,0.003,1.502,95187315.625,0.083,15.951,0.045,1.502,0.003
0.081,0.004,0.745,95187315.625,0.044,13.756,0.017,0.745,0.004
0.23,0.002,2.108,95187315.625,0.112,20.32,0.069,2.108,0.002
0.219,0.002,1.988,95187315.625,0.106,16.782,0.063,1.988,0.002
0.137,0.003,1.201,95187315.625,0.076,15.902,0.035,1.201,0.003
0.071,0.003,0.631,95187315.625,0.037,12.115,0.015,0.631,0.003
0.119,0.003,1.106,95187315.625,0.062,15.149,0.029,1.106,0.003
0.109,0.004,0.993,95187315.625,0.062,15.24,0.028,0.993,0.004
0.128,0.004,1.16,95187315.625,0.073,14.542,0.029,1.16,0.004
0.07,0.003,0.639,95187315.625,0.038,14.544,0.015,0.639,0.003
0.09,0.004,0.813,95187315.625,0.05,14.539,0.02,0.813,0.004
0.13,0.003,1.168,95187315.625,0.066,16.145,0.037,1.168,0.003
0.081,0.004,0.76,95187315.625,0.046,15.504,0.016,0.76,0.004
0.099,0.003,0.931,95187315.625,0.058,15.897,0.019,0.931,0.003
0.086,0.004,0.826,95187315.625,0.05,15.901,0.02,0.826,0.004
0.093,0.003,0.847,95187315.625,0.049,12.882,0.021,0.847,0.003
0.119,0.003,1.099,95187315.625,0.062,14.954,0.034,1.099,0.003
0.191,0.003,1.746,95187315.625,0.095,18.307,0.057,1.746,0.003
0.137,0.003,1.22,95187315.625,0.068,13.816,0.043,1.22,0.003
0.195,0.003,1.755,95187315.625,0.095,18.474,0.051,1.755,0.003
0.145,0.003,1.307,95187315.625,0.073,15.07,0.038,1.307,0.003
0.21,0.003,1.852,95187315.625,0.099,17.017,0.062,1.852,0.003
0.133,0.003,1.199,95187315.625,0.067,14.66,0.031,1.199,0.003
0.139,0.003,1.292,95187315.625,0.072,16.636,0.032,1.292,0.003
0.154,0.003,1.393,95187315.625,0.077,16.5,0.044,1.393,0.003
0.248,0.003,2.287,95187315.625,0.12,20.817,0.07,2.287,0.003
0.223,0.003,2.031,95187315.625,0.108,19.652,0.056,2.031,0.003
0.177,0.003,1.614,95187315.625,0.088,17.942,0.046,1.614,0.003
0.291,0.002,2.619,95187315.625,0.135,19.859,0.085,2.619,0.002
0.099,0.003,0.928,95187315.625,0.053,15.84,0.025,0.928,0.003
0.097,0.003,0.866,95187315.625,0.05,15.262,0.026,0.866,0.003
