euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.732,0.074,6.68,10.699,0.743,91.697,0.179,6.68,0.074
0.104,0.002,0.965,9.396,0.058,14.284,0.024,0.965,0.002
0.142,0.003,1.325,9.775,0.092,17.31,0.038,1.325,0.003
0.241,0.001,2.216,10.875,0.124,20.293,0.06,2.216,0.001
0.206,0.001,1.888,10.086,0.108,16.867,0.05,1.888,0.001
0.104,0.001,0.909,8.96,0.055,12.117,0.026,0.909,0.001
0.168,0.001,1.534,9.771,0.089,15.202,0.041,1.534,0.001
0.106,0.001,0.992,9.746,0.06,15.174,0.022,0.992,0.001
0.091,0.001,0.852,9.558,0.052,13.873,0.02,0.852,0.001
0.265,0.001,2.451,11.608,0.136,20.864,0.067,2.451,0.001
0.12,0.001,1.088,9.794,0.065,15.322,0.026,1.088,0.001
0.178,0.001,1.637,9.763,0.095,16.025,0.043,1.637,0.001
0.256,0.001,2.309,9.262,0.129,19.809,0.068,2.309,0.001
0.087,0.002,0.8,9.149,0.049,12.557,0.021,0.8,0.002
0.056,0.002,0.53,9.491,0.033,12.257,0.01,0.53,0.002
0.116,0.002,1.082,9.518,0.065,14.727,0.03,1.082,0.002
0.174,0.001,1.605,9.87,0.093,15.417,0.044,1.605,0.001
0.172,0.001,1.596,10.158,0.093,17.293,0.043,1.596,0.001
0.129,0.001,1.178,9.546,0.07,13.065,0.031,1.178,0.001
0.123,0.001,1.09,9.516,0.066,13.192,0.03,1.09,0.001
0.221,0.001,2.019,9.816,0.115,18.911,0.058,2.019,0.001
0.172,0.001,1.517,9.14,0.089,14.328,0.045,1.517,0.001
0.202,0.001,1.835,9.745,0.105,16.967,0.05,1.835,0.001
0.192,0.001,1.735,9.228,0.1,16.746,0.046,1.735,0.001
0.086,0.002,0.796,9.136,0.049,13.451,0.023,0.796,0.002
0.053,0.002,0.521,9.354,0.033,11.893,0.009,0.521,0.002
0.168,0.001,1.556,10.154,0.091,16.428,0.044,1.556,0.001
0.232,0.001,2.173,10.149,0.122,19.531,0.054,2.173,0.001
0.155,0.001,1.405,9.288,0.083,14.865,0.04,1.405,0.001
0.14,0.001,1.247,9.576,0.074,15.357,0.036,1.247,0.001
0.216,0.001,2.014,9.451,0.114,19.178,0.049,2.014,0.001
0.184,0.001,1.669,9.054,0.097,15.749,0.049,1.669,0.001
0.328,0.001,2.984,8.74,0.16,22.744,0.088,2.984,0.001
0.22,0.001,2.0,10.041,0.114,16.582,0.056,2.0,0.001
0.099,0.001,0.906,9.294,0.055,11.8,0.026,0.906,0.001
0.288,0.001,2.636,10.708,0.144,21.776,0.077,2.636,0.001
0.276,0.001,2.554,9.502,0.14,22.229,0.072,2.554,0.001
0.076,0.002,0.693,9.442,0.046,12.426,0.017,0.693,0.002
