,Mahalanobis
0,
1,
2,
3,6.815135292386421
4,
5,9.145343308650872
6,
7,1.8186445707831522
8,
9,
10,3.071551996427923
11,
12,4.513554954537918
13,
14,5.81426946501726
15,
16,
17,
18,9.71381046781828
19,
20,9.682713675889824
21,7.0308098407441095
22,7.622843666603957
23,
24,7.358739705648012
25,
26,8.912961336313534
27,
28,
29,8.575635816193362
30,8.929293410526789
31,8.614445382240302
32,5.96278419156169
33,
34,6.530581291398053
35,10.793886948845113
36,7.235039402897829
37,1.5296559893500798
38,2.7399891912343612
39,
40,4.887421937765497
41,8.941156353389974
42,
43,8.942783935588716
44,
45,
46,
47,
48,
49,17.443768505776937
50,
