euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
3.59,0.064,58.2,,0.183,248.668,0.452,58.2,0.078
6.394,0.221,107.912,,0.383,308.115,0.806,107.912,0.263
5.156,0.137,85.461,,0.282,276.901,0.671,85.461,0.163
5.573,0.158,96.331,,0.343,295.959,0.689,96.331,0.191
6.665,0.218,117.837,,0.484,320.077,0.786,117.837,0.275
4.923,0.116,85.447,,0.303,252.901,0.587,85.447,0.144
5.013,0.125,86.081,,0.296,281.861,0.64,86.081,0.152
4.34,0.09,74.25,,0.251,270.601,0.521,74.25,0.111
4.417,0.093,75.85,,0.258,272.653,0.543,75.85,0.115
4.721,0.106,81.487,,0.284,282.941,0.545,81.487,0.131
4.825,0.113,82.926,,0.288,280.933,0.607,82.926,0.139
5.032,0.128,85.281,,0.289,279.975,0.636,85.281,0.155
4.071,0.08,69.387,,0.227,259.072,0.532,69.387,0.097
3.856,0.069,65.838,,0.218,257.38,0.481,65.838,0.086
3.571,0.058,61.392,,0.2,152.604,0.468,61.392,0.071
4.319,0.089,73.506,,0.248,269.512,0.525,73.506,0.11
4.414,0.094,75.164,,0.255,272.087,0.525,75.164,0.116
4.974,0.114,86.488,,0.31,288.838,0.627,86.488,0.142
4.974,0.118,86.282,,0.304,284.684,0.627,86.282,0.145
2.952,0.027,50.586,,0.169,226.165,0.387,50.586,0.035
4.265,0.091,70.534,,0.228,260.829,0.56,70.534,0.11
4.52,0.095,77.993,,0.269,274.226,0.588,77.993,0.118
5.114,0.119,89.073,,0.324,291.678,0.644,89.073,0.149
4.496,0.093,77.971,,0.271,181.661,0.534,77.971,0.115
4.686,0.11,79.207,,0.262,269.595,0.609,79.207,0.132
5.256,0.134,91.32,,0.327,292.445,0.653,91.32,0.165
5.619,0.16,97.044,,0.348,297.152,0.716,97.044,0.195
6.207,0.201,107.913,,0.406,315.596,0.771,107.913,0.246
4.919,0.121,83.663,,0.287,280.817,0.614,83.663,0.148
4.798,0.106,83.21,,0.292,279.52,0.631,83.21,0.132
5.023,0.128,85.219,,0.289,279.951,0.643,85.219,0.154
5.556,0.16,94.17,,0.327,218.687,0.71,94.17,0.193
5.1,0.128,86.571,,0.313,295.381,0.634,86.571,0.16
5.187,0.138,87.092,,0.292,280.601,0.662,87.092,0.165
6.089,0.167,106.972,,0.437,330.156,0.621,106.972,0.216
6.624,0.233,112.959,,0.455,329.595,0.838,112.959,0.297
5.198,0.12,91.157,,0.345,305.801,0.567,91.157,0.153
5.901,0.184,100.214,,0.355,300.498,0.757,100.214,0.222
4.417,0.095,75.416,,0.253,271.204,0.499,75.416,0.116
4.621,0.106,78.143,,0.26,269.431,0.615,78.143,0.128
3.684,0.067,56.96,,0.17,238.325,0.544,56.96,0.079
5.876,0.18,95.156,,0.314,286.78,0.807,95.156,0.211
3.139,0.048,48.424,,0.146,230.059,0.494,48.424,0.059
3.977,0.076,58.769,,0.173,240.285,0.612,58.769,0.088
4.816,0.114,72.959,,0.222,257.657,0.683,72.959,0.132
6.285,0.208,101.452,,0.339,293.689,0.864,101.452,0.243
6.267,0.21,103.935,,0.36,301.878,0.824,103.935,0.25
8.26,0.411,143.662,,0.66,380.967,0.955,143.662,0.522
5.69,0.164,89.192,,0.284,277.114,0.777,89.192,0.19
8.102,0.392,139.785,,0.608,366.399,0.988,139.785,0.494
