euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
2.157,0.019,35.808,,0.123,200.801,0.343,35.808,0.023
1.738,0.023,25.769,9.995,0.095,198.913,0.282,25.769,0.026
1.102,0.004,17.038,7.272,0.06,161.644,0.192,17.038,0.004
0.754,0.004,13.283,4.798,0.05,163.131,0.085,13.283,0.004
2.777,0.039,49.741,11.201,0.217,230.927,0.316,49.741,0.047
0.447,0.001,6.811,8.889,0.026,134.809,0.086,6.811,0.001
0.431,0.001,5.775,6.929,0.021,146.843,0.089,5.775,0.002
0.646,0.002,10.779,6.908,0.039,159.628,0.103,10.779,0.003
0.544,0.002,8.896,6.538,0.033,157.635,0.092,8.896,0.002
0.403,0.001,5.399,7.389,0.02,150.534,0.08,5.399,0.002
0.158,0.0,1.815,6.954,0.007,135.341,0.035,1.815,0.0
0.577,0.002,8.331,7.241,0.03,148.135,0.095,8.331,0.002
1.331,0.01,21.235,7.653,0.076,186.723,0.187,21.235,0.013
1.241,0.009,20.988,7.421,0.076,186.63,0.153,20.988,0.011
1.802,0.021,28.182,6.602,0.102,93.236,0.261,28.182,0.026
0.639,0.002,11.01,6.533,0.04,156.934,0.081,11.01,0.003
0.558,0.001,9.188,6.128,0.034,150.68,0.085,9.188,0.002
0.584,0.001,10.232,7.784,0.04,151.798,0.078,10.232,0.001
0.365,0.0,6.254,6.862,0.024,143.919,0.049,6.254,0.001
2.4,0.044,34.809,12.034,0.133,227.08,0.383,34.809,0.053
1.326,0.006,23.143,8.183,0.081,181.489,0.156,23.143,0.007
0.485,0.002,6.265,5.281,0.023,156.632,0.09,6.265,0.002
0.807,0.002,14.161,5.281,0.056,157.376,0.091,14.161,0.002
0.468,0.002,6.111,7.807,0.023,92.739,0.095,6.111,0.002
1.003,0.005,14.946,8.487,0.054,168.832,0.171,14.946,0.006
0.549,0.001,9.366,6.19,0.036,150.549,0.056,9.366,0.001
0.845,0.005,14.43,7.577,0.055,166.183,0.119,14.43,0.006
1.668,0.019,28.892,7.075,0.115,203.176,0.21,28.892,0.022
0.318,0.0,5.254,7.205,0.019,140.945,0.047,5.254,0.0
0.629,0.003,9.817,7.283,0.037,159.669,0.108,9.817,0.003
0.556,0.002,7.853,7.547,0.029,148.512,0.094,7.853,0.002
0.793,0.005,11.17,4.781,0.041,121.024,0.151,11.17,0.005
1.929,0.03,24.06,5.976,0.092,197.645,0.314,24.06,0.036
0.819,0.003,11.835,7.474,0.042,154.353,0.14,11.835,0.003
2.806,0.048,47.419,12.973,0.207,244.528,0.415,47.419,0.057
3.138,0.078,47.874,7.464,0.2,243.72,0.53,47.874,0.096
1.997,0.028,28.547,7.196,0.116,205.171,0.358,28.547,0.034
1.158,0.011,17.785,8.265,0.066,182.539,0.191,17.785,0.012
0.78,0.003,12.035,7.362,0.044,157.991,0.147,12.035,0.004
0.878,0.004,13.488,6.156,0.049,167.223,0.138,13.488,0.005
3.157,0.039,52.459,9.124,0.173,224.445,0.429,52.459,0.047
1.598,0.011,22.574,9.891,0.078,176.819,0.32,22.574,0.01
3.158,0.042,53.916,7.109,0.18,232.012,0.377,53.916,0.051
3.216,0.032,54.647,8.419,0.176,222.896,0.426,54.647,0.038
2.438,0.013,42.065,5.988,0.137,199.705,0.323,42.065,0.013
1.911,0.019,25.626,11.232,0.089,189.091,0.397,25.626,0.019
1.681,0.019,22.638,10.204,0.082,192.367,0.311,22.638,0.022
4.918,0.205,85.703,9.364,0.418,318.619,0.643,85.703,0.253
2.008,0.011,31.872,10.175,0.107,183.51,0.346,31.872,0.01
4.53,0.176,76.767,12.38,0.347,295.496,0.7,76.767,0.216
