euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.586,0.017,7.864,999630.348,0.105,192.632,0.134,7.864,0.02
0.505,0.012,7.118,999630.252,0.096,188.354,0.095,7.118,0.013
0.751,0.029,7.21,999630.303,0.092,102.296,0.176,7.21,0.034
0.579,0.017,5.431,999630.252,0.07,60.601,0.129,5.431,0.02
0.522,0.014,4.95,999630.351,0.064,96.191,0.115,4.95,0.017
0.528,0.014,5.483,999630.381,0.07,129.918,0.113,5.483,0.016
0.451,0.01,4.971,999630.322,0.063,90.04,0.1,4.971,0.011
0.524,0.014,4.979,999630.336,0.064,72.475,0.117,4.979,0.017
0.411,0.009,3.898,999630.256,0.05,68.947,0.091,3.898,0.01
0.466,0.011,4.478,999630.289,0.058,81.687,0.105,4.478,0.013
0.48,0.012,4.643,999630.266,0.059,54.298,0.107,4.643,0.014
0.439,0.01,4.17,999630.233,0.053,51.477,0.096,4.17,0.012
0.475,0.011,5.17,999630.221,0.065,57.345,0.108,5.17,0.013
0.402,0.008,4.297,999630.24,0.056,85.616,0.085,4.297,0.01
0.492,0.012,4.876,999630.309,0.062,77.876,0.109,4.876,0.014
0.522,0.014,5.175,999630.308,0.066,65.561,0.114,5.175,0.016
0.518,0.014,5.326,999630.322,0.068,79.927,0.116,5.326,0.016
0.55,0.015,5.733,999630.296,0.073,61.081,0.121,5.733,0.017
0.552,0.015,5.472,999630.349,0.07,67.464,0.126,5.472,0.018
0.509,0.013,5.213,999630.307,0.066,72.109,0.11,5.213,0.015
0.412,0.009,4.104,999630.34,0.053,139.496,0.093,4.104,0.01
0.461,0.011,4.598,999630.382,0.059,148.475,0.105,4.598,0.012
0.473,0.011,4.743,999630.349,0.061,116.87,0.107,4.743,0.013
0.512,0.013,5.023,999630.372,0.064,104.629,0.116,5.023,0.016
0.536,0.014,5.52,999630.358,0.07,103.26,0.119,5.52,0.017
0.526,0.014,5.487,999630.308,0.07,81.92,0.116,5.487,0.016
0.538,0.014,5.564,999630.325,0.07,65.933,0.119,5.564,0.017
0.497,0.013,4.686,999630.318,0.06,70.698,0.112,4.686,0.015
0.507,0.013,5.054,999630.379,0.064,93.527,0.118,5.054,0.015
0.593,0.017,6.201,999630.422,0.079,103.476,0.133,6.201,0.02
0.565,0.015,6.15,999630.366,0.077,78.153,0.126,6.15,0.018
0.646,0.021,6.782,999630.411,0.086,100.743,0.144,6.782,0.024
0.522,0.014,5.037,999630.339,0.065,95.663,0.116,5.037,0.016
0.598,0.018,5.662,999630.395,0.072,72.905,0.14,5.662,0.021
0.587,0.017,5.973,999630.398,0.076,94.374,0.13,5.973,0.02
0.629,0.02,6.224,999630.461,0.08,161.412,0.139,6.224,0.023
0.559,0.016,5.785,999630.414,0.074,155.83,0.125,5.785,0.018
0.632,0.018,7.321,999630.384,0.092,119.929,0.141,7.321,0.021
0.661,0.021,7.277,999630.39,0.092,104.359,0.143,7.277,0.024
0.616,0.019,5.943,999630.47,0.076,136.894,0.137,5.943,0.023
0.576,0.015,6.542,999630.353,0.082,177.452,0.135,6.542,0.018
0.472,0.012,4.796,999630.3,0.062,172.796,0.125,4.796,0.014
0.425,0.009,4.788,999630.297,0.06,168.773,0.092,4.788,0.01
0.542,0.013,6.503,999630.302,0.081,178.182,0.12,6.503,0.015
0.616,0.016,7.691,999630.35,0.095,183.896,0.133,7.691,0.018
0.564,0.016,5.901,999630.419,0.075,177.278,0.133,5.901,0.019
0.855,0.033,9.69,999630.646,0.121,194.472,0.181,9.69,0.038
0.8,0.027,9.53,999630.641,0.117,193.273,0.171,9.53,0.032
0.498,0.013,4.894,999630.319,0.063,170.498,0.141,4.894,0.015
0.66,0.023,7.195,999630.506,0.095,183.062,0.154,7.195,0.027
0.61,0.019,5.598,999630.093,0.072,76.462,0.145,5.598,0.023
