euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
3.93,0.053,67.116,,0.207,250.674,0.51,67.116,0.067
1.627,0.01,22.896,,0.063,181.262,0.319,22.896,0.013
2.812,0.032,40.103,35.036,0.105,160.728,0.405,40.103,0.036
1.036,0.004,14.261,8.6,0.037,91.231,0.192,14.261,0.005
0.51,0.001,7.7,5.908,0.02,34.365,0.063,7.7,0.001
0.664,0.001,8.349,7.56,0.022,49.712,0.101,8.349,0.002
1.164,0.006,15.963,11.612,0.042,86.17,0.163,15.963,0.007
0.351,0.0,4.606,5.484,0.012,44.113,0.075,4.606,0.001
1.355,0.007,19.77,14.697,0.052,84.616,0.188,19.77,0.009
0.876,0.003,12.602,8.969,0.033,66.134,0.116,12.602,0.004
0.803,0.003,12.015,,0.032,97.605,0.107,12.015,0.003
1.336,0.007,18.247,,0.048,113.233,0.188,18.247,0.009
1.859,0.012,28.687,,0.074,109.62,0.239,28.687,0.014
1.185,0.006,18.333,10.017,0.049,66.862,0.189,18.333,0.007
0.698,0.002,9.553,,0.025,60.403,0.105,9.553,0.002
0.557,0.001,7.77,,0.02,80.948,0.083,7.77,0.001
0.421,0.001,6.352,8.438,0.017,39.216,0.054,6.352,0.001
0.526,0.001,7.22,5.696,0.019,72.534,0.085,7.22,0.001
0.618,0.001,10.825,17.411,0.029,84.909,0.069,10.825,0.001
0.796,0.002,11.578,,0.03,69.572,0.125,11.578,0.003
1.076,0.005,14.322,,0.038,126.22,0.188,14.322,0.006
0.54,0.001,7.246,8.098,0.019,108.253,0.113,7.246,0.001
0.786,0.001,12.41,4.389,0.034,27.795,0.135,12.41,0.002
0.314,0.0,5.41,,0.014,48.569,0.036,5.41,0.0
0.357,0.001,5.515,7.004,0.015,56.605,0.054,5.515,0.001
1.013,0.003,15.618,,0.04,61.94,0.129,15.618,0.004
0.599,0.001,9.116,2.277,0.024,28.519,0.085,9.116,0.001
0.33,0.0,5.702,6.693,0.015,34.793,0.042,5.702,0.0
0.513,0.001,7.17,6.854,0.019,68.753,0.109,7.17,0.001
0.837,0.003,13.339,7.516,0.035,113.428,0.118,13.339,0.003
0.444,0.001,5.766,7.886,0.015,34.732,0.071,5.766,0.001
1.124,0.005,15.199,10.817,0.039,60.246,0.18,15.199,0.006
0.301,0.0,4.389,6.498,0.012,19.406,0.041,4.389,0.0
1.286,0.006,21.168,,0.058,85.597,0.15,21.168,0.007
0.664,0.002,9.385,9.083,0.025,71.315,0.091,9.385,0.002
1.602,0.011,24.072,12.845,0.064,182.563,0.201,24.072,0.012
0.743,0.001,10.496,9.733,0.027,100.272,0.1,10.496,0.002
1.113,0.003,16.327,6.781,0.042,59.148,0.162,16.327,0.004
1.143,0.004,14.29,9.149,0.037,40.394,0.173,14.29,0.005
2.13,0.019,34.042,,0.092,199.063,0.244,34.042,0.022
1.395,0.005,21.269,4.36,0.054,166.772,0.202,21.269,0.006
0.958,0.004,10.837,,0.028,153.411,0.217,10.837,0.004
2.265,0.018,33.718,10.301,0.087,198.318,0.298,33.718,0.023
2.728,0.021,40.748,,0.101,198.354,0.391,40.748,0.026
2.485,0.015,38.151,,0.094,189.652,0.354,38.151,0.019
1.415,0.005,20.619,7.885,0.052,157.265,0.206,20.619,0.005
3.863,0.057,52.842,28.16,0.136,217.4,0.619,52.842,0.064
2.675,0.029,39.038,9.236,0.102,201.574,0.416,39.038,0.034
1.772,0.007,26.512,,0.066,166.342,0.28,26.512,0.009
4.359,0.082,67.74,,0.19,239.753,0.562,67.74,0.095
10.428,0.343,157.811,,0.454,276.023,1.364,157.811,0.424
