euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
12.608,0.576,117.374,,0.619,75.828,2.802,117.374,0.564
13.478,0.699,127.778,,0.731,82.431,2.858,127.778,0.699
12.122,0.522,110.733,,0.579,73.27,2.345,110.733,0.521
12.297,0.538,114.001,,0.601,74.434,2.645,114.001,0.538
12.145,0.519,109.094,,0.572,72.72,2.839,109.094,0.517
12.971,0.583,119.492,,0.617,75.599,2.856,119.492,0.575
11.414,0.458,106.72,,0.531,70.167,2.395,106.72,0.449
13.06,0.631,119.499,,0.67,79.425,3.056,119.499,0.627
13.885,0.736,127.485,,0.744,81.359,3.808,127.485,0.734
12.37,0.554,108.85,,0.565,68.318,3.105,108.85,0.554
12.889,0.605,119.245,,0.654,76.708,2.626,119.245,0.598
12.71,0.582,117.702,,0.628,75.612,3.088,117.702,0.578
12.7,0.587,116.035,,0.631,78.53,2.904,116.035,0.586
11.66,0.488,108.303,,0.572,73.752,2.624,108.303,0.488
12.928,0.631,119.809,,0.662,79.733,3.2,119.809,0.628
12.336,0.586,113.07,,0.632,78.252,2.943,113.07,0.586
12.45,0.561,109.625,,0.58,72.406,3.085,109.625,0.563
12.433,0.535,112.604,,0.592,74.382,3.279,112.604,0.535
13.296,0.62,117.071,,0.631,74.224,3.096,117.071,0.609
13.518,0.638,124.419,,0.665,75.768,2.922,124.419,0.626
13.687,0.658,128.909,,0.695,82.2,2.885,128.909,0.66
13.466,0.671,126.652,,0.702,81.073,3.241,126.652,0.673
12.529,0.636,117.705,,0.665,78.645,3.042,117.705,0.628
12.388,0.533,111.327,,0.576,71.889,3.079,111.327,0.534
13.357,0.631,121.669,,0.667,76.404,2.886,121.669,0.631
13.016,0.596,119.3,,0.64,77.363,2.844,119.3,0.592
14.125,0.673,124.215,,0.687,76.106,3.518,124.215,0.666
14.897,0.738,137.217,,0.731,81.972,3.324,137.217,0.735
13.888,0.711,124.054,,0.696,79.313,3.483,124.054,0.711
14.074,0.774,128.111,,0.773,81.879,3.697,128.111,0.777
