euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
8.878,0.367,83.472,6.129,0.521,69.871,1.84,83.472,0.365
8.311,0.369,74.188,,0.495,66.963,2.169,74.188,0.366
9.286,0.393,84.399,5.561,0.536,73.071,2.421,84.399,0.393
9.211,0.391,84.716,,0.54,69.548,2.004,84.716,0.389
9.329,0.392,86.12,,0.538,71.948,2.173,86.12,0.392
9.477,0.39,85.831,8.372,0.547,70.223,2.246,85.831,0.391
9.412,0.396,84.621,,0.518,66.274,2.648,84.621,0.396
8.728,0.376,78.117,5.923,0.525,69.172,2.28,78.117,0.377
8.555,0.38,78.805,,0.505,66.634,1.817,78.805,0.378
9.079,0.394,86.058,4.185,0.528,69.205,1.889,86.058,0.392
9.078,0.397,83.565,4.863,0.531,68.335,2.081,83.565,0.398
9.274,0.411,88.679,6.879,0.56,71.491,1.808,88.679,0.412
8.864,0.378,80.108,,0.532,72.633,2.252,80.108,0.378
9.152,0.394,86.846,8.099,0.557,76.114,2.274,86.846,0.391
8.716,0.398,83.157,11.62,0.542,73.719,1.995,83.157,0.398
8.635,0.404,77.824,11.572,0.512,68.197,2.085,77.824,0.403
9.247,0.403,85.467,,0.547,70.994,1.95,85.467,0.4
9.597,0.395,89.451,9.672,0.544,71.565,2.122,89.451,0.393
9.292,0.378,82.972,12.162,0.519,65.632,2.125,82.972,0.379
9.477,0.396,91.306,3.45,0.567,73.211,1.844,91.306,0.395
9.252,0.384,83.234,,0.527,67.787,2.159,83.234,0.381
8.824,0.386,82.062,5.308,0.523,69.479,1.749,82.062,0.384
7.708,0.359,68.156,,0.463,63.049,2.153,68.156,0.359
9.56,0.397,88.447,,0.554,72.724,3.199,88.447,0.396
9.2,0.383,84.906,2.001,0.53,68.4,2.122,84.906,0.384
9.218,0.371,85.059,7.129,0.537,71.655,2.048,85.059,0.371
9.506,0.369,81.976,8.18,0.503,67.064,2.274,81.976,0.369
9.649,0.367,89.424,10.102,0.54,71.39,2.198,89.424,0.368
8.763,0.379,81.404,6.622,0.511,67.765,2.101,81.404,0.38
8.155,0.369,73.384,10.445,0.487,65.474,1.798,73.384,0.363
