euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
1.012,0.01,9.194,33562403.053,0.599,81.451,0.272,9.194,0.01
0.355,0.002,3.193,33562403.053,0.116,19.408,0.091,3.193,0.002
0.317,0.002,2.886,33562403.053,0.106,18.261,0.079,2.886,0.002
0.187,0.002,1.674,33562403.053,0.064,14.747,0.051,1.674,0.002
0.191,0.002,1.718,33562403.053,0.066,14.475,0.042,1.718,0.002
0.33,0.003,2.997,33562403.053,0.11,22.031,0.083,2.997,0.003
0.098,0.002,0.889,33562403.053,0.036,12.669,0.022,0.889,0.002
0.257,0.002,2.328,33562403.053,0.087,16.937,0.066,2.328,0.002
0.204,0.002,1.872,33562403.053,0.072,16.638,0.051,1.872,0.002
0.37,0.003,3.325,33562403.053,0.12,20.076,0.092,3.325,0.003
0.267,0.001,2.41,33562403.053,0.09,16.32,0.06,2.41,0.001
0.146,0.001,1.293,33562403.053,0.05,11.143,0.041,1.293,0.002
0.287,0.001,2.604,33562403.053,0.096,16.157,0.071,2.604,0.001
0.34,0.002,3.096,33562403.053,0.113,20.236,0.094,3.096,0.002
0.136,0.002,1.261,33562403.053,0.05,12.983,0.034,1.261,0.002
0.186,0.001,1.704,33562403.053,0.065,13.844,0.051,1.704,0.001
0.211,0.002,1.947,33562403.053,0.074,15.089,0.055,1.947,0.002
0.303,0.002,2.711,33562403.053,0.1,19.945,0.085,2.711,0.002
0.366,0.002,3.287,33562403.053,0.119,19.988,0.099,3.287,0.002
0.17,0.001,1.557,33562403.053,0.06,13.218,0.044,1.557,0.001
0.303,0.001,2.731,33562403.053,0.101,18.087,0.086,2.731,0.002
0.538,0.002,4.94,33562403.053,0.168,27.285,0.132,4.94,0.002
0.255,0.002,2.318,33562403.053,0.087,17.122,0.067,2.318,0.002
0.251,0.002,2.299,33562403.053,0.086,16.601,0.067,2.299,0.002
0.226,0.002,2.048,33562403.053,0.077,15.831,0.057,2.048,0.002
0.32,0.002,2.831,33562403.053,0.104,19.001,0.089,2.831,0.002
0.2,0.002,1.804,33562403.053,0.069,14.949,0.058,1.804,0.002
0.248,0.002,2.294,33562403.053,0.086,18.169,0.067,2.294,0.002
0.237,0.001,2.119,33562403.053,0.08,14.514,0.061,2.119,0.001
0.105,0.002,0.915,33562403.053,0.037,12.371,0.024,0.915,0.002
0.301,0.003,2.793,33562403.053,0.103,20.297,0.068,2.793,0.003
0.155,0.002,1.345,33562403.053,0.053,11.927,0.043,1.345,0.002
0.286,0.002,2.521,33562403.053,0.094,16.193,0.084,2.521,0.002
0.205,0.002,1.836,33562403.053,0.07,15.418,0.06,1.836,0.002
0.345,0.014,3.2,33562403.053,0.12,28.597,0.077,3.2,0.014
0.522,0.002,4.724,33562403.053,0.162,25.844,0.141,4.724,0.002
0.295,0.001,2.699,33562403.053,0.1,18.285,0.076,2.699,0.001
0.454,0.002,4.06,33562403.053,0.142,20.975,0.114,4.06,0.002
0.289,0.002,2.678,33562403.053,0.099,19.748,0.074,2.678,0.002
0.332,0.002,2.949,33562403.053,0.108,19.258,0.09,2.949,0.002
0.119,0.002,1.061,33562403.053,0.042,13.562,0.031,1.061,0.002
0.298,0.002,2.623,33562403.053,0.097,18.473,0.087,2.623,0.002
0.395,0.002,3.574,33562403.053,0.128,21.779,0.094,3.574,0.002
