euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
1.123,0.01,9.929,,0.615,79.651,0.303,9.929,0.01
0.313,0.001,2.834,10.001,0.098,17.482,0.084,2.834,0.001
0.251,0.001,2.233,9.861,0.079,15.135,0.067,2.233,0.001
0.076,0.001,0.692,9.061,0.026,8.43,0.019,0.692,0.001
0.085,0.001,0.773,9.746,0.029,7.864,0.02,0.773,0.001
0.315,0.001,2.826,7.941,0.098,17.824,0.086,2.826,0.001
0.057,0.001,0.498,9.431,0.019,6.993,0.015,0.498,0.001
0.13,0.001,1.13,9.46,0.042,9.563,0.039,1.13,0.001
0.067,0.001,0.644,9.507,0.024,7.952,0.014,0.644,0.001
0.252,0.002,2.32,9.634,0.083,18.771,0.062,2.32,0.002
0.198,0.001,1.715,9.255,0.062,11.967,0.057,1.715,0.001
0.056,0.001,0.545,9.377,0.021,8.028,0.01,0.545,0.001
0.19,0.001,1.697,9.197,0.062,13.071,0.047,1.697,0.001
0.193,0.001,1.742,9.554,0.063,12.776,0.054,1.742,0.001
0.061,0.001,0.569,9.466,0.022,7.856,0.014,0.569,0.001
0.083,0.001,0.787,9.336,0.03,11.864,0.019,0.787,0.001
0.102,0.001,0.984,9.248,0.037,10.941,0.025,0.984,0.001
0.189,0.001,1.659,8.983,0.06,11.733,0.05,1.659,0.001
0.255,0.001,2.217,9.416,0.079,13.407,0.069,2.217,0.001
0.062,0.001,0.606,9.257,0.023,10.157,0.012,0.606,0.001
0.214,0.001,1.887,9.081,0.068,14.342,0.06,1.887,0.001
0.382,0.001,3.41,8.173,0.116,21.065,0.102,3.41,0.001
0.184,0.001,1.602,9.471,0.058,11.058,0.046,1.602,0.001
0.103,0.001,0.968,8.889,0.036,10.52,0.023,0.968,0.001
0.129,0.001,1.18,8.845,0.044,10.985,0.034,1.18,0.001
0.221,0.001,1.961,9.932,0.07,14.5,0.061,1.961,0.001
0.126,0.001,1.119,8.956,0.041,10.692,0.032,1.119,0.001
0.137,0.001,1.239,9.301,0.046,10.699,0.035,1.239,0.001
0.135,0.001,1.23,9.709,0.045,10.85,0.032,1.23,0.001
0.064,0.001,0.609,9.319,0.024,9.815,0.013,0.609,0.001
0.199,0.002,1.815,9.031,0.066,14.831,0.047,1.815,0.002
0.08,0.001,0.763,9.521,0.029,10.809,0.016,0.763,0.001
0.156,0.001,1.437,9.233,0.053,12.426,0.041,1.437,0.001
