euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
5.807,0.465,54.531,432497236.874,0.727,86.308,1.118,54.531,0.465
5.926,0.481,55.817,432497236.874,0.768,90.543,1.168,55.817,0.481
5.753,0.485,53.866,432497236.874,0.693,82.554,1.146,53.866,0.486
5.622,0.439,52.621,432497236.874,0.668,81.075,1.105,52.621,0.439
5.895,0.507,55.39,432497236.874,0.744,87.198,1.137,55.39,0.507
5.836,0.523,54.69,432497236.874,0.7,82.448,1.191,54.69,0.524
5.85,0.532,54.708,432497236.874,0.696,81.708,1.23,54.708,0.533
6.118,0.625,57.793,432497236.874,0.749,85.85,1.257,57.793,0.626
5.997,0.584,56.575,432497236.874,0.723,83.911,1.227,56.575,0.584
5.861,0.527,54.522,432497236.874,0.706,82.219,1.201,54.522,0.528
5.821,0.529,54.931,432497236.874,0.685,81.285,1.214,54.931,0.529
6.274,0.688,58.825,432497236.874,0.791,87.416,1.234,58.825,0.688
6.413,0.707,60.247,432497236.874,0.774,88.187,1.333,60.247,0.707
6.464,0.722,60.93,432497236.874,0.774,88.851,1.322,60.93,0.722
6.208,0.644,57.697,432497236.874,0.73,82.387,1.385,57.697,0.645
5.865,0.54,55.12,432497236.874,0.69,82.066,1.27,55.12,0.54
6.199,0.637,56.753,432497236.874,0.703,81.591,1.433,56.753,0.636
6.036,0.596,57.38,432497236.874,0.76,86.962,1.188,57.38,0.596
6.173,0.646,57.589,432497236.874,0.76,85.504,1.263,57.589,0.647
7.056,0.858,64.865,432497236.874,0.846,86.005,1.456,64.865,0.86
5.942,0.562,54.995,432497236.874,0.708,83.232,1.268,54.995,0.563
5.782,0.506,54.305,432497236.874,0.694,81.474,1.203,54.305,0.506
6.153,0.635,57.454,432497236.874,0.739,83.302,1.286,57.454,0.636
5.966,0.572,55.048,432497236.874,0.713,82.295,1.218,55.048,0.572
5.989,0.581,55.562,432497236.874,0.713,82.425,1.159,55.562,0.581
5.855,0.521,54.713,432497236.874,0.715,83.688,1.157,54.713,0.521
5.8,0.494,54.388,432497236.874,0.709,83.887,1.132,54.388,0.494
5.873,0.528,54.918,432497236.874,0.717,84.017,1.163,54.918,0.529
5.894,0.543,55.24,432497236.874,0.712,83.796,1.184,55.24,0.543
5.882,0.531,54.752,432497236.874,0.716,83.102,1.162,54.752,0.531
5.881,0.527,54.963,432497236.874,0.722,84.666,1.168,54.963,0.527
5.925,0.546,55.392,432497236.874,0.728,84.471,1.158,55.392,0.547
6.107,0.623,57.698,432497236.874,0.768,88.551,1.328,57.698,0.623
5.742,0.474,53.653,432497236.874,0.695,82.899,1.15,53.653,0.474
6.276,0.684,58.506,432497236.874,0.779,88.457,1.247,58.506,0.685
6.709,0.745,61.679,432497236.874,0.769,84.541,1.369,61.679,0.745
6.058,0.605,56.589,432497236.874,0.732,84.756,1.24,56.589,0.605
5.752,0.478,53.703,432497236.874,0.694,82.73,1.122,53.703,0.478
5.778,0.506,53.924,432497236.874,0.685,81.49,1.137,53.924,0.506
5.814,0.498,54.151,432497236.874,0.708,83.462,1.149,54.151,0.498
5.665,0.428,52.932,432497236.874,0.687,83.192,1.102,52.932,0.428
5.81,0.48,54.484,432497236.874,0.721,85.423,1.136,54.484,0.481
5.676,0.463,53.035,432497236.874,0.674,81.122,1.123,53.035,0.463
5.76,0.473,53.777,432497236.874,0.701,83.638,1.127,53.777,0.473
5.788,0.487,54.359,432497236.874,0.71,84.356,1.142,54.359,0.487
5.77,0.463,54.02,432497236.874,0.712,84.776,1.125,54.02,0.463
5.848,0.475,54.898,432497236.874,0.739,87.238,1.147,54.898,0.475
6.245,0.484,59.292,432497236.874,0.884,105.197,1.241,59.292,0.484
5.861,0.472,55.117,432497236.874,0.746,88.137,1.15,55.117,0.472
6.314,0.475,59.931,432497236.874,0.906,108.7,1.259,59.931,0.475
