euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.437,0.005,4.107,5.059,0.101,17.405,0.088,4.107,0.005
0.624,0.003,6.147,6.419,0.16,24.066,0.12,6.147,0.003
0.21,0.004,1.906,6.474,0.042,11.443,0.047,1.906,0.004
0.296,0.008,2.74,6.389,0.061,15.022,0.062,2.74,0.008
0.384,0.005,3.478,7.905,0.084,14.131,0.085,3.478,0.005
0.318,0.005,2.959,6.176,0.064,13.711,0.072,2.959,0.005
0.473,0.01,4.437,9.892,0.093,19.567,0.106,4.437,0.01
0.937,0.055,8.686,10.102,0.182,35.501,0.224,8.686,0.055
0.631,0.024,5.75,,0.121,25.604,0.138,5.75,0.023
0.435,0.018,4.111,4.131,0.091,20.71,0.088,4.111,0.018
1.288,0.098,12.145,9.988,0.246,42.047,0.273,12.145,0.098
0.691,0.04,6.587,8.009,0.145,32.169,0.138,6.587,0.04
1.846,0.191,17.022,,0.35,56.075,0.434,17.022,0.191
1.747,0.162,16.717,4.483,0.348,57.765,0.416,16.717,0.162
1.837,0.182,17.275,,0.342,53.937,0.401,17.275,0.182
0.87,0.047,8.537,9.938,0.179,35.098,0.154,8.537,0.047
1.736,0.146,16.29,9.6,0.32,52.502,0.364,16.29,0.144
0.799,0.055,7.516,11.186,0.165,33.316,0.166,7.516,0.054
0.834,0.051,7.925,6.358,0.168,31.298,0.163,7.925,0.051
2.58,0.288,25.009,11.313,0.478,66.958,0.479,25.009,0.287
0.597,0.024,5.566,7.966,0.12,25.522,0.124,5.566,0.024
0.606,0.026,5.663,6.574,0.12,26.041,0.141,5.663,0.026
0.978,0.054,9.51,10.911,0.194,36.603,0.169,9.51,0.054
0.918,0.061,9.157,,0.195,37.568,0.175,9.157,0.061
0.863,0.049,8.03,10.237,0.168,32.382,0.178,8.03,0.048
0.24,0.005,2.253,6.974,0.05,12.518,0.056,2.253,0.005
0.192,0.004,1.822,7.491,0.041,13.178,0.041,1.822,0.004
0.167,0.003,1.55,6.859,0.035,10.899,0.036,1.55,0.003
0.426,0.011,4.015,6.844,0.086,19.879,0.088,4.015,0.011
0.237,0.005,2.246,5.633,0.05,13.196,0.048,2.246,0.005
0.217,0.005,2.01,7.056,0.046,12.241,0.052,2.01,0.005
0.148,0.002,1.389,7.036,0.031,8.52,0.032,1.389,0.002
1.214,0.125,11.535,,0.26,48.345,0.25,11.535,0.125
0.215,0.004,1.89,6.845,0.042,12.07,0.046,1.89,0.004
1.18,0.107,10.946,2.388,0.238,42.188,0.22,10.946,0.107
2.856,0.364,27.341,5.62,0.534,70.697,0.5,27.341,0.364
1.288,0.13,12.361,,0.273,48.183,0.243,12.361,0.126
0.173,0.003,1.622,6.483,0.036,10.596,0.04,1.622,0.003
0.433,0.008,4.059,,0.086,19.344,0.083,4.059,0.008
0.198,0.004,1.782,7.269,0.04,12.246,0.059,1.782,0.004
0.365,0.012,3.326,7.755,0.078,18.89,0.082,3.326,0.012
0.316,0.004,2.931,6.388,0.07,13.984,0.068,2.931,0.004
0.305,0.006,2.823,4.2,0.061,15.869,0.069,2.823,0.006
0.248,0.006,2.234,6.479,0.051,12.595,0.061,2.234,0.006
0.216,0.004,1.917,6.233,0.044,11.755,0.059,1.917,0.004
0.31,0.004,2.861,5.603,0.068,15.666,0.067,2.861,0.004
0.457,0.003,4.437,8.268,0.11,20.302,0.083,4.437,0.003
1.501,0.005,14.925,,0.505,66.753,0.26,14.925,0.005
0.517,0.004,5.001,6.889,0.126,20.469,0.101,5.001,0.004
1.674,0.008,16.631,6.873,0.597,76.933,0.287,16.631,0.008
