euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
9.868,0.414,92.456,205717664.494,0.681,85.419,2.231,92.456,0.41
9.038,0.282,82.777,205717664.494,0.574,72.219,1.718,82.777,0.282
10.817,0.622,99.835,205717664.494,0.762,85.867,2.399,99.835,0.621
10.088,0.485,92.978,205717664.494,0.677,83.107,2.322,92.978,0.484
11.307,0.62,105.434,205717664.494,0.701,83.433,2.326,105.434,0.62
13.444,0.761,126.031,205717664.494,0.781,85.419,3.113,126.031,0.757
14.741,0.844,139.177,205717664.494,0.881,90.439,3.243,139.177,0.842
14.409,0.79,133.857,205717664.494,0.794,84.388,3.362,133.857,0.79
14.044,0.74,125.389,205717664.494,0.727,78.34,3.767,125.389,0.74
12.751,0.626,110.61,205717664.494,0.626,74.255,3.587,110.61,0.624
13.728,0.722,129.941,205717664.494,0.765,84.098,2.726,129.941,0.721
13.431,0.696,126.514,205717664.494,0.743,84.871,2.839,126.514,0.695
11.807,0.548,113.035,205717664.494,0.625,81.906,2.287,113.035,0.548
11.849,0.542,106.969,205717664.494,0.599,78.158,3.25,106.969,0.542
13.018,0.653,117.116,205717664.494,0.659,79.339,2.856,117.116,0.652
12.745,0.631,119.691,205717664.494,0.666,79.777,3.275,119.691,0.63
12.278,0.581,112.463,205717664.494,0.641,79.865,3.229,112.463,0.581
12.35,0.59,114.442,205717664.494,0.633,81.276,2.879,114.442,0.59
12.762,0.63,119.059,205717664.494,0.682,80.86,2.881,119.059,0.629
12.722,0.621,122.079,205717664.494,0.697,83.072,3.224,122.079,0.616
11.946,0.548,109.834,205717664.494,0.616,78.793,2.779,109.834,0.545
12.64,0.619,114.438,205717664.494,0.657,78.076,2.578,114.438,0.619
13.475,0.697,122.946,205717664.494,0.708,79.222,2.999,122.946,0.697
11.816,0.538,111.8,205717664.494,0.611,79.65,2.258,111.8,0.538
12.632,0.616,116.796,205717664.494,0.64,78.521,2.967,116.796,0.615
12.577,0.606,116.41,205717664.494,0.662,80.943,2.722,116.41,0.606
12.27,0.59,110.155,205717664.494,0.622,75.36,2.924,110.155,0.589
12.726,0.655,116.225,205717664.494,0.696,80.956,2.914,116.225,0.655
12.82,0.663,117.853,205717664.494,0.686,78.551,3.211,117.853,0.663
13.188,0.703,121.05,205717664.494,0.744,82.694,3.592,121.05,0.702
12.747,0.648,117.48,205717664.494,0.674,81.905,2.981,117.48,0.648
13.889,0.793,128.587,205717664.494,0.812,86.246,2.724,128.587,0.793
11.804,0.552,108.151,205717664.494,0.593,74.08,2.786,108.151,0.552
13.856,0.853,127.761,205717664.494,0.858,87.72,2.905,127.761,0.853
12.605,0.673,115.474,205717664.494,0.706,81.88,2.85,115.474,0.673
12.521,0.711,113.807,205717664.494,0.721,80.719,3.377,113.807,0.711
13.761,0.805,120.748,205717664.494,0.769,81.681,3.429,120.748,0.802
11.747,0.613,103.567,205717664.494,0.633,74.513,2.851,103.567,0.612
12.574,0.722,116.359,205717664.494,0.734,84.6,2.698,116.359,0.722
10.323,0.505,96.812,205717664.494,0.614,78.815,2.351,96.812,0.504
11.968,0.71,105.84,205717664.494,0.715,78.466,2.837,105.84,0.71
10.28,0.499,92.52,205717664.494,0.577,75.922,2.682,92.52,0.499
10.588,0.537,99.77,205717664.494,0.633,78.252,2.336,99.77,0.536
12.367,0.789,111.662,205717664.494,0.79,84.602,2.993,111.662,0.789
10.596,0.558,100.0,205717664.494,0.662,82.842,2.119,100.0,0.558
11.685,0.737,109.687,205717664.494,0.793,89.167,2.324,109.687,0.737
10.683,0.592,99.352,205717664.494,0.703,83.079,2.468,99.352,0.591
10.557,0.549,97.111,205717664.494,0.741,84.703,2.241,97.111,0.549
9.848,0.376,91.329,205717664.494,0.672,85.967,2.204,91.329,0.375
10.536,0.505,99.174,205717664.494,0.774,89.98,2.356,99.174,0.503
10.002,0.299,87.788,205717664.494,0.403,61.573,2.716,87.788,0.293
