euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
3.849,0.266,34.743,8.633,0.399,61.866,0.983,34.743,0.268
3.986,0.287,36.766,9.397,0.402,60.372,0.895,36.766,0.285
3.558,0.222,32.381,11.324,0.349,52.53,0.794,32.381,0.223
4.204,0.313,38.519,7.68,0.415,62.052,0.973,38.519,0.314
6.306,0.402,59.215,13.33,0.527,72.038,1.272,59.215,0.402
7.927,0.387,74.054,23.53,0.543,69.581,2.137,74.054,0.388
8.771,0.391,77.685,,0.569,71.846,2.073,77.685,0.392
9.044,0.394,83.528,3.906,0.594,75.286,2.116,83.528,0.395
9.431,0.434,86.552,,0.595,73.376,2.213,86.552,0.434
9.173,0.432,88.496,21.518,0.619,79.196,1.749,88.496,0.435
9.154,0.428,85.732,19.463,0.608,75.13,2.235,85.732,0.431
9.089,0.426,87.416,,0.617,76.855,2.001,87.416,0.429
8.906,0.427,79.684,24.345,0.597,71.844,2.101,79.684,0.428
9.049,0.427,83.826,,0.602,76.592,2.068,83.826,0.425
9.035,0.417,84.127,,0.597,75.304,1.834,84.127,0.42
8.982,0.422,83.296,11.503,0.58,70.583,2.175,83.296,0.415
9.084,0.421,85.497,,0.612,77.486,1.824,85.497,0.42
9.086,0.43,84.611,,0.6,76.929,2.182,84.611,0.427
9.01,0.417,88.013,,0.619,76.829,2.038,88.013,0.419
9.192,0.429,83.808,20.948,0.602,74.506,2.127,83.808,0.432
8.931,0.397,81.679,,0.586,73.591,2.222,81.679,0.399
8.915,0.41,88.046,24.368,0.621,78.744,1.924,88.046,0.409
9.021,0.404,85.997,,0.61,76.015,2.04,85.997,0.405
8.97,0.406,85.822,15.613,0.612,76.927,2.08,85.822,0.401
8.955,0.408,85.153,,0.602,76.288,1.904,85.153,0.403
9.012,0.405,81.69,17.439,0.574,70.047,2.024,81.69,0.407
8.829,0.42,84.211,,0.629,78.68,1.955,84.211,0.422
8.514,0.41,79.835,24.464,0.585,75.302,1.75,79.835,0.411
8.354,0.385,78.083,12.361,0.559,72.077,1.916,78.083,0.381
8.469,0.405,75.387,,0.552,70.876,1.995,75.387,0.395
8.583,0.398,79.141,,0.571,71.376,1.779,79.141,0.397
7.978,0.359,72.661,,0.526,68.746,2.406,72.661,0.352
8.675,0.408,81.809,,0.584,73.218,1.665,81.809,0.408
7.21,0.361,66.214,,0.512,70.576,1.514,66.214,0.357
7.767,0.378,69.079,,0.536,68.159,1.826,69.079,0.38
6.867,0.348,59.63,9.245,0.462,62.654,1.813,59.63,0.348
7.776,0.377,70.373,12.691,0.524,68.848,1.696,70.373,0.378
7.195,0.378,65.181,16.704,0.513,65.364,1.792,65.181,0.38
6.785,0.348,64.147,10.232,0.516,68.029,1.329,64.147,0.349
5.956,0.369,53.184,10.638,0.464,63.078,1.648,53.184,0.36
5.678,0.325,51.852,,0.441,63.238,1.725,51.852,0.324
5.858,0.345,54.697,11.313,0.468,67.582,1.145,54.697,0.344
5.83,0.353,50.263,14.534,0.443,60.148,1.759,50.263,0.355
5.341,0.32,47.382,,0.409,58.761,1.415,47.382,0.319
5.194,0.34,48.128,11.522,0.448,64.513,1.365,48.128,0.341
4.481,0.288,39.221,,0.375,55.171,1.491,39.221,0.282
4.22,0.288,38.495,,0.389,59.551,0.906,38.495,0.289
3.405,0.181,32.244,1.409,0.368,56.685,0.733,32.244,0.182
3.558,0.206,33.264,1.065,0.385,60.944,0.762,33.264,0.208
3.329,0.113,31.704,4.197,0.377,54.984,0.567,31.704,0.113
10.711,0.316,99.787,,0.584,74.215,2.624,99.787,0.318
