euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
10.633,0.766,96.114,281018113.669,0.749,84.126,3.039,96.114,0.767
9.294,0.606,77.954,281018113.669,0.589,72.352,2.464,77.954,0.604
7.894,0.413,69.125,281018113.669,0.495,67.008,1.72,69.125,0.413
8.836,0.549,75.578,281018113.669,0.582,71.477,2.458,75.578,0.549
8.943,0.527,81.737,281018113.669,0.592,76.368,1.891,81.737,0.527
8.061,0.433,72.668,281018113.669,0.528,69.444,1.919,72.668,0.432
7.615,0.39,67.451,281018113.669,0.485,69.334,1.987,67.451,0.39
9.885,0.682,92.122,281018113.669,0.752,87.791,2.397,92.122,0.683
10.146,0.713,86.11,281018113.669,0.682,78.207,3.769,86.11,0.71
8.829,0.526,79.174,281018113.669,0.577,75.637,2.355,79.174,0.525
8.595,0.506,77.017,281018113.669,0.6,75.647,2.469,77.017,0.507
8.154,0.459,74.218,281018113.669,0.562,74.327,1.911,74.218,0.459
9.145,0.598,79.297,281018113.669,0.625,74.913,2.67,79.297,0.598
7.155,0.358,64.617,281018113.669,0.505,70.623,1.741,64.617,0.358
8.771,0.548,80.889,281018113.669,0.629,79.715,2.268,80.889,0.548
10.271,0.757,93.778,281018113.669,0.769,85.478,2.62,93.778,0.757
8.765,0.513,81.75,281018113.669,0.612,79.362,2.025,81.75,0.514
8.159,0.447,73.543,281018113.669,0.529,71.059,1.982,73.543,0.446
8.467,0.493,76.876,281018113.669,0.589,75.649,2.136,76.876,0.493
9.081,0.569,88.08,281018113.669,0.722,88.344,1.996,88.08,0.569
8.929,0.562,82.51,281018113.669,0.648,78.811,2.116,82.51,0.561
8.879,0.557,75.073,281018113.669,0.587,72.838,2.498,75.073,0.553
8.725,0.525,77.175,281018113.669,0.619,76.139,2.536,77.175,0.524
8.879,0.53,83.761,281018113.669,0.647,81.215,1.908,83.761,0.529
8.829,0.539,81.006,281018113.669,0.648,80.595,2.209,81.006,0.539
8.201,0.458,76.525,281018113.669,0.607,80.463,1.568,76.525,0.459
8.732,0.526,80.967,281018113.669,0.66,80.155,1.761,80.967,0.526
8.578,0.519,78.312,281018113.669,0.63,78.034,1.987,78.312,0.519
9.153,0.576,80.833,281018113.669,0.665,78.715,2.696,80.833,0.575
9.727,0.683,86.754,281018113.669,0.738,80.693,2.977,86.754,0.679
