euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
5.43,0.28,50.237,,0.423,61.589,1.291,50.237,0.28
5.003,0.266,45.293,,0.396,58.256,1.421,45.293,0.262
5.803,0.322,54.263,,0.47,65.233,1.241,54.263,0.323
5.075,0.281,47.335,,0.418,61.316,1.275,47.335,0.282
5.901,0.321,54.792,,0.465,64.548,1.232,54.792,0.321
5.672,0.31,52.534,10.673,0.447,62.086,1.351,52.534,0.31
5.151,0.259,48.337,6.079,0.409,60.851,1.267,48.337,0.258
5.154,0.276,46.292,,0.422,61.99,1.237,46.292,0.276
5.377,0.296,47.299,11.014,0.412,58.844,1.762,47.299,0.289
5.767,0.329,52.119,4.451,0.444,62.341,1.303,52.119,0.329
5.483,0.311,48.636,10.133,0.433,61.426,1.314,48.636,0.312
5.283,0.298,46.665,10.694,0.419,60.685,1.266,46.665,0.299
5.09,0.297,45.446,,0.414,59.885,1.318,45.446,0.296
4.669,0.273,43.238,11.541,0.398,60.517,0.983,43.238,0.271
4.796,0.261,45.035,5.489,0.402,61.428,1.051,45.035,0.261
4.924,0.268,45.297,,0.401,61.574,1.194,45.297,0.268
5.458,0.279,48.296,9.341,0.411,59.527,1.275,48.296,0.279
5.42,0.283,49.572,12.833,0.417,59.657,1.388,49.572,0.282
5.001,0.253,44.912,,0.389,57.834,1.286,44.912,0.253
5.177,0.273,48.725,,0.43,63.533,1.313,48.725,0.274
4.641,0.229,42.503,6.096,0.372,59.303,1.022,42.503,0.229
4.729,0.242,44.09,,0.385,58.534,0.986,44.09,0.235
5.378,0.302,49.913,,0.442,64.044,1.256,49.913,0.3
5.348,0.27,49.15,9.974,0.414,60.114,1.141,49.15,0.27
4.948,0.25,45.72,,0.404,60.839,1.193,45.72,0.249
5.634,0.329,51.261,5.07,0.468,65.997,1.284,51.261,0.33
4.814,0.232,41.493,,0.368,56.315,1.488,41.493,0.232
4.644,0.234,42.384,,0.375,55.875,1.145,42.384,0.234
5.205,0.273,48.269,9.914,0.425,64.053,1.316,48.269,0.27
4.778,0.259,42.556,7.316,0.383,57.797,1.381,42.556,0.25
