euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
8.972,0.922,81.108,1283986924.236,0.879,89.011,2.221,81.108,0.923
8.569,0.874,76.36,1283986924.236,0.835,90.178,2.001,76.36,0.874
6.548,0.508,60.0,1283986924.236,0.628,83.009,1.586,60.0,0.508
6.482,0.511,56.224,1283986924.236,0.577,74.878,1.634,56.224,0.511
6.549,0.51,61.418,1283986924.236,0.626,81.983,1.45,61.418,0.509
7.259,0.595,64.397,1283986924.236,0.661,82.147,1.93,64.397,0.596
7.133,0.613,64.876,1283986924.236,0.677,81.858,1.767,64.876,0.611
8.365,0.813,75.342,1283986924.236,0.828,91.547,2.099,75.342,0.813
8.391,0.792,76.598,1283986924.236,0.776,85.867,2.44,76.598,0.792
7.01,0.565,62.282,1283986924.236,0.628,79.446,1.775,62.282,0.565
6.837,0.582,61.722,1283986924.236,0.656,81.402,1.909,61.722,0.582
6.703,0.535,61.954,1283986924.236,0.635,80.067,1.592,61.954,0.531
7.309,0.642,64.865,1283986924.236,0.703,83.529,1.546,64.865,0.641
6.16,0.473,54.633,1283986924.236,0.56,74.694,1.535,54.633,0.472
7.752,0.777,73.114,1283986924.236,0.79,87.362,1.636,73.114,0.778
7.908,0.756,69.06,1283986924.236,0.744,84.2,2.05,69.06,0.755
6.914,0.58,62.886,1283986924.236,0.673,83.259,1.738,62.886,0.58
7.595,0.664,71.535,1283986924.236,0.787,88.651,1.587,71.535,0.663
7.054,0.585,61.079,1283986924.236,0.637,77.412,1.677,61.079,0.583
7.128,0.605,65.494,1283986924.236,0.688,82.587,1.43,65.494,0.605
7.45,0.617,66.761,1283986924.236,0.673,82.609,1.722,66.761,0.617
8.199,0.813,75.408,1283986924.236,0.842,89.442,2.154,75.408,0.813
8.949,0.882,79.684,1283986924.236,0.857,88.009,2.223,79.684,0.883
6.897,0.572,65.378,1283986924.236,0.697,87.232,1.41,65.378,0.572
6.71,0.558,60.602,1283986924.236,0.678,81.001,1.595,60.602,0.555
7.385,0.637,68.09,1283986924.236,0.763,89.311,1.623,68.09,0.635
7.103,0.616,66.474,1283986924.236,0.717,83.189,1.458,66.474,0.615
6.723,0.586,62.924,1283986924.236,0.735,88.837,1.819,62.924,0.586
8.119,0.768,75.645,1283986924.236,0.832,88.186,1.802,75.645,0.769
8.999,0.928,80.326,1283986924.236,0.933,90.999,2.537,80.326,0.926
