euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
4.976,0.366,45.758,,0.516,67.636,1.197,45.758,0.365
4.574,0.335,41.471,,0.48,65.558,0.935,41.471,0.333
5.176,0.42,47.538,11.077,0.565,73.38,1.075,47.538,0.421
4.807,0.4,43.991,,0.528,69.627,1.219,43.991,0.397
4.744,0.38,44.219,5.992,0.53,70.578,1.282,44.219,0.379
5.177,0.407,47.227,10.434,0.558,73.461,1.359,47.227,0.407
4.643,0.377,43.594,,0.523,68.944,1.052,43.594,0.376
4.759,0.356,41.466,,0.493,66.24,1.172,41.466,0.355
5.014,0.363,46.783,8.573,0.521,68.093,1.093,46.783,0.359
5.228,0.419,47.23,,0.54,70.433,1.185,47.23,0.419
4.478,0.373,41.506,11.237,0.513,70.142,1.103,41.506,0.373
4.543,0.367,41.837,10.009,0.5,66.258,0.894,41.837,0.367
4.756,0.392,44.349,5.857,0.554,75.705,1.129,44.349,0.393
4.477,0.378,41.506,,0.516,68.561,0.982,41.506,0.378
3.801,0.298,36.104,7.559,0.446,66.007,0.748,36.104,0.298
4.433,0.339,40.199,,0.478,64.885,1.034,40.199,0.336
4.802,0.392,42.513,,0.513,66.819,1.204,42.513,0.392
5.109,0.421,45.191,3.656,0.537,68.653,1.234,45.191,0.42
5.065,0.428,46.613,,0.561,73.752,1.225,46.613,0.427
4.812,0.391,44.729,,0.528,70.978,1.165,44.729,0.391
5.143,0.389,46.613,7.86,0.542,72.226,1.322,46.613,0.389
4.623,0.359,42.886,9.381,0.507,67.829,1.462,42.886,0.358
5.043,0.363,44.713,,0.497,65.95,1.28,44.713,0.364
4.842,0.389,45.156,,0.534,70.707,0.996,45.156,0.389
4.537,0.378,41.496,,0.511,67.043,1.091,41.496,0.376
5.026,0.427,46.512,8.459,0.566,70.934,1.038,46.512,0.426
4.788,0.382,42.724,7.727,0.503,66.483,1.323,42.724,0.381
4.042,0.35,34.776,,0.456,63.178,1.276,34.776,0.348
4.987,0.37,44.136,6.432,0.498,67.385,1.303,44.136,0.37
4.8,0.342,43.852,6.545,0.496,66.758,1.156,43.852,0.331
