euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
1.16,0.249,9.954,33971136.313,0.91,112.261,0.314,9.954,0.247
0.297,0.002,2.615,33971136.313,0.112,21.236,0.082,2.615,0.002
0.676,0.003,5.858,33971136.313,0.22,33.704,0.172,5.858,0.003
0.159,0.002,1.401,33971136.313,0.064,17.103,0.04,1.401,0.002
0.143,0.002,1.303,33971136.313,0.06,16.237,0.032,1.303,0.002
0.388,0.002,3.392,33971136.313,0.14,23.127,0.106,3.392,0.002
0.202,0.002,1.828,33971136.313,0.081,17.663,0.052,1.828,0.002
0.339,0.002,3.031,33971136.313,0.127,23.596,0.092,3.031,0.002
0.263,0.002,2.328,33971136.313,0.101,18.973,0.072,2.328,0.002
0.547,0.002,4.691,33971136.313,0.184,27.837,0.152,4.691,0.002
0.231,0.002,2.018,33971136.313,0.089,17.661,0.061,2.018,0.002
0.247,0.002,2.191,33971136.313,0.096,19.102,0.059,2.191,0.002
0.242,0.002,2.169,33971136.313,0.095,19.46,0.059,2.169,0.002
0.517,0.002,4.584,33971136.313,0.181,28.186,0.139,4.584,0.002
0.501,0.002,4.389,33971136.313,0.174,27.411,0.131,4.389,0.002
0.33,0.001,2.957,33971136.313,0.125,22.137,0.082,2.957,0.001
0.169,0.002,1.481,33971136.313,0.067,14.71,0.043,1.481,0.002
0.563,0.003,5.003,33971136.313,0.194,32.384,0.155,5.003,0.003
0.361,0.002,3.157,33971136.313,0.132,21.687,0.086,3.157,0.002
0.575,0.002,4.917,33971136.313,0.191,27.287,0.155,4.917,0.002
0.553,0.002,4.873,33971136.313,0.19,29.82,0.143,4.873,0.002
0.483,0.002,4.248,33971136.313,0.17,27.341,0.131,4.248,0.002
0.525,0.002,4.566,33971136.313,0.18,28.703,0.142,4.566,0.002
0.296,0.002,2.669,33971136.313,0.114,21.297,0.072,2.669,0.002
0.405,0.002,3.625,33971136.313,0.149,25.058,0.102,3.625,0.002
0.382,0.003,3.401,33971136.313,0.141,25.142,0.098,3.401,0.003
0.26,0.002,2.312,33971136.313,0.1,19.045,0.061,2.312,0.002
0.266,0.002,2.35,33971136.313,0.102,19.966,0.067,2.35,0.002
0.654,0.002,5.77,33971136.313,0.218,34.447,0.169,5.77,0.002
0.253,0.002,2.228,33971136.313,0.097,19.241,0.063,2.228,0.002
0.515,0.003,4.436,33971136.313,0.177,28.841,0.14,4.436,0.003
0.325,0.003,2.859,33971136.313,0.121,22.5,0.089,2.859,0.003
0.255,0.003,2.253,33971136.313,0.098,17.923,0.058,2.253,0.003
0.171,0.002,1.532,33971136.313,0.069,15.602,0.043,1.532,0.002
0.517,0.008,4.576,33971136.313,0.183,32.198,0.146,4.576,0.008
0.668,0.002,5.779,33971136.313,0.217,31.591,0.175,5.779,0.002
0.204,0.002,1.8,33971136.313,0.08,16.85,0.049,1.8,0.002
0.332,0.002,2.972,33971136.313,0.125,22.201,0.077,2.972,0.002
0.678,0.002,5.959,33971136.313,0.223,33.224,0.171,5.959,0.002
0.503,0.002,4.398,33971136.313,0.175,28.037,0.131,4.398,0.002
0.25,0.002,2.206,33971136.313,0.096,19.555,0.069,2.206,0.002
0.11,0.002,1.042,33971136.313,0.048,14.915,0.029,1.042,0.002
0.607,0.002,5.221,33971136.313,0.201,31.531,0.17,5.221,0.002
0.251,0.003,2.206,33971136.313,0.096,18.684,0.07,2.206,0.003
0.657,0.003,5.683,33971136.313,0.215,33.626,0.168,5.683,0.003
0.38,0.002,3.38,33971136.313,0.14,24.042,0.094,3.38,0.002
0.507,0.002,4.437,33971136.313,0.176,28.825,0.133,4.437,0.002
0.345,0.005,3.069,33971136.313,0.13,25.532,0.084,3.069,0.005
0.416,0.003,3.711,33971136.313,0.151,24.283,0.101,3.711,0.003
0.511,0.003,4.48,33971136.313,0.177,28.368,0.135,4.48,0.003
0.757,0.003,6.441,33971136.313,0.237,34.196,0.206,6.441,0.003
0.637,0.003,5.575,33971136.313,0.212,33.653,0.169,5.575,0.003
0.612,0.003,5.41,33971136.313,0.207,35.216,0.17,5.41,0.003
0.496,0.007,4.49,33971136.313,0.18,33.952,0.138,4.49,0.007
0.301,0.003,2.63,33971136.313,0.113,23.083,0.087,2.63,0.003
0.08,0.002,0.724,33971136.313,0.034,13.484,0.02,0.724,0.002
0.464,0.003,3.994,33971136.313,0.161,25.568,0.119,3.994,0.003
0.163,0.002,1.461,33971136.313,0.066,17.223,0.037,1.461,0.002
0.491,0.002,4.312,33971136.313,0.172,28.185,0.144,4.312,0.002
0.098,0.002,0.869,33971136.313,0.041,13.856,0.028,0.869,0.002
0.248,0.002,2.208,33971136.313,0.097,21.932,0.067,2.208,0.002
0.318,0.002,2.752,33971136.313,0.117,21.363,0.081,2.752,0.002
0.613,0.002,5.354,33971136.313,0.205,30.583,0.156,5.354,0.002
0.353,0.002,3.092,33971136.313,0.13,21.86,0.092,3.092,0.002
0.092,0.002,0.86,33971136.313,0.04,14.101,0.022,0.86,0.002
0.35,0.003,3.075,33971136.313,0.13,24.953,0.093,3.075,0.003
0.681,0.002,5.958,33971136.313,0.223,32.662,0.183,5.958,0.002
0.423,0.002,3.689,33971136.313,0.151,24.307,0.104,3.689,0.002
0.289,0.002,2.505,33971136.313,0.108,19.218,0.078,2.505,0.002
0.341,0.002,2.995,33971136.313,0.126,21.601,0.085,2.995,0.002
0.311,0.002,2.696,33971136.313,0.115,20.035,0.082,2.696,0.002
0.69,0.003,6.043,33971136.313,0.225,33.155,0.177,6.043,0.003
0.129,0.002,1.169,33971136.313,0.054,13.198,0.034,1.169,0.002
0.277,0.002,2.453,33971136.313,0.106,20.162,0.066,2.453,0.002
0.103,0.002,0.924,33971136.313,0.045,14.884,0.027,0.924,0.002
0.116,0.002,1.041,33971136.313,0.051,13.738,0.03,1.041,0.002
0.119,0.002,1.047,33971136.313,0.052,14.474,0.031,1.047,0.002
0.251,0.002,2.164,33971136.313,0.115,21.045,0.073,2.164,0.002
0.081,0.002,0.75,33971136.313,0.036,13.939,0.017,0.75,0.002
0.705,0.005,6.062,33971136.313,0.408,55.592,0.188,6.062,0.005
1.087,0.061,9.335,33971136.313,0.808,101.343,0.292,9.335,0.061
1.145,0.178,9.818,33971136.313,0.886,108.057,0.314,9.818,0.178
1.023,0.039,8.759,33971136.313,0.721,91.218,0.28,8.759,0.038
1.201,0.707,10.325,33971136.313,0.975,114.985,0.331,10.325,0.707
1.22,1.047,10.491,33971136.313,1.009,116.473,0.323,10.491,1.047
0.961,0.018,8.249,33971136.313,0.653,83.052,0.264,8.249,0.018
1.191,0.543,10.309,33971136.313,0.973,119.141,0.322,10.309,0.539
1.22,1.059,10.463,33971136.313,1.003,115.569,0.326,10.463,1.058
0.686,0.006,5.892,33971136.313,0.393,54.011,0.19,5.892,0.006
1.096,0.079,9.4,33971136.313,0.817,102.191,0.3,9.4,0.078
