euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.727,0.074,6.488,10.517,0.738,91.269,0.167,6.488,0.075
0.119,0.002,1.082,9.485,0.067,13.989,0.027,1.082,0.002
0.148,0.003,1.382,9.422,0.099,19.767,0.037,1.382,0.003
0.228,0.001,2.05,9.853,0.119,20.204,0.055,2.05,0.001
0.189,0.001,1.699,9.762,0.101,16.866,0.044,1.699,0.001
0.099,0.002,0.868,9.279,0.054,10.79,0.024,0.868,0.002
0.177,0.001,1.586,9.154,0.094,14.002,0.041,1.586,0.001
0.18,0.001,1.623,9.838,0.097,15.954,0.041,1.623,0.001
0.133,0.001,1.207,9.707,0.074,12.173,0.031,1.207,0.001
0.237,0.001,2.161,9.667,0.124,18.427,0.058,2.161,0.001
0.151,0.001,1.351,9.639,0.082,13.326,0.034,1.351,0.001
0.257,0.001,2.311,9.808,0.132,19.723,0.063,2.311,0.001
0.213,0.001,1.861,9.743,0.109,15.585,0.054,1.861,0.001
0.064,0.002,0.593,9.354,0.038,10.553,0.013,0.593,0.002
0.086,0.002,0.787,9.424,0.05,11.455,0.021,0.787,0.002
0.104,0.001,0.968,9.439,0.06,12.095,0.028,0.968,0.001
0.149,0.001,1.367,9.73,0.083,14.464,0.035,1.367,0.001
0.289,0.001,2.59,10.115,0.145,20.378,0.07,2.59,0.001
0.098,0.001,0.872,9.447,0.054,10.103,0.025,0.872,0.001
0.094,0.002,0.832,9.488,0.052,11.958,0.022,0.832,0.002
0.201,0.001,1.798,9.513,0.106,16.663,0.051,1.798,0.001
0.172,0.001,1.491,9.503,0.089,15.316,0.042,1.491,0.001
0.16,0.001,1.435,9.419,0.086,14.61,0.04,1.435,0.001
0.193,0.001,1.699,9.451,0.1,14.439,0.046,1.699,0.001
0.074,0.002,0.684,9.359,0.044,12.214,0.019,0.684,0.002
0.057,0.002,0.529,9.351,0.034,10.213,0.012,0.529,0.002
0.181,0.001,1.668,9.31,0.099,17.166,0.044,1.668,0.001
0.275,0.001,2.498,10.061,0.141,20.313,0.063,2.498,0.001
0.175,0.001,1.549,9.516,0.092,14.787,0.042,1.549,0.001
0.236,0.001,2.094,9.335,0.121,18.209,0.058,2.094,0.001
0.186,0.001,1.702,9.581,0.101,17.205,0.042,1.702,0.001
0.187,0.001,1.714,9.762,0.101,17.213,0.048,1.714,0.001
0.386,0.001,3.452,10.63,0.185,25.578,0.096,3.452,0.001
0.231,0.001,2.033,9.748,0.118,16.023,0.057,2.033,0.001
0.115,0.001,1.054,9.428,0.065,12.444,0.029,1.054,0.001
0.294,0.001,2.612,9.585,0.146,20.513,0.075,2.612,0.001
0.282,0.001,2.528,9.964,0.142,21.02,0.068,2.528,0.001
0.071,0.002,0.649,9.399,0.044,11.679,0.018,0.649,0.002
0.093,0.001,0.827,9.378,0.052,11.648,0.024,0.827,0.001
0.172,0.001,1.615,9.353,0.096,17.23,0.04,1.615,0.001
0.052,0.002,0.488,9.363,0.032,10.348,0.009,0.488,0.002
0.049,0.002,0.474,9.381,0.031,9.054,0.01,0.474,0.002
0.082,0.001,0.745,9.493,0.047,12.376,0.02,0.745,0.002
0.088,0.002,0.752,9.381,0.051,11.782,0.022,0.752,0.002
0.156,0.001,1.377,9.589,0.083,13.771,0.039,1.377,0.001
0.053,0.002,0.499,9.39,0.032,9.136,0.011,0.499,0.002
0.052,0.002,0.511,9.294,0.033,9.044,0.009,0.511,0.002
0.057,0.002,0.553,9.439,0.037,12.487,0.012,0.553,0.002
0.114,0.001,0.993,9.533,0.061,12.179,0.026,0.993,0.001
0.129,0.002,1.179,9.639,0.072,13.991,0.031,1.179,0.002
0.221,0.001,1.969,9.441,0.114,16.954,0.057,1.969,0.001
0.209,0.001,1.851,9.683,0.109,16.029,0.054,1.851,0.001
0.196,0.001,1.733,9.465,0.102,15.375,0.049,1.733,0.001
0.128,0.001,1.174,9.436,0.072,14.117,0.029,1.174,0.001
0.27,0.001,2.401,9.688,0.136,19.453,0.069,2.401,0.001
0.264,0.001,2.369,9.155,0.135,18.856,0.061,2.369,0.001
0.248,0.001,2.234,9.381,0.128,19.727,0.058,2.234,0.001
0.29,0.001,2.562,10.009,0.144,19.912,0.071,2.562,0.001
0.294,0.001,2.661,10.168,0.149,21.031,0.07,2.661,0.001
0.187,0.001,1.671,9.675,0.099,15.379,0.044,1.671,0.001
0.26,0.001,2.285,10.095,0.131,18.712,0.06,2.285,0.001
0.301,0.001,2.656,10.044,0.148,20.05,0.076,2.656,0.001
0.167,0.001,1.5,9.417,0.09,15.08,0.04,1.5,0.001
0.132,0.001,1.169,9.417,0.071,12.999,0.032,1.169,0.001
0.098,0.001,0.815,9.445,0.051,9.255,0.025,0.815,0.001
0.106,0.002,0.933,9.533,0.058,12.04,0.027,0.933,0.002
0.228,0.001,2.078,9.646,0.12,17.665,0.057,2.078,0.001
0.117,0.001,1.074,9.43,0.066,12.775,0.025,1.074,0.001
0.174,0.001,1.562,9.696,0.093,15.226,0.041,1.562,0.001
0.116,0.001,1.067,9.46,0.066,12.815,0.028,1.067,0.001
0.21,0.001,1.866,9.685,0.109,15.454,0.05,1.866,0.001
0.058,0.002,0.545,9.437,0.036,11.131,0.012,0.545,0.002
0.297,0.004,2.638,10.678,0.209,31.43,0.067,2.638,0.004
0.089,0.002,0.79,9.457,0.054,12.693,0.021,0.79,0.002
0.13,0.003,1.188,9.506,0.084,14.973,0.032,1.188,0.003
0.215,0.003,1.937,9.594,0.145,22.175,0.048,1.937,0.003
0.069,0.001,0.643,9.453,0.041,10.831,0.014,0.643,0.001
0.093,0.002,0.788,9.38,0.054,10.785,0.027,0.788,0.002
0.291,0.004,2.575,9.665,0.202,29.545,0.071,2.575,0.004
0.749,0.097,6.692,10.583,0.779,96.331,0.178,6.692,0.098
0.846,0.896,7.609,14.668,0.993,114.664,0.198,7.609,0.893
0.689,0.044,6.153,12.251,0.675,84.171,0.163,6.153,0.045
0.804,0.35,7.223,12.561,0.899,109.363,0.197,7.223,0.351
0.817,0.478,7.294,12.007,0.915,108.466,0.201,7.294,0.486
0.856,1.096,7.679,13.946,1.011,115.707,0.208,7.679,1.1
0.761,0.121,6.865,12.789,0.816,102.561,0.18,6.865,0.123
0.78,0.187,7.006,11.289,0.847,103.839,0.186,7.006,0.189
0.858,1.139,7.665,13.582,1.009,113.185,0.198,7.665,1.134
0.797,0.276,7.181,11.232,0.888,107.784,0.188,7.181,0.277
0.698,0.05,6.274,12.163,0.698,90.412,0.167,6.274,0.051
