euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
1.405,0.004,13.84,,0.423,57.249,0.231,13.84,0.004
1.716,0.006,16.852,,0.567,74.373,0.287,16.852,0.006
0.871,0.003,8.605,,0.227,33.403,0.146,8.605,0.003
1.149,0.003,11.325,,0.321,44.153,0.191,11.325,0.003
1.059,0.004,10.392,,0.287,39.147,0.178,10.392,0.004
0.567,0.003,5.662,,0.138,23.068,0.097,5.662,0.003
0.741,0.003,7.343,,0.187,28.547,0.129,7.343,0.003
0.715,0.003,7.163,,0.181,28.974,0.115,7.163,0.003
0.796,0.003,7.933,,0.205,31.961,0.136,7.933,0.003
0.615,0.003,6.047,,0.149,24.066,0.109,6.047,0.003
0.654,0.003,6.458,,0.161,25.017,0.107,6.458,0.003
0.622,0.003,6.225,,0.154,25.845,0.104,6.225,0.003
0.543,0.003,5.432,,0.132,22.842,0.102,5.432,0.003
0.559,0.004,5.567,,0.135,23.451,0.093,5.567,0.003
0.466,0.003,4.582,,0.109,19.66,0.075,4.582,0.003
0.761,0.003,7.534,,0.192,28.71,0.134,7.534,0.003
0.493,0.003,4.867,,0.116,20.637,0.084,4.867,0.003
0.707,0.003,6.991,,0.176,27.199,0.118,6.991,0.003
0.558,0.004,5.559,,0.135,22.762,0.094,5.559,0.004
0.6,0.004,5.923,,0.145,23.755,0.106,5.923,0.004
0.717,0.003,7.136,,0.181,27.77,0.124,7.136,0.003
0.776,0.003,7.696,,0.198,29.807,0.129,7.696,0.003
0.719,0.003,7.156,,0.181,29.332,0.114,7.156,0.003
0.709,0.003,7.066,,0.179,29.088,0.117,7.066,0.003
0.579,0.003,5.743,,0.14,22.873,0.104,5.743,0.003
0.848,0.003,8.398,,0.22,32.041,0.141,8.398,0.003
0.944,0.003,9.398,,0.252,37.012,0.161,9.398,0.003
0.814,0.003,8.126,,0.211,32.383,0.136,8.126,0.003
0.684,0.003,6.811,,0.171,26.432,0.113,6.811,0.003
0.834,0.003,8.238,,0.215,31.243,0.137,8.238,0.003
0.833,0.004,8.304,,0.217,33.462,0.136,8.304,0.004
0.721,0.003,7.144,,0.181,27.251,0.126,7.144,0.003
0.694,0.003,6.963,,0.176,27.331,0.115,6.963,0.003
1.119,0.003,11.02,,0.31,42.843,0.188,11.02,0.003
0.503,0.004,5.031,,0.121,22.408,0.086,5.031,0.004
1.056,0.016,10.41,,0.286,43.733,0.19,10.41,0.016
0.413,0.003,4.056,,0.095,16.37,0.08,4.056,0.003
0.967,0.003,9.576,,0.259,37.087,0.161,9.576,0.003
0.65,0.003,6.527,,0.163,26.936,0.103,6.527,0.003
0.976,0.003,9.653,,0.261,37.697,0.162,9.653,0.003
1.06,0.003,10.483,,0.29,41.157,0.177,10.483,0.003
1.355,0.004,13.303,,0.399,53.172,0.231,13.303,0.004
0.849,0.003,8.441,,0.221,33.334,0.135,8.441,0.003
0.994,0.003,9.838,,0.267,38.862,0.168,9.838,0.003
1.242,0.004,12.222,,0.355,48.55,0.205,12.222,0.004
1.349,0.004,13.273,,0.398,53.294,0.224,13.273,0.003
1.576,0.004,15.462,,0.497,65.157,0.265,15.462,0.004
2.087,0.019,20.465,,0.783,101.749,0.357,20.465,0.019
2.142,0.023,21.001,,0.821,106.066,0.364,21.001,0.023
2.362,0.646,23.108,,0.984,121.385,0.394,23.108,0.645
