euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.432,0.003,4.162,8.024,0.133,18.8,0.085,4.162,0.003
1.196,0.004,11.864,,0.503,65.642,0.226,11.864,0.004
0.103,0.002,0.971,7.155,0.027,6.841,0.02,0.971,0.002
0.285,0.002,2.735,6.483,0.083,13.634,0.061,2.735,0.002
0.408,0.001,3.908,7.272,0.124,16.353,0.078,3.908,0.001
0.514,0.002,5.036,6.571,0.125,17.778,0.096,5.036,0.002
0.525,0.002,5.175,6.827,0.128,19.221,0.097,5.175,0.002
0.547,0.007,5.099,6.251,0.128,21.999,0.111,5.099,0.007
1.01,0.007,9.742,13.685,0.216,30.048,0.179,9.742,0.007
0.674,0.007,6.459,5.972,0.155,23.83,0.126,6.459,0.007
0.427,0.009,4.099,6.962,0.106,19.229,0.092,4.099,0.009
0.535,0.009,4.891,7.888,0.123,21.179,0.116,4.891,0.009
0.788,0.029,7.247,6.461,0.178,30.69,0.178,7.247,0.029
1.182,0.041,11.125,8.205,0.251,42.009,0.284,11.125,0.041
0.679,0.022,6.298,4.059,0.156,29.357,0.151,6.298,0.022
1.009,0.011,9.719,,0.217,32.122,0.189,9.719,0.011
0.788,0.021,7.27,6.05,0.175,29.139,0.158,7.27,0.02
0.331,0.006,3.059,7.059,0.08,15.815,0.077,3.059,0.006
0.472,0.009,4.336,8.162,0.111,20.501,0.111,4.336,0.009
0.481,0.02,4.48,4.476,0.118,22.992,0.097,4.48,0.02
0.316,0.006,2.96,7.779,0.079,14.852,0.062,2.96,0.006
0.361,0.006,3.406,8.759,0.089,16.636,0.071,3.406,0.006
0.268,0.003,2.544,6.504,0.067,12.919,0.053,2.544,0.003
0.29,0.006,2.712,6.164,0.073,15.532,0.065,2.712,0.005
0.144,0.003,1.382,7.071,0.039,10.61,0.03,1.382,0.003
0.489,0.003,4.786,7.785,0.119,18.804,0.091,4.786,0.003
0.108,0.002,1.006,7.253,0.029,7.203,0.023,1.006,0.002
0.214,0.001,2.025,6.823,0.06,9.954,0.044,2.025,0.001
0.711,0.003,6.991,7.085,0.165,23.284,0.129,6.991,0.003
0.246,0.002,2.357,7.059,0.071,12.771,0.05,2.357,0.002
0.123,0.002,1.162,7.046,0.032,8.391,0.027,1.162,0.002
0.234,0.001,2.269,6.796,0.06,9.974,0.043,2.269,0.001
0.365,0.021,3.473,6.576,0.1,22.749,0.081,3.473,0.021
0.227,0.003,2.158,7.771,0.058,10.563,0.042,2.158,0.003
0.307,0.006,2.97,6.905,0.09,17.702,0.064,2.97,0.006
0.915,0.139,8.452,,0.264,50.762,0.215,8.452,0.138
0.341,0.017,3.32,6.295,0.092,20.173,0.073,3.32,0.016
0.109,0.001,1.002,6.702,0.028,6.854,0.022,1.002,0.001
0.218,0.003,1.956,7.263,0.053,11.196,0.05,1.956,0.003
0.47,0.002,4.639,8.293,0.15,20.742,0.091,4.639,0.001
0.559,0.003,5.484,6.766,0.183,24.627,0.114,5.484,0.003
0.372,0.002,3.567,7.499,0.112,14.184,0.075,3.567,0.002
0.11,0.002,0.976,7.3,0.027,7.309,0.025,0.976,0.002
0.434,0.003,4.261,6.338,0.136,20.263,0.086,4.261,0.003
0.153,0.001,1.413,7.313,0.041,7.76,0.035,1.413,0.001
0.757,0.002,7.432,4.881,0.265,33.529,0.145,7.432,0.002
0.904,0.002,8.922,8.493,0.336,43.863,0.164,8.922,0.002
1.675,0.094,16.608,7.84,0.882,111.125,0.307,16.608,0.094
0.517,0.002,5.081,7.555,0.167,23.479,0.093,5.081,0.002
1.66,0.084,16.417,10.754,0.863,108.076,0.303,16.417,0.084
