euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
8.32,0.474,75.618,,0.867,101.753,1.934,75.618,0.474
8.227,0.46,75.065,,0.848,99.953,1.898,75.065,0.46
8.061,0.495,73.843,,0.8,94.463,1.83,73.843,0.495
7.896,0.444,72.386,,0.772,92.063,1.803,72.386,0.443
8.128,0.558,74.683,,0.796,92.605,1.865,74.683,0.558
8.232,0.608,75.525,,0.788,90.744,1.866,75.525,0.607
7.715,0.467,70.733,,0.701,87.816,1.879,70.733,0.466
8.441,0.665,77.013,,0.791,90.515,1.848,77.013,0.665
9.426,0.889,86.806,,0.904,93.162,2.09,86.806,0.889
8.874,0.74,81.061,,0.787,86.55,2.035,81.061,0.74
7.806,0.511,72.567,,0.691,86.199,1.849,72.567,0.51
7.821,0.517,70.86,,0.657,82.655,1.753,70.86,0.517
7.623,0.456,69.849,,0.557,74.924,1.571,69.849,0.456
9.092,0.766,83.81,,0.827,91.292,2.179,83.81,0.766
9.318,0.855,85.233,,0.883,93.1,2.073,85.233,0.854
8.564,0.689,78.288,,0.78,89.633,2.125,78.288,0.689
8.049,0.554,74.332,,0.678,84.711,1.647,74.332,0.553
8.082,0.573,74.36,,0.732,88.24,1.925,74.36,0.573
8.59,0.707,78.586,,0.811,91.835,2.049,78.586,0.707
8.817,0.757,80.147,,0.829,88.739,2.185,80.147,0.757
7.915,0.534,72.868,,0.692,86.086,1.567,72.868,0.534
7.921,0.535,72.499,,0.712,87.561,1.844,72.499,0.535
8.714,0.733,80.157,,0.835,92.076,1.801,80.157,0.733
8.622,0.724,78.479,,0.822,90.693,1.955,78.479,0.724
8.166,0.591,73.322,,0.755,88.171,1.922,73.322,0.591
8.12,0.58,74.596,,0.769,89.728,1.73,74.596,0.58
7.649,0.413,70.312,,0.721,89.163,1.758,70.312,0.413
8.169,0.576,74.929,,0.802,91.95,1.819,74.929,0.576
7.86,0.488,71.38,,0.735,88.678,1.864,71.38,0.488
8.222,0.598,75.617,,0.803,92.84,1.815,75.617,0.598
8.071,0.549,74.153,,0.775,91.321,1.795,74.153,0.549
8.511,0.696,78.333,,0.849,94.843,1.971,78.333,0.696
8.312,0.63,76.564,,0.809,92.369,1.763,76.564,0.63
8.038,0.513,73.685,,0.785,92.243,1.82,73.685,0.513
7.791,0.439,71.329,,0.747,89.79,1.807,71.329,0.439
7.913,0.474,72.514,,0.765,90.461,1.794,72.514,0.474
8.219,0.586,75.57,,0.813,93.356,1.895,75.57,0.585
7.983,0.508,73.521,,0.775,90.607,1.808,73.521,0.507
7.926,0.476,72.641,,0.769,92.48,1.812,72.641,0.476
7.957,0.456,72.744,,0.782,93.581,1.836,72.744,0.456
8.256,0.598,76.078,,0.824,94.071,1.861,76.078,0.597
8.005,0.483,73.339,,0.788,92.933,1.842,73.339,0.482
7.796,0.43,71.503,,0.751,90.632,1.768,71.503,0.429
8.156,0.562,74.917,,0.802,92.706,1.836,74.917,0.562
7.733,0.423,71.045,,0.738,89.109,1.726,71.045,0.423
8.055,0.49,73.727,,0.8,94.746,1.856,73.727,0.49
8.077,0.469,73.913,,0.811,95.965,1.856,73.913,0.468
8.323,0.476,75.58,,0.866,102.136,1.944,75.58,0.475
8.382,0.46,76.071,,0.882,104.147,1.947,76.071,0.459
8.502,0.469,76.857,,0.906,106.53,1.981,76.857,0.469
9.534,0.657,87.94,,0.715,83.708,1.928,87.94,0.654
