euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
1.412,0.01,13.594,6.325,0.344,45.858,0.28,13.594,0.01
1.264,0.016,11.99,5.537,0.291,40.603,0.246,11.99,0.016
0.651,0.012,5.999,6.872,0.125,22.956,0.151,5.999,0.012
0.557,0.011,5.08,6.912,0.104,18.806,0.121,5.08,0.011
0.283,0.005,2.612,7.196,0.05,10.686,0.075,2.612,0.005
0.665,0.021,6.08,5.661,0.11,24.076,0.154,6.08,0.021
1.482,0.111,13.622,6.059,0.244,45.447,0.365,13.622,0.111
1.539,0.08,14.196,7.81,0.243,45.353,0.335,14.196,0.08
2.665,0.221,24.602,10.114,0.396,61.186,0.603,24.602,0.221
2.651,0.175,25.244,9.58,0.385,56.47,0.532,25.244,0.175
2.284,0.177,20.572,,0.337,51.284,0.59,20.572,0.178
2.506,0.162,22.561,11.297,0.357,54.198,0.556,22.561,0.162
4.758,0.298,45.05,13.877,0.587,76.787,1.001,45.05,0.298
3.451,0.294,32.759,,0.503,69.755,0.713,32.759,0.294
2.464,0.16,23.15,6.764,0.366,56.672,0.532,23.15,0.16
1.826,0.091,16.843,4.697,0.278,46.749,0.379,16.843,0.09
3.156,0.19,28.809,9.711,0.432,63.068,0.819,28.809,0.186
2.185,0.143,20.393,,0.332,53.464,0.461,20.393,0.141
1.308,0.055,12.237,6.943,0.209,40.073,0.341,12.237,0.055
1.964,0.131,18.601,8.991,0.307,50.315,0.415,18.601,0.131
3.216,0.283,30.827,5.649,0.491,69.089,0.587,30.827,0.283
1.704,0.088,15.281,4.782,0.254,42.417,0.415,15.281,0.086
2.365,0.226,22.735,4.64,0.397,60.221,0.449,22.735,0.226
1.311,0.081,12.526,6.11,0.226,44.742,0.281,12.526,0.081
1.26,0.079,11.788,7.099,0.21,37.312,0.326,11.788,0.078
1.337,0.08,12.772,7.303,0.222,39.715,0.31,12.772,0.08
0.726,0.035,6.619,7.303,0.125,26.153,0.146,6.619,0.035
0.635,0.028,5.924,6.791,0.113,24.614,0.133,5.924,0.028
0.741,0.033,6.792,6.238,0.126,25.036,0.176,6.792,0.033
0.57,0.022,5.42,8.038,0.102,22.478,0.115,5.42,0.021
0.672,0.03,6.291,7.216,0.118,23.817,0.156,6.291,0.03
0.755,0.037,6.895,5.71,0.129,27.132,0.167,6.895,0.036
0.894,0.05,8.246,6.824,0.153,30.748,0.249,8.246,0.05
0.45,0.01,4.119,6.858,0.082,18.495,0.099,4.119,0.01
0.511,0.018,4.698,7.436,0.092,18.911,0.142,4.698,0.018
0.375,0.007,3.456,7.152,0.067,14.498,0.078,3.456,0.007
0.588,0.023,5.233,7.275,0.102,21.263,0.156,5.233,0.022
0.562,0.022,4.927,7.281,0.095,21.823,0.135,4.927,0.022
0.485,0.014,4.512,7.123,0.089,19.751,0.114,4.512,0.014
0.579,0.007,5.473,6.659,0.114,20.008,0.126,5.473,0.007
0.712,0.034,6.152,7.198,0.121,22.657,0.182,6.152,0.034
0.622,0.015,5.696,6.808,0.117,21.224,0.139,5.696,0.015
0.514,0.016,4.755,7.45,0.094,19.734,0.113,4.755,0.016
0.465,0.013,4.284,7.005,0.084,17.929,0.118,4.284,0.013
0.54,0.02,4.842,7.027,0.093,20.357,0.123,4.842,0.02
0.6,0.004,5.642,7.205,0.118,19.441,0.13,5.642,0.004
0.836,0.01,7.735,6.672,0.17,26.485,0.179,7.735,0.01
1.409,0.009,13.633,6.227,0.346,47.009,0.271,13.633,0.008
1.612,0.018,15.571,6.274,0.415,55.087,0.314,15.571,0.018
1.841,0.014,17.895,6.683,0.509,65.783,0.363,17.895,0.014
7.177,0.676,66.028,5.628,0.793,85.161,1.484,66.028,0.676
