euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.642,0.001,5.806,10.36,0.02,5.852,0.142,5.806,0.001
1.268,0.003,11.56,16.139,0.04,8.844,0.319,11.56,0.003
0.729,0.001,6.513,25.044,0.022,4.432,0.168,6.513,0.001
0.374,0.0,3.224,6.607,0.011,2.871,0.105,3.224,0.0
0.79,0.001,7.274,9.954,0.024,5.105,0.171,7.274,0.001
0.621,0.001,5.499,3.245,0.018,4.708,0.15,5.499,0.001
0.45,0.0,4.044,,0.014,3.851,0.114,4.044,0.0
0.444,0.0,3.898,,0.013,3.254,0.114,3.898,0.0
1.138,0.002,10.193,23.114,0.035,9.48,0.279,10.193,0.002
0.439,0.0,3.93,6.416,0.013,2.454,0.118,3.93,0.0
0.314,0.0,2.856,,0.01,2.405,0.064,2.856,0.0
0.695,0.001,6.157,7.523,0.02,4.021,0.182,6.157,0.001
0.36,0.0,3.115,6.33,0.01,3.042,0.129,3.115,0.0
0.853,0.001,7.538,,0.025,5.488,0.188,7.538,0.001
0.413,0.0,3.791,,0.013,3.829,0.088,3.791,0.0
1.26,0.003,11.648,,0.04,10.321,0.286,11.648,0.003
0.447,0.0,3.975,,0.013,3.051,0.11,3.975,0.0
1.065,0.002,9.643,11.58,0.032,7.581,0.266,9.643,0.003
0.677,0.001,6.321,2.624,0.021,5.279,0.143,6.321,0.001
0.573,0.001,5.229,17.502,0.017,3.87,0.158,5.229,0.001
0.581,0.001,5.271,3.385,0.018,5.085,0.126,5.271,0.001
0.584,0.001,5.187,,0.018,5.51,0.154,5.187,0.001
1.188,0.003,10.493,5.234,0.036,9.754,0.322,10.493,0.003
1.064,0.002,9.464,14.148,0.032,7.2,0.276,9.464,0.003
0.499,0.0,4.209,,0.014,3.87,0.174,4.209,0.001
0.546,0.001,4.227,,0.014,3.734,0.19,4.227,0.001
1.043,0.002,9.048,15.864,0.03,6.553,0.248,9.048,0.002
1.046,0.002,9.661,,0.032,6.876,0.246,9.661,0.002
0.481,0.0,4.401,,0.015,3.004,0.14,4.401,0.0
0.631,0.0,5.749,,0.02,3.251,0.133,5.749,0.0
