euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
142408.775,1.419,656148.0,0,0.477,58.913,95146,656148,0.018
160616.099,1.339,724115.0,0,0.555,58.82,107291,724115,0.018
118683.147,1.167,551359.0,0,0.372,52.424,78843,551359,0.008
123850.126,1.308,577070.0,0,0.396,57.067,82097,577070,0.01
118274.73,1.157,548451.0,0,0.369,51.864,78716,548451,0.008
122455.806,1.272,565971.0,0,0.385,50.012,81478,565971,0.009
120283.835,1.209,557598.0,0,0.378,46.734,80098,557598,0.009
135451.794,1.162,627813.0,0,0.446,58.058,90502,627813,0.015
158849.991,1.253,721029.0,0,0.551,60.506,105891,721029,0.02
113584.673,1.047,530410.0,0,0.353,50.731,75296,530410,0.008
116547.099,1.11,545299.0,0,0.366,55.97,77307,545299,0.009
115187.353,1.094,538843.0,0,0.361,53.048,76321,538843,0.009
115502.643,1.102,539645.0,0,0.362,51.746,76603,539645,0.009
106526.105,0.857,501319.0,0,0.327,51.687,70722,501319,0.007
116465.567,1.122,545099.0,0,0.367,54.489,77048,545099,0.012
144617.648,1.075,660292.0,0,0.481,57.906,96649,660292,0.015
104588.806,0.808,493222.0,0,0.32,49.651,68951,493222,0.008
112476.545,1.005,530442.0,0,0.353,51.975,74843,530442,0.01
108894.419,0.911,512908.0,0,0.337,50.794,72229,512908,0.009
113085.936,1.028,530988.0,0,0.353,51.525,74909,530988,0.009
112645.081,1.009,530112.0,0,0.352,52.337,74990,530112,0.01
121309.735,1.213,574548.0,0,0.394,55.663,80973,574548,0.016
147275.143,1.063,677611.0,0,0.5,59.113,98596,677611,0.021
114525.46,1.067,538568.0,0,0.36,53.974,75846,538568,0.01
115012.947,1.084,541133.0,0,0.362,53.86,76159,541133,0.01
115347.465,1.094,541453.0,0,0.363,51.897,76537,541453,0.01
116325.785,1.1,543428.0,0,0.364,47.452,77520,543428,0.01
112402.542,1.002,531052.0,0,0.353,52.506,74771,531052,0.01
126122.9,1.354,592713.0,0,0.412,54.578,83838,592713,0.017
153767.838,1.128,702895.0,0,0.529,59.873,102951,702895,0.023
