euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
19235.252,0.344,86529.0,0,0.107,34.898,13041.967,86529.0,0.001
37888.628,0.795,157899.333,0,0.214,50.175,25186.967,157899.333,0.001
5205.042,0.19,27757.533,0,0.03,31.658,3261.033,27757.533,0.0
1661.24,0.212,10447.067,0,0.012,29.589,523.867,10447.067,0.0
5745.58,0.189,30773.867,0,0.033,29.173,3388.033,30773.867,0.0
2833.452,0.207,17163.067,0,0.019,28.309,1172.9,17163.067,0.0
3951.736,0.197,22177.667,0,0.024,32.469,2006.033,22177.667,0.0
12226.207,0.282,57008.733,0,0.068,33.62,8397.967,57008.733,0.0
35896.017,0.697,153356.667,0,0.206,48.712,23786.967,153356.667,0.002
10164.572,0.476,50929.667,0,0.054,35.927,6808.033,50929.667,0.001
7418.834,0.181,38126.533,0,0.041,29.818,4797.033,38126.533,0.0
8640.656,0.497,42377.2,0,0.046,31.923,5783.033,42377.2,0.0
8188.353,0.5,39236.533,0,0.042,35.108,5501.033,39236.533,0.0
17095.507,0.394,77420.0,0,0.08,31.595,11382.033,77420.0,0.001
8290.787,0.505,39157.733,0,0.043,34.196,5056.033,39157.733,0.0
21645.439,0.38,90050.467,0,0.112,40.669,14544.967,90050.467,0.001
19307.276,0.373,90525.733,0,0.093,37.642,13153.033,90525.733,0.001
11524.321,0.453,52627.133,0,0.056,33.612,7261.033,52627.133,0.0
14944.959,0.415,69363.733,0,0.073,32.081,9875.033,69363.733,0.0
10634.289,0.466,48818.867,0,0.052,30.991,7195.033,48818.867,0.0
11310.472,0.456,50769.333,0,0.054,30.049,7114.033,50769.333,0.0
5676.659,0.193,26925.867,0,0.03,35.352,2420.6,26925.867,0.001
24069.671,0.401,108247.467,0,0.138,44.782,16491.967,108247.467,0.002
9335.095,0.482,41244.933,0,0.044,32.824,6258.033,41244.933,0.0
8753.396,0.491,40707.8,0,0.044,31.405,5945.033,40707.8,0.0
8449.617,0.495,39728.933,0,0.043,31.483,5567.033,39728.933,0.0
7519.046,0.179,36621.933,0,0.04,31.598,4584.033,36621.933,0.0
11473.165,0.452,49824.867,0,0.053,31.652,7333.033,49824.867,0.0
5297.271,0.215,29962.8,0,0.034,36.253,1896.467,29962.8,0.001
30677.972,0.525,134744.067,0,0.177,46.864,20846.967,134744.067,0.003
