euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
555.439,0.482,2725.0,0,0.919,44.164,348,2725,0.524
564.764,0.452,2794.0,0,0.963,46.634,345,2794,0.488
540.258,0.355,2639.0,0,0.864,40.618,322,2639,0.397
537.349,0.356,2610.0,0,0.847,38.611,318,2610,0.4
528.666,0.416,2608.0,0,0.828,38.711,298,2608,0.462
499.906,0.272,2376.0,0,0.711,32.272,299,2376,0.315
482.8,0.302,2354.0,0,0.684,32.535,259,2354,0.342
426.562,0.212,2123.0,0,0.555,28.557,234,2123,0.246
443.888,0.278,2247.0,0,0.592,29.716,231,2247,0.32
418.748,0.236,2026.0,0,0.513,26.002,204,2026,0.274
410.743,0.239,2132.0,0,0.532,28.28,181,2132,0.275
388.915,0.236,2037.0,0,0.488,28.636,128,2037,0.268
349.342,0.203,1896.0,0,0.42,27.51,143,1896,0.228
375.319,0.222,1870.0,0,0.425,22.684,134,1870,0.257
348.759,0.194,1899.0,0,0.422,26.002,113,1899,0.222
389.667,0.204,2042.0,0,0.499,26.273,163,2042,0.235
389.147,0.219,1981.0,0,0.473,25.222,159,1981,0.254
397.329,0.261,2152.0,0,0.519,29.542,143,2152,0.293
410.124,0.24,2124.0,0,0.532,28.908,168,2124,0.275
377.964,0.212,1911.0,0,0.456,25.516,136,1911,0.242
401.177,0.208,2019.0,0,0.516,27.684,192,2019,0.236
416.258,0.245,2171.0,0,0.565,30.91,159,2171,0.275
442.66,0.273,2310.0,0,0.621,32.278,197,2310,0.309
409.95,0.217,2061.0,0,0.529,28.123,177,2061,0.247
392.985,0.246,2143.0,0,0.528,29.822,142,2143,0.274
455.853,0.284,2288.0,0,0.627,31.414,219,2288,0.323
468.726,0.281,2318.0,0,0.668,32.508,232,2318,0.313
490.499,0.347,2457.0,0,0.722,33.864,253,2457,0.389
479.239,0.313,2286.0,0,0.651,30.449,246,2286,0.357
485.356,0.301,2376.0,0,0.703,33.431,253,2376,0.336
452.762,0.245,2185.0,0,0.615,29.77,226,2185,0.275
472.518,0.295,2339.0,0,0.667,31.823,248,2339,0.334
483.286,0.453,2393.0,0,0.605,30.495,257,2393,0.517
474.13,0.293,2253.0,0,0.652,31.374,250,2253,0.327
490.064,0.458,2499.0,0,0.652,33.553,248,2499,0.527
701.866,0.735,3466.0,0,0.755,38.175,259,3466,0.808
474.787,0.415,2427.0,0,0.625,30.239,237,2427,0.476
515.465,0.339,2520.0,0,0.785,36.887,291,2520,0.379
484.169,0.271,2288.0,0,0.667,31.638,281,2288,0.31
511.019,0.264,2520.0,0,0.792,37.753,289,2520,0.293
531.42,0.351,2605.0,0,0.844,39.807,308,2605,0.385
539.361,0.353,2664.0,0,0.879,43.083,319,2664,0.384
535.135,0.407,2620.0,0,0.853,40.494,311,2620,0.442
528.296,0.349,2595.0,0,0.838,40.968,306,2595,0.381
536.766,0.372,2640.0,0,0.866,41.676,315,2640,0.405
551.205,0.418,2715.0,0,0.913,42.403,330,2715,0.453
556.581,0.398,2740.0,0,0.929,42.519,335,2740,0.437
572.83,0.587,2834.0,0,0.991,47.988,353,2834,0.636
563.939,0.444,2795.0,0,0.965,46.733,346,2795,0.468
573.583,0.673,2839.0,0,0.994,48.375,354,2839,0.715
