euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
146.122,0.515,641.04,0,0.75,40.938,107.14,641.04,0.56
147.67,0.263,680.68,0,0.861,43.824,104.14,680.68,0.279
116.254,0.141,525.68,0,0.556,35.362,81.14,525.68,0.155
110.423,0.116,500.2,0,0.516,35.067,77.14,500.2,0.128
98.311,0.15,494.68,0,0.476,33.937,57.14,494.68,0.163
82.291,0.119,364.52,0,0.296,26.861,58.14,364.52,0.136
63.676,0.081,308.88,0,0.232,26.206,30.48,308.88,0.091
94.132,0.086,441.16,0,0.257,22.518,45.26,441.16,0.098
103.653,0.107,453.28,0,0.269,22.745,62.26,453.28,0.122
105.768,0.052,521.0,0,0.283,23.219,40.66,521.0,0.06
114.201,0.025,551.44,0,0.29,26.162,59.86,551.44,0.028
170.196,0.028,706.92,0,0.342,25.65,112.86,706.92,0.031
268.125,0.034,1018.44,0,0.424,27.78,209.86,1018.44,0.037
205.069,0.074,895.8,0,0.391,25.026,106.86,895.8,0.085
243.513,0.068,1034.28,0,0.434,28.941,151.86,1034.28,0.077
132.701,0.033,584.92,0,0.295,21.949,77.86,584.92,0.038
153.279,0.045,694.84,0,0.335,23.522,81.86,694.84,0.051
188.503,0.044,762.36,0,0.374,28.515,136.86,762.36,0.048
114.688,0.021,523.84,0,0.279,24.064,72.86,523.84,0.023
188.399,0.098,748.92,0,0.359,24.364,126.86,748.92,0.111
126.983,0.073,555.8,0,0.308,24.214,56.26,555.8,0.082
115.606,0.048,512.48,0,0.295,27.03,81.86,512.48,0.052
86.364,0.061,420.0,0,0.261,25.762,43.86,420.0,0.068
111.824,0.058,526.44,0,0.295,25.458,63.86,526.44,0.065
181.417,0.055,689.8,0,0.355,27.483,117.86,689.8,0.059
66.888,0.052,350.52,0,0.228,24.942,28.76,350.52,0.058
49.798,0.045,270.24,0,0.199,27.144,15.98,270.24,0.047
64.278,0.083,340.64,0,0.263,29.601,27.72,340.64,0.09
68.377,0.09,341.32,0,0.244,24.205,32.02,341.32,0.102
64.584,0.083,327.04,0,0.257,28.491,32.34,327.04,0.091
52.89,0.039,267.8,0,0.185,24.163,19.66,267.8,0.042
55.623,0.057,295.32,0,0.212,27.201,23.72,295.32,0.063
202.732,0.324,676.84,0,0.367,24.874,97.06,676.84,0.366
73.052,0.102,351.56,0,0.261,26.268,39.66,351.56,0.111
145.539,0.221,700.84,0,0.406,30.155,50.54,700.84,0.252
536.865,0.59,1480.04,0,0.597,28.514,245.0,1480.04,0.642
168.219,0.259,615.28,0,0.347,25.293,76.94,615.28,0.294
83.179,0.093,405.24,0,0.368,31.178,50.14,405.24,0.101
75.296,0.115,368.2,0,0.279,27.123,40.14,368.2,0.131
80.509,0.058,406.12,0,0.379,31.721,48.14,406.12,0.061
117.915,0.254,590.36,0,0.605,37.512,67.14,590.36,0.277
117.209,0.164,550.68,0,0.598,38.194,78.14,550.68,0.175
122.727,0.308,621.36,0,0.647,40.064,70.14,621.36,0.333
116.32,0.259,580.36,0,0.589,38.429,65.14,580.36,0.28
118.871,0.231,562.76,0,0.599,38.272,74.14,562.76,0.248
129.957,0.208,605.2,0,0.699,40.951,89.14,605.2,0.221
135.956,0.165,630.2,0,0.75,41.288,94.14,630.2,0.177
157.829,0.362,720.68,0,0.961,46.023,112.14,720.68,0.386
147.736,0.304,685.2,0,0.873,45.578,105.14,685.2,0.315
159.032,0.502,725.68,0,0.974,46.42,113.14,725.68,0.527
