euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
3677.251,0.808,15047.0,0,0.967,48.25,2754,15047,0.889
3661.074,0.682,15012.0,0,0.96,55.603,2745,15012,0.746
3602.613,0.511,14774.0,0,0.929,48.64,2670,14774,0.555
3553.397,0.382,14589.0,0,0.901,50.689,2621,14589,0.424
3476.533,0.358,14156.0,0,0.847,45.71,2547,14156,0.4
3278.275,0.304,13380.0,0,0.753,40.804,2314,13380,0.337
3073.383,0.246,12897.0,0,0.683,40.874,2116,12897,0.275
3000.097,0.285,12764.0,0,0.635,39.324,2040,12764,0.32
2809.833,0.216,11685.0,0,0.562,36.19,1861,11685,0.243
2754.141,0.231,11823.0,0,0.553,33.81,1756,11823,0.26
2778.073,0.278,12392.0,0,0.571,31.125,1684,12392,0.31
2654.952,0.244,11754.0,0,0.523,35.724,1561,11754,0.274
2359.762,0.188,11026.0,0,0.468,36.208,1250,11026,0.21
2558.455,0.25,12077.0,0,0.492,32.316,1463,12077,0.283
2649.253,0.264,12723.0,0,0.555,33.905,1485,12723,0.296
2724.47,0.286,12763.0,0,0.565,37.725,1523,12763,0.32
2702.136,0.279,12682.0,0,0.556,39.517,1480,12682,0.313
2704.164,0.26,12429.0,0,0.559,38.388,1567,12429,0.292
2969.789,0.321,13238.0,0,0.631,38.189,1914,13238,0.362
2773.406,0.244,11861.0,0,0.56,37.779,1731,11861,0.273
2901.112,0.288,12777.0,0,0.604,38.882,1927,12777,0.325
2997.494,0.254,12264.0,0,0.622,35.99,2012,12264,0.285
2973.831,0.266,12604.0,0,0.619,37.456,2000,12604,0.301
2968.397,0.286,12929.0,0,0.634,39.21,1950,12929,0.322
2947.461,0.271,12224.0,0,0.605,36.435,1923,12224,0.303
2929.338,0.273,12322.0,0,0.611,38.181,1908,12322,0.305
3098.824,0.289,12740.0,0,0.674,39.376,2084,12740,0.321
3189.939,0.289,13067.0,0,0.704,38.827,2237,13067,0.325
3177.539,0.279,13269.0,0,0.712,37.43,2214,13269,0.314
3214.45,0.312,13384.0,0,0.729,40.657,2211,13384,0.349
3169.015,0.3,13072.0,0,0.701,39.04,2188,13072,0.335
3234.592,0.337,13416.0,0,0.734,40.234,2239,13416,0.375
3202.877,0.275,12877.0,0,0.696,34.806,2278,12877,0.31
3371.973,0.366,13783.0,0,0.784,42.674,2415,13783,0.411
3248.11,0.315,13351.0,0,0.735,37.197,2274,13351,0.352
3425.643,0.431,13914.0,0,0.8,39.649,2474,13914,0.482
3305.91,0.304,13370.0,0,0.755,37.437,2352,13370,0.339
3345.207,0.312,13495.0,0,0.778,37.597,2391,13495,0.346
3402.573,0.381,13785.0,0,0.807,38.371,2429,13785,0.419
3494.962,0.412,14136.0,0,0.848,38.28,2547,14136,0.458
3511.108,0.289,14352.0,0,0.882,44.647,2597,14352,0.32
3545.26,0.421,14483.0,0,0.887,45.501,2622,14483,0.468
3515.025,0.221,14475.0,0,0.897,46.107,2604,14475,0.244
3538.706,0.293,14580.0,0,0.908,47.257,2623,14580,0.32
3533.214,0.282,14580.0,0,0.91,49.179,2617,14580,0.305
3596.335,0.383,14810.0,0,0.937,50.33,2663,14810,0.416
3633.067,0.472,14970.0,0,0.957,49.833,2695,14970,0.509
3665.774,0.481,15165.0,0,0.982,51.318,2734,15165,0.517
3659.267,0.497,15150.0,0,0.98,53.752,2731,15150,0.526
3678.952,0.615,15260.0,0,0.992,52.495,2747,15260,0.653
15642.402,0.309,63752.0,0,0.737,45.426,10473,63752,0.344
