euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
992.366,0.622,4488.922,0,0.896,63.918,807.039,4488.922,0.691
972.916,0.498,4423.922,0,0.872,65.263,798.039,4423.922,0.549
892.485,0.281,4153.922,0,0.777,66.275,723.039,4153.922,0.304
826.438,0.132,3907.196,0,0.694,59.996,674.039,3907.196,0.146
728.991,0.119,3339.686,0,0.542,54.336,600.039,3339.686,0.134
501.34,0.083,2601.647,0,0.36,44.944,367.039,2601.647,0.091
374.931,0.069,2191.078,0,0.263,37.68,169.039,2191.078,0.076
446.057,0.085,2723.647,0,0.286,41.117,156.235,2723.647,0.096
438.888,0.051,2829.549,0,0.277,40.966,149.235,2829.549,0.058
575.836,0.06,3466.804,0,0.32,40.282,190.961,3466.804,0.068
731.279,0.072,3781.137,0,0.34,42.128,377.824,3781.137,0.081
829.446,0.07,4491.333,0,0.377,43.172,385.961,4491.333,0.079
1127.296,0.057,5590.549,0,0.431,41.969,696.961,5590.549,0.063
1121.296,0.072,6266.882,0,0.448,46.553,483.961,6266.882,0.083
947.95,0.061,5210.686,0,0.422,49.622,461.961,5210.686,0.068
887.008,0.061,4727.431,0,0.393,45.296,423.961,4727.431,0.068
895.63,0.056,4957.02,0,0.405,44.293,466.961,4957.02,0.063
770.165,0.054,4250.569,0,0.364,40.906,379.961,4250.569,0.06
537.671,0.082,3198.902,0,0.307,43.675,310.824,3198.902,0.094
564.345,0.052,3324.725,0,0.313,39.405,215.961,3324.725,0.058
590.104,0.095,3447.784,0,0.326,41.184,260.706,3447.784,0.108
336.591,0.054,2161.373,0,0.236,38.432,117.196,2161.373,0.06
390.897,0.064,2722.745,0,0.278,42.345,117.196,2722.745,0.074
408.543,0.06,2709.314,0,0.275,41.305,139.824,2709.314,0.068
382.014,0.051,2502.471,0,0.26,41.471,118.863,2502.471,0.058
425.556,0.058,2531.686,0,0.263,42.335,142.863,2531.686,0.064
361.442,0.065,2247.804,0,0.269,41.341,137.039,2247.804,0.071
410.941,0.068,2120.373,0,0.265,38.572,290.039,2120.373,0.077
404.974,0.067,2220.333,0,0.275,42.694,267.039,2220.333,0.076
421.527,0.072,2400.627,0,0.307,42.401,264.039,2400.627,0.081
421.857,0.084,2371.49,0,0.293,41.912,241.039,2371.49,0.093
459.559,0.095,2509.255,0,0.324,44.829,292.039,2509.255,0.105
443.476,0.076,2154.412,0,0.271,40.587,331.039,2154.412,0.086
591.45,0.113,2763.314,0,0.393,47.381,468.039,2763.314,0.128
440.916,0.068,2199.157,0,0.289,45.469,327.039,2199.157,0.075
651.426,0.161,3033.922,0,0.444,52.962,527.039,3033.922,0.182
505.905,0.062,2390.706,0,0.334,46.521,405.039,2390.706,0.069
562.563,0.077,2773.706,0,0.408,51.422,444.039,2773.706,0.084
640.506,0.142,3212.216,0,0.492,54.062,482.039,3212.216,0.154
749.916,0.167,3525.176,0,0.577,54.577,600.039,3525.176,0.187
803.355,0.133,3773.922,0,0.659,61.62,650.039,3773.922,0.146
814.521,0.173,3770.529,0,0.654,61.228,675.039,3770.529,0.193
829.62,0.142,3920.922,0,0.702,60.044,657.039,3920.922,0.156
848.004,0.183,3993.922,0,0.726,63.909,676.039,3993.922,0.199
844.609,0.182,4023.922,0,0.735,65.074,670.039,4023.922,0.195
889.639,0.155,4253.922,0,0.811,67.808,716.039,4253.922,0.164
938.027,0.257,4413.922,0,0.868,68.642,748.039,4413.922,0.274
984.131,0.292,4608.922,0,0.943,69.449,787.039,4608.922,0.31
975.029,0.307,4593.922,0,0.937,71.478,784.039,4593.922,0.318
1001.536,0.458,4673.922,0,0.969,71.529,800.039,4673.922,0.484
17191.371,0.228,69394.588,0,0.914,61.376,12419.961,69394.588,0.256
