euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
1.324,0.004,12.705,166385434.601,0.396,53.933,0.237,12.705,0.004
1.576,0.004,15.074,166385434.601,0.509,67.684,0.291,15.074,0.004
0.89,0.003,8.575,166385434.601,0.237,35.796,0.162,8.575,0.003
1.119,0.003,10.763,166385434.601,0.317,45.589,0.199,10.763,0.003
1.044,0.004,10.097,166385434.601,0.291,43.723,0.186,10.097,0.004
0.644,0.003,6.197,166385434.601,0.161,26.297,0.12,6.197,0.003
0.785,0.004,7.585,166385434.601,0.204,32.782,0.135,7.585,0.004
0.681,0.003,6.496,166385434.601,0.17,26.363,0.13,6.496,0.003
0.761,0.004,7.304,166385434.601,0.195,31.49,0.135,7.304,0.003
0.533,0.004,5.152,166385434.601,0.13,23.962,0.103,5.152,0.004
0.525,0.004,5.071,166385434.601,0.127,22.547,0.086,5.071,0.004
0.746,0.004,7.252,166385434.601,0.193,30.896,0.133,7.252,0.004
0.47,0.004,4.534,166385434.601,0.112,21.519,0.081,4.534,0.004
0.545,0.004,5.283,166385434.601,0.134,23.388,0.091,5.283,0.004
0.451,0.003,4.363,166385434.601,0.108,20.548,0.079,4.363,0.003
0.562,0.004,5.404,166385434.601,0.137,22.963,0.096,5.404,0.003
0.413,0.004,4.051,166385434.601,0.099,21.191,0.072,4.051,0.004
0.629,0.003,6.102,166385434.601,0.158,26.816,0.109,6.102,0.003
0.536,0.004,5.188,166385434.601,0.131,24.753,0.098,5.188,0.004
0.592,0.004,5.761,166385434.601,0.147,26.452,0.099,5.761,0.004
0.698,0.003,6.732,166385434.601,0.177,29.53,0.125,6.732,0.003
0.701,0.003,6.775,166385434.601,0.178,28.443,0.121,6.775,0.003
0.741,0.003,7.132,166385434.601,0.189,29.139,0.128,7.132,0.003
0.644,0.004,6.183,166385434.601,0.16,26.701,0.111,6.183,0.004
0.504,0.004,4.858,166385434.601,0.121,23.134,0.087,4.858,0.004
0.785,0.003,7.602,166385434.601,0.204,32.743,0.134,7.602,0.003
0.938,0.004,9.056,166385434.601,0.253,39.004,0.173,9.056,0.004
0.789,0.003,7.572,166385434.601,0.203,31.283,0.146,7.572,0.003
0.692,0.003,6.68,166385434.601,0.175,29.373,0.12,6.68,0.003
0.792,0.003,7.658,166385434.601,0.206,31.916,0.145,7.658,0.003
0.773,0.004,7.433,166385434.601,0.199,31.362,0.144,7.433,0.004
0.755,0.003,7.268,166385434.601,0.194,30.18,0.137,7.268,0.003
0.668,0.004,6.521,166385434.601,0.17,31.364,0.12,6.521,0.004
1.032,0.003,9.947,166385434.601,0.286,42.068,0.183,9.947,0.003
0.453,0.004,4.353,166385434.601,0.107,20.758,0.082,4.353,0.004
0.99,0.012,9.484,166385434.601,0.268,43.617,0.182,9.484,0.011
0.43,0.004,4.158,166385434.601,0.102,22.205,0.082,4.158,0.004
0.896,0.003,8.655,166385434.601,0.24,37.707,0.157,8.655,0.003
0.544,0.004,5.317,166385434.601,0.134,25.809,0.092,5.317,0.004
0.857,0.004,8.297,166385434.601,0.228,36.56,0.159,8.297,0.004
0.999,0.003,9.643,166385434.601,0.275,39.138,0.182,9.643,0.003
1.204,0.004,11.527,166385434.601,0.347,47.1,0.223,11.527,0.004
0.837,0.004,8.062,166385434.601,0.22,32.104,0.149,8.062,0.003
0.949,0.004,9.151,166385434.601,0.257,37.036,0.177,9.151,0.004
1.222,0.004,11.732,166385434.601,0.356,50.088,0.232,11.732,0.004
1.293,0.004,12.375,166385434.601,0.383,52.406,0.242,12.375,0.004
1.442,0.004,13.852,166385434.601,0.449,61.73,0.262,13.852,0.004
2.274,0.173,21.667,166385434.601,0.941,117.572,0.427,21.667,0.173
2.111,0.023,20.168,166385434.601,0.823,105.132,0.392,20.168,0.023
2.212,0.065,21.033,166385434.601,0.889,110.741,0.415,21.033,0.063
