euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
0.424,0.001,3.987,7.519,0.165,23.356,0.078,3.987,0.001
0.754,0.002,7.123,7.85,0.339,43.996,0.146,7.123,0.002
0.061,0.001,0.594,6.894,0.021,6.56,0.011,0.594,0.001
0.316,0.001,2.977,7.204,0.118,18.239,0.062,2.977,0.001
0.162,0.001,1.508,7.263,0.056,11.219,0.035,1.508,0.001
0.276,0.001,2.572,7.51,0.084,12.686,0.051,2.572,0.001
0.118,0.001,1.1,7.048,0.038,10.404,0.025,1.1,0.001
0.267,0.001,2.57,8.211,0.084,14.06,0.052,2.57,0.001
0.102,0.001,0.938,7.113,0.032,7.973,0.019,0.938,0.001
0.302,0.001,2.851,7.216,0.092,13.871,0.06,2.851,0.001
0.321,0.001,3.023,6.605,0.097,16.555,0.063,3.023,0.001
0.187,0.001,1.715,7.073,0.058,10.145,0.042,1.715,0.001
0.414,0.001,3.917,5.948,0.122,18.297,0.084,3.917,0.001
0.347,0.001,3.242,7.959,0.104,16.568,0.07,3.242,0.001
0.471,0.001,4.436,7.98,0.137,20.565,0.1,4.436,0.001
0.277,0.001,2.623,7.382,0.086,13.865,0.055,2.623,0.001
0.481,0.001,4.542,7.911,0.139,20.4,0.098,4.542,0.001
0.252,0.001,2.315,6.773,0.076,11.091,0.053,2.315,0.001
0.391,0.001,3.656,6.344,0.115,15.801,0.07,3.656,0.001
0.33,0.001,3.062,7.57,0.098,16.089,0.072,3.062,0.002
0.213,0.001,2.01,7.456,0.067,11.975,0.042,2.01,0.001
0.199,0.001,1.895,6.758,0.063,10.068,0.04,1.895,0.001
0.163,0.001,1.534,7.323,0.052,10.559,0.033,1.534,0.001
0.227,0.001,2.153,7.543,0.071,12.726,0.046,2.153,0.001
0.357,0.001,3.424,7.934,0.109,17.194,0.066,3.424,0.001
0.108,0.001,0.994,6.861,0.034,7.275,0.024,0.994,0.001
0.079,0.001,0.725,7.019,0.026,7.227,0.016,0.725,0.001
0.12,0.001,1.146,7.413,0.039,9.126,0.025,1.146,0.001
0.251,0.001,2.368,6.654,0.078,12.231,0.051,2.368,0.001
0.131,0.001,1.219,6.546,0.042,7.603,0.028,1.219,0.001
0.126,0.001,1.186,6.712,0.041,9.614,0.028,1.186,0.001
0.124,0.0,1.156,6.833,0.04,7.278,0.03,1.156,0.0
0.247,0.001,2.251,7.339,0.075,12.623,0.053,2.251,0.001
0.16,0.001,1.493,6.919,0.056,10.706,0.031,1.493,0.001
0.463,0.001,4.358,5.143,0.134,19.99,0.091,4.358,0.001
0.206,0.007,1.883,5.896,0.07,19.537,0.046,1.883,0.007
0.503,0.001,4.643,5.316,0.142,20.393,0.101,4.643,0.001
0.057,0.001,0.532,6.904,0.019,7.253,0.011,0.532,0.001
0.381,0.001,3.605,8.253,0.114,17.339,0.077,3.605,0.001
0.063,0.001,0.605,7.21,0.022,7.704,0.011,0.605,0.001
0.137,0.001,1.314,7.337,0.049,9.846,0.028,1.314,0.001
0.329,0.001,3.104,6.856,0.124,17.574,0.066,3.104,0.001
0.08,0.001,0.735,7.005,0.026,7.682,0.016,0.735,0.001
0.09,0.001,0.837,6.957,0.031,8.251,0.019,0.837,0.001
0.359,0.001,3.409,6.842,0.138,23.055,0.077,3.409,0.001
0.428,0.001,4.015,8.196,0.166,22.93,0.087,4.015,0.001
0.581,0.001,5.527,8.523,0.245,34.949,0.109,5.527,0.001
1.413,0.175,13.372,10.399,0.908,113.287,0.279,13.372,0.175
1.245,0.019,11.839,,0.728,94.673,0.241,11.839,0.02
1.349,0.059,12.718,5.616,0.826,103.381,0.266,12.718,0.058
